bemis_murcko_scaffold_smiles,n_families
C=C1Oc2ccccc2-c2c1oc1c3c(ccc1c2=O)OCC3,1
O=C(C(=O)c1ccc2c(c1)C=CCO2)c1ccccc1,1
O=C(C(=O)c1ccc2c(c1)OCO2)c1ccc2c(c1)CCO2,1
O=C(C(=O)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,1
O=C(C(=O)c1ccc2c(c1)OCO2)c1ccccc1,4
O=C(C(=O)c1cccc(C2CCCCO2)c1)c1cccc(C2CCCCO2)c1,1
O=C(C(=O)c1cccc2c1OC(c1ccccc1)CC2)c1ccccc1,1
O=C(C(=O)c1ccccc1)c1ccccc1,3
O=C(C1=CC2c3c(c4ccccc4oc3=O)OC2C=C1)c1c(-c2ccccc2)oc2ccccc12,1
O=C(C1=Cc2ccccc2CO1)c1ccccc1,1
O=C(C1=Cc2ccccc2OC12C=C(c1ccccc1)Oc1ccccc12)c1ccccc1,1
O=C(C=C(Oc1ccc(C(=O)c2c(-c3ccccc3)oc3cc4oc(-c5ccccc5)cc(=O)c4cc23)cc1)c1ccccc1)c1ccc(Oc2cccc3c(=O)cc(-c4ccccc4)oc23)cc1,1
O=C(C=CC(=O)c1ccccc1)c1ccccc1,1
O=C(C=CC1C=CC=CC1)c1ccccc1,3
O=C(C=CCCCCCCc1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,1
O=C(C=CCCc1ccccc1)c1ccccc1,1
O=C(C=Cc1ccc(OC2CCCC(COC(=O)C=Cc3cccc(OC4CCCCO4)c3)O2)cc1)OCC1CCCC(OC2=Cc3c(OC4CCCCO4)cccc3OC2c2ccccc2)O1,1
O=C(C=Cc1ccc(OC2CCCCO2)cc1)c1ccccc1,6
O=C(C=Cc1ccc(OC2OCCCC2OC2CCCO2)cc1)c1ccc(OC2CCCCO2)cc1,1
O=C(C=Cc1ccc(OC2OCCCC2OC2CCCO2)cc1)c1ccccc1,2
O=C(C=Cc1ccc(OCCc2ccccc2)cc1)OCC1CC(OC(=O)C=Cc2ccccc2)CC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)O1,1
O=C(C=Cc1ccc(Oc2cccc(C(=O)C=Cc3ccccc3)c2)cc1)c1ccccc1,1
O=C(C=Cc1ccc(Oc2cccc(C=CC(=O)c3ccccc3)c2)cc1)c1ccccc1,1
O=C(C=Cc1ccc2c(c1)C(C(=O)c1ccccc1)C(c1ccccc1)O2)c1ccccc1,1
O=C(C=Cc1ccc2c(c1)C(Cc1ccccc1)C(c1ccccc1)O2)c1ccccc1,1
O=C(C=Cc1ccc2c(c1)C=CCO2)c1ccc2c(c1)C=CCO2,1
O=C(C=Cc1ccc2c(c1)C=CCO2)c1ccc2c(c1)CCCO2,1
O=C(C=Cc1ccc2c(c1)C=CCO2)c1ccc2c(c1)CCO2,1
O=C(C=Cc1ccc2c(c1)C=CCO2)c1ccc2c(c1)OCO2,1
O=C(C=Cc1ccc2c(c1)C=CCO2)c1ccccc1,3
O=C(C=Cc1ccc2c(c1)CCCO2)c1ccc2c(c1)CCCO2,2
O=C(C=Cc1ccc2c(c1)CCCO2)c1ccc2c(c1)CCO2,1
O=C(C=Cc1ccc2c(c1)CCCO2)c1ccccc1,1
O=C(C=Cc1ccc2c(c1)CCO2)c1ccccc1,1
O=C(C=Cc1ccc2c(c1)OCO2)c1ccc2c(c1)C=CCO2,1
O=C(C=Cc1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,1
O=C(C=Cc1ccc2c(c1)OCO2)c1ccc2occc2c1,1
O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,2
O=C(C=Cc1ccc2oc(-c3ccccc3)cc2c1)c1ccccc1,1
O=C(C=Cc1cccc(-c2cccc(C(=O)C=Cc3ccccc3)c2)c1)c1ccccc1,1
O=C(C=Cc1cccc(C2=Cc3ccccc3OC2c2ccccc2)c1)c1ccccc1,1
O=C(C=Cc1cccc(C2C(=O)c3ccc(OC4CCCCO4)cc3OC2c2ccccc2)c1)c1ccccc1,1
O=C(C=Cc1cccc(C2C(=O)c3ccccc3OC2c2ccccc2)c1)c1ccccc1,1
O=C(C=Cc1cccc(C2C(c3ccccc3)Oc3ccccc3C2c2cccc(C3OC(c4ccccc4)C(C(=O)c4ccccc4)C3Cc3ccccc3)c2)c1)c1ccccc1,1
O=C(C=Cc1cccc(C2C=CCC(c3ccccc3)C2C(=O)c2ccccc2)c1)c1ccccc1,1
O=C(C=Cc1cccc(CC2CCCCO2)c1)c1ccccc1,1
O=C(C=Cc1cccc(Cc2ccccc2)c1)c1ccccc1,1
O=C(C=Cc1cccc(OC2CCCCO2)c1)c1ccc(OC2CCCCO2)cc1,1
O=C(C=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)=CC(C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C(C=C2CCCN2)=CC1=O,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C2=C(C1=O)C(C1=CC(C3CCCCO3)C(=O)C(=CC=Cc3ccccc3)C1=O)CO2,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C=C(C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C=C(C2COC3=C2C(=O)C(C(=O)C=Cc2ccccc2)=CC3C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C=C(C=C2C(=O)C(C(=O)C=Cc3ccccc3)=CC(C3CCCCO3)C2=O)C1=O,1
O=C(C=Cc1ccccc1)C1=CC(C2CCCCO2)C=C(CC2=CC(C3CCCCO3)C=C(C(=O)C=Cc3ccccc3)C2=O)C1=O,1
O=C(C=Cc1ccccc1)C1=CC2=C(OCC2C2=CC(=CC=Cc3ccccc3)C(=O)C(C3CCCCO3)C2=O)C(C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1=CC2=C(OCC2C2=CC(C3CCCCO3)C(=O)C(=CC=Cc3ccccc3)C2=O)C(C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1=CC2C=CCOC2C=C1,1
O=C(C=Cc1ccccc1)C1=CC2CCCOC2C=C1,1
O=C(C=Cc1ccccc1)C1=CC=CC1,1
O=C(C=Cc1ccccc1)C1=CC=CCC1=O,2
O=C(C=Cc1ccccc1)C1=Cc2cc(C3CCCO3)[nH]c2C(C2CCCCO2)C1=O,1
O=C(C=Cc1ccccc1)C1C=CC=CC1,1
O=C(C=Cc1ccccc1)OC1C(=O)c2ccccc2OC1c1ccccc1,1
O=C(C=Cc1ccccc1)OC1CC(COC2CCCCO2)OC(Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)C1,1
O=C(C=Cc1ccccc1)OC1CCC(OCC2CCCC(Oc3cc4c(=O)cccc-4oc3-c3ccccc3)O2)OC1,1
O=C(C=Cc1ccccc1)OC1CCC(Oc2cc3c(=O)cccc-3oc2-c2ccccc2)OC1COC1CCCCO1,1
O=C(C=Cc1ccccc1)OC1CCCOC1OC1Cc2cccc(C3c4ccccc4OC(c4ccccc4)C3OC3CCCCO3)c2OC1c1ccccc1,1
O=C(C=Cc1ccccc1)OC1CCCOC1OC1Cc2ccccc2OC1c1ccccc1,1
O=C(C=Cc1ccccc1)OC1CCCOC1Oc1ccc(C(=O)C=Cc2ccccc2)cc1,2
O=C(C=Cc1ccccc1)OC1CCCOC1Oc1ccc2c(=O)c(-c3ccc4c(c3)OCO4)coc2c1,1
O=C(C=Cc1ccccc1)OC1CCCOC1Oc1ccc2c(c1)OC(c1ccccc1)CC2=O,2
O=C(C=Cc1ccccc1)OC1CCCOC1Oc1ccccc1C1CC(=O)c2ccccc2O1,1
O=C(C=Cc1ccccc1)OC1CCOC(OC2C(=O)c3ccccc3OC2c2ccccc2)C1,1
O=C(C=Cc1ccccc1)OC1CCOC(OC2Cc3ccccc3OC2c2ccccc2)C1,1
O=C(C=Cc1ccccc1)OC1CCOC(OCC(=O)c2ccccc2OCc2ccccc2)C1OC(=O)C=Cc1ccccc1,1
O=C(C=Cc1ccccc1)OC1CCOC(Oc2cc3c(=O)cccc-3oc2-c2ccccc2)C1,1
O=C(C=Cc1ccccc1)OC1CCOC(Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)C1,1
