variable,n_compounds_structural,n_scaffolds,n_occurrence_rows,n_species,n_references,novelty_ratio,effort_adjusted_novelty
n_compounds_structural,1,0.9247105630340594,0.9855408058099591,0.8269447086495173,0.9206885916168839,-0.6730262192760009,0.02023476516922998
n_scaffolds,0.9247105630340594,1,0.9044985508356879,0.8429761149402236,0.9111125241702429,-0.36802812201562973,0.353557977634223
n_occurrence_rows,0.9855408058099591,0.9044985508356879,1,0.8491718831976315,0.9308013678833437,-0.6756747135726241,0.004870108768356923
n_species,0.8269447086495173,0.8429761149402236,0.8491718831976315,0.9999999999999999,0.9042035104760656,-0.4316377256751371,0.1854569415362125
n_references,0.9206885916168839,0.9111125241702429,0.9308013678833437,0.9042035104760656,1,-0.5107880053837754,0.16518002124222037
novelty_ratio,-0.6730262192760009,-0.36802812201562973,-0.6756747135726241,-0.4316377256751371,-0.5107880053837754,1,0.6793235088490867
effort_adjusted_novelty,0.02023476516922998,0.353557977634223,0.004870108768356923,0.1854569415362125,0.16518002124222037,0.6793235088490867,1
