Axis1,Axis2,family,fine_clade,analysis_clade,n_compounds_structural,axis1_percent,axis2_percent
-2.3398388520984614,3.343745525263678,Acanthaceae,Asterids (Lamiids),Asterids,26,32.21855700808355,24.06580457695735
0.6219521133708311,-1.6554643962876163,Actinidiaceae,Asterids (Basal),Asterids,29,32.21855700808355,24.06580457695735
-0.8752084669290711,-0.1369453912358971,Aizoaceae,Caryophyllales,Caryophyllales & Santalales,26,32.21855700808355,24.06580457695735
-1.7178765311255684,1.0894668338455678,Amaranthaceae,Caryophyllales,Caryophyllales & Santalales,33,32.21855700808355,24.06580457695735
-1.767942963025238,0.5094157143824919,Amaryllidaceae,Monocots,Monocots,76,32.21855700808355,24.06580457695735
-0.16573580716535408,-0.6205220154279387,Anacardiaceae,Rosids (Malvids),Rosids,80,32.21855700808355,24.06580457695735
-2.1151191925114814,0.772801970127572,Annonaceae,Magnoliids,Early angiosperms & magnoliids,209,32.21855700808355,24.06580457695735
-2.1586837521238995,0.6837156826124082,Apiaceae,Asterids (Campanulids),Asterids,103,32.21855700808355,24.06580457695735
0.3030629534073366,-0.03645124379688432,Apocynaceae,Asterids (Lamiids),Asterids,89,32.21855700808355,24.06580457695735
2.4063740341344406,3.4381723846830834,Araliaceae,Asterids (Campanulids),Asterids,12,32.21855700808355,24.06580457695735
-0.8080283843430113,-1.2903830943382066,Arecaceae,Monocots (Commelinids),Monocots,43,32.21855700808355,24.06580457695735
3.711879909066768,3.8579377320344475,Aristolochiaceae,Magnoliids,Early angiosperms & magnoliids,13,32.21855700808355,24.06580457695735
-1.6970235169890766,0.7326597431523807,Asparagaceae,Monocots,Monocots,158,32.21855700808355,24.06580457695735
-1.991853903812543,1.1020129795004487,Asphodelaceae,Monocots,Monocots,34,32.21855700808355,24.06580457695735
-1.023974066138811,1.4168469443388496,Asteraceae,Asterids (Campanulids),Asterids,716,32.21855700808355,24.06580457695735
3.7856944648785924,0.5944912452937736,Balanophoraceae,Santalales,Caryophyllales & Santalales,43,32.21855700808355,24.06580457695735
-0.21230459216104053,0.5542103723122898,Begoniaceae,Rosids (Fabids),Rosids,16,32.21855700808355,24.06580457695735
0.7230718983327297,0.19667960298690584,Berberidaceae,Basal Eudicots,Early eudicots & Saxifragales,12,32.21855700808355,24.06580457695735
-0.3506183829300712,-0.4279982096578491,Betulaceae,Rosids (Fabids),Rosids,48,32.21855700808355,24.06580457695735
0.21000115518659854,-0.5853061289955125,Bignoniaceae,Asterids (Lamiids),Asterids,23,32.21855700808355,24.06580457695735
-0.5839880941374362,0.6740462594737087,Blechnaceae,Ferns,Non-seed vascular plants,10,32.21855700808355,24.06580457695735
-0.5532500324602247,0.5069552320732644,Brassicaceae,Rosids (Malvids),Rosids,51,32.21855700808355,24.06580457695735
0.04834194567736464,-1.3490639599704382,Bromeliaceae,Monocots (Commelinids),Monocots,24,32.21855700808355,24.06580457695735
-0.8625672919468108,-0.6083060472979123,Burseraceae,Rosids (Malvids),Rosids,20,32.21855700808355,24.06580457695735
0.5981866195582728,-0.48028907936735815,Cactaceae,Caryophyllales,Caryophyllales & Santalales,20,32.21855700808355,24.06580457695735
-1.4129857992744523,-2.047046555073351,Calophyllaceae,Rosids (Fabids),Rosids,19,32.21855700808355,24.06580457695735
2.4763886110578057,0.8916163059528431,Campanulaceae,Asterids (Campanulids),Asterids,10,32.21855700808355,24.06580457695735
-2.64548444836277,1.5750190578217413,Cannabaceae,Rosids (Fabids),Rosids,77,32.21855700808355,24.06580457695735
2.8175976662213307,1.5463294742046585,Caryophyllaceae,Caryophyllales,Caryophyllales & Santalales,16,32.21855700808355,24.06580457695735
0.014585220677091573,-0.08532819814074373,Celastraceae,Rosids (Fabids),Rosids,57,32.21855700808355,24.06580457695735
0.41984377202413503,-0.20067615194691915,Cephalotaxaceae,Gymnosperms,Gymnosperms,10,32.21855700808355,24.06580457695735
-1.9035284898767395,0.6410974142240057,Chloranthaceae,Chloranthales,Early angiosperms & magnoliids,30,32.21855700808355,24.06580457695735
-0.5036445182834725,-0.8554328357606604,Chrysobalanaceae,Rosids (Fabids),Rosids,15,32.21855700808355,24.06580457695735
0.6873663811412813,-1.5160448370074078,Clusiaceae,Rosids (Fabids),Rosids,125,32.21855700808355,24.06580457695735
-1.9737874293603137,1.6645085558780506,Combretaceae,Rosids (Malvids),Rosids,71,32.21855700808355,24.06580457695735
1.1499283499556427,3.327854409462778,Convolvulaceae,Asterids (Lamiids),Asterids,39,32.21855700808355,24.06580457695735
0.2628050127629891,-1.9930535885878582,Crassulaceae,Saxifragales,Early eudicots & Saxifragales,39,32.21855700808355,24.06580457695735
1.3461201514389236,-1.4817771298938691,Cucurbitaceae,Rosids (Fabids),Rosids,19,32.21855700808355,24.06580457695735
0.3100375843818608,-0.3916510461553046,Cupressaceae,Gymnosperms,Gymnosperms,50,32.21855700808355,24.06580457695735
-0.8455144268001011,-2.5259284051705273,Cycadaceae,Gymnosperms,Gymnosperms,20,32.21855700808355,24.06580457695735
-2.306169190610953,0.822348649157798,Cyperaceae,Monocots (Commelinids),Monocots,69,32.21855700808355,24.06580457695735
2.1269513769234005,-0.8984057723378538,Davalliaceae,Ferns,Non-seed vascular plants,28,32.21855700808355,24.06580457695735
2.69577745018913,-1.7883538957726481,Dioscoreaceae,Monocots,Monocots,30,32.21855700808355,24.06580457695735
-1.627978413275294,0.21979854404077506,Dipterocarpaceae,Rosids (Malvids),Rosids,22,32.21855700808355,24.06580457695735
0.38404318365532913,-1.149432152884953,Dryopteridaceae,Ferns,Non-seed vascular plants,26,32.21855700808355,24.06580457695735
0.35613674549836094,-1.8182907224198626,Ebenaceae,Asterids (Basal),Asterids,26,32.21855700808355,24.06580457695735
1.1807312749843104,0.13925262709895458,Ericaceae,Asterids (Basal),Asterids,166,32.21855700808355,24.06580457695735
1.0970080173580357,0.7478673942285855,Erythroxylaceae,Rosids (Fabids),Rosids,20,32.21855700808355,24.06580457695735
-0.6250321929964638,0.2013055493113507,Euphorbiaceae,Rosids (Fabids),Rosids,214,32.21855700808355,24.06580457695735
-1.7311452068857536,1.1562000380073107,Fabaceae,Rosids (Fabids),Rosids,5027,32.21855700808355,24.06580457695735
1.8664554484695661,-1.3573753940726532,Fagaceae,Rosids (Fabids),Rosids,105,32.21855700808355,24.06580457695735
0.2746859595815897,4.168443624877426,Gentianaceae,Asterids (Lamiids),Asterids,25,32.21855700808355,24.06580457695735
0.9240359231200156,-1.444129065057682,Geraniaceae,Rosids (Malvids),Rosids,42,32.21855700808355,24.06580457695735
-2.4064841061516478,1.0870639867558796,Gesneriaceae,Asterids (Lamiids),Asterids,22,32.21855700808355,24.06580457695735
2.2635561429839024,-3.269554520042116,Gleicheniaceae,Ferns,Non-seed vascular plants,30,32.21855700808355,24.06580457695735
-0.7822387295574693,-1.7436935787645986,Gnetaceae,Gymnosperms,Gymnosperms,24,32.21855700808355,24.06580457695735
1.4500487539247553,-1.3075588801253866,Grossulariaceae,Saxifragales,Early eudicots & Saxifragales,34,32.21855700808355,24.06580457695735
1.3199974825863285,-2.203496394492804,Hamamelidaceae,Saxifragales,Early eudicots & Saxifragales,20,32.21855700808355,24.06580457695735
-1.7318287291923005,-0.27644485535156466,Heliotropiaceae,Asterids (Lamiids),Asterids,16,32.21855700808355,24.06580457695735
1.0961397813114229,-0.18691853756753007,Hypericaceae,Rosids (Fabids),Rosids,52,32.21855700808355,24.06580457695735
-0.5281370201246327,1.4079395133988435,Iridaceae,Monocots,Monocots,174,32.21855700808355,24.06580457695735
1.580617082066817,-2.1963255855274286,Juglandaceae,Rosids (Fabids),Rosids,30,32.21855700808355,24.06580457695735
-3.47827244988815,-0.1472104818250763,Krameriaceae,Rosids (Fabids),Rosids,29,32.21855700808355,24.06580457695735
-0.8462524274833085,0.9945852959536787,Lamiaceae,Asterids (Lamiids),Asterids,264,32.21855700808355,24.06580457695735
-1.8258196921846839,0.7447587643956863,Lauraceae,Magnoliids,Early angiosperms & magnoliids,241,32.21855700808355,24.06580457695735
1.5434773791580914,-0.957426236340304,Loranthaceae,Santalales,Caryophyllales & Santalales,13,32.21855700808355,24.06580457695735
1.098613468955637,-0.7399115802500499,Lythraceae,Rosids (Malvids),Rosids,35,32.21855700808355,24.06580457695735
0.8335791975531374,-1.2767654909169828,Malpighiaceae,Rosids (Fabids),Rosids,30,32.21855700808355,24.06580457695735
0.8752015437039465,-0.6729491373924044,Malvaceae,Rosids (Malvids),Rosids,77,32.21855700808355,24.06580457695735
1.3530791244301537,-0.3863052607910691,Melastomataceae,Rosids (Malvids),Rosids,27,32.21855700808355,24.06580457695735
-1.539382287151879,0.2094265687111001,Meliaceae,Rosids (Malvids),Rosids,113,32.21855700808355,24.06580457695735
-1.8377887857908515,-0.4439090387828957,Moraceae,Rosids (Fabids),Rosids,871,32.21855700808355,24.06580457695735
-2.3651528444403387,0.20359237057989396,Muntingiaceae,Rosids (Malvids),Rosids,46,32.21855700808355,24.06580457695735
1.203695255130929,-1.3818424457152156,Musaceae,Monocots (Commelinids),Monocots,21,32.21855700808355,24.06580457695735
-1.213524278786767,-0.771749909511396,Myricaceae,Rosids (Fabids),Rosids,48,32.21855700808355,24.06580457695735
-1.5434467766864632,0.3623418380310951,Myristicaceae,Magnoliids,Early angiosperms & magnoliids,99,32.21855700808355,24.06580457695735
-1.2252776051002217,0.5061969511930401,Myrtaceae,Rosids (Malvids),Rosids,190,32.21855700808355,24.06580457695735
-1.6762508748552944,-0.33389117554602954,Namaceae,Asterids (Lamiids),Asterids,14,32.21855700808355,24.06580457695735
-1.4022744603785209,-0.4828381506683388,Nyctaginaceae,Caryophyllales,Caryophyllales & Santalales,34,32.21855700808355,24.06580457695735
2.289124493697629,1.288775347079151,Nymphaeaceae,Basal Angiosperms,Early angiosperms & magnoliids,12,32.21855700808355,24.06580457695735
-1.1398529498175174,-1.6001009832429707,Ochnaceae,Rosids (Fabids),Rosids,70,32.21855700808355,24.06580457695735
3.537943062026696,1.5514992394611893,Onagraceae,Rosids (Malvids),Rosids,24,32.21855700808355,24.06580457695735
1.9601927497445302,1.9744761975411784,Onocleaceae,Ferns,Non-seed vascular plants,21,32.21855700808355,24.06580457695735
-1.3475723338483427,0.8705514435657941,Orchidaceae,Monocots,Monocots,109,32.21855700808355,24.06580457695735
0.9489359718910252,-0.7195320161332538,Paeoniaceae,Saxifragales,Early eudicots & Saxifragales,10,32.21855700808355,24.06580457695735
-2.2879602767216127,0.43061399130285233,Paulowniaceae,Asterids (Lamiids),Asterids,99,32.21855700808355,24.06580457695735
-1.292891513047767,1.967072807941004,Petiveriaceae,Caryophyllales,Caryophyllales & Santalales,13,32.21855700808355,24.06580457695735
-2.24051534873126,0.07995564922988715,Phrymaceae,Asterids (Lamiids),Asterids,17,32.21855700808355,24.06580457695735
1.0957502953250307,-0.45121877591142434,Phyllanthaceae,Rosids (Fabids),Rosids,81,32.21855700808355,24.06580457695735
0.7668594881207077,-0.4206515249155111,Pinaceae,Gymnosperms,Gymnosperms,166,32.21855700808355,24.06580457695735
-2.6100944560138193,0.8760609388764597,Piperaceae,Magnoliids,Early angiosperms & magnoliids,110,32.21855700808355,24.06580457695735
2.6393766967165195,2.99011908504103,Plantaginaceae,Asterids (Lamiids),Asterids,24,32.21855700808355,24.06580457695735
0.37828392325035215,-0.9740952071827491,Platanaceae,Basal Eudicots,Early eudicots & Saxifragales,20,32.21855700808355,24.06580457695735
-0.6538257570549132,-0.5321417977295029,Plumbaginaceae,Caryophyllales,Caryophyllales & Santalales,33,32.21855700808355,24.06580457695735
-1.0366205187101234,-0.08750564633705488,Poaceae,Monocots (Commelinids),Monocots,61,32.21855700808355,24.06580457695735
0.7549875338307842,-0.7384606855725566,Podocarpaceae,Gymnosperms,Gymnosperms,44,32.21855700808355,24.06580457695735
-0.8846686869848369,-0.35108438482694443,Polygonaceae,Caryophyllales,Caryophyllales & Santalales,144,32.21855700808355,24.06580457695735
2.782463859936941,1.420884058612985,Polypodiaceae,Ferns,Non-seed vascular plants,27,32.21855700808355,24.06580457695735
-1.1967404042125065,0.26121578003054796,Primulaceae,Asterids (Basal),Asterids,27,32.21855700808355,24.06580457695735
1.0993384153114298,-1.0999608476423968,Proteaceae,Basal Eudicots,Early eudicots & Saxifragales,11,32.21855700808355,24.06580457695735
-1.5447424681085986,-0.6321919166298978,Pteridaceae,Ferns,Non-seed vascular plants,101,32.21855700808355,24.06580457695735
-0.3017051943425528,0.9838746475911967,Ranunculaceae,Basal Eudicots,Early eudicots & Saxifragales,19,32.21855700808355,24.06580457695735
-0.3687136640604932,-0.09155695511888808,Rhamnaceae,Rosids (Fabids),Rosids,119,32.21855700808355,24.06580457695735
0.8971384534243911,-1.6428646948327599,Rhizophoraceae,Rosids (Fabids),Rosids,64,32.21855700808355,24.06580457695735
1.2016090588603465,0.30184846296565737,Rosaceae,Rosids (Fabids),Rosids,299,32.21855700808355,24.06580457695735
0.3316504139557032,-0.761768246010832,Rubiaceae,Asterids (Lamiids),Asterids,118,32.21855700808355,24.06580457695735
-0.9792535430106593,2.046441977556916,Rutaceae,Rosids (Malvids),Rosids,316,32.21855700808355,24.06580457695735
-0.8172081563706479,-0.23641567521766238,Salicaceae,Rosids (Fabids),Rosids,79,32.21855700808355,24.06580457695735
2.1195147525461353,3.06264775283919,Santalaceae,Santalales,Caryophyllales & Santalales,78,32.21855700808355,24.06580457695735
1.4086620893981288,-1.6725062983598291,Sapindaceae,Rosids (Malvids),Rosids,78,32.21855700808355,24.06580457695735
0.06879283793919111,-0.24208549286557385,Sapotaceae,Asterids (Basal),Asterids,25,32.21855700808355,24.06580457695735
-2.5067317367265676,-0.46968598219273144,Sarcolaenaceae,Rosids (Malvids),Rosids,15,32.21855700808355,24.06580457695735
0.9570302936373036,-1.2673300133782812,Saxifragaceae,Saxifragales,Early eudicots & Saxifragales,26,32.21855700808355,24.06580457695735
-0.5578791012810776,-1.3035317167133371,Schisandraceae,Basal Angiosperms,Early angiosperms & magnoliids,21,32.21855700808355,24.06580457695735
-1.1725514863661157,-2.292150378623198,Selaginellaceae,Lycophytes,Non-seed vascular plants,26,32.21855700808355,24.06580457695735
-0.7944263034623638,-0.9916016917708306,Simaroubaceae,Rosids (Malvids),Rosids,25,32.21855700808355,24.06580457695735
1.2114266480637634,-0.28358604978402624,Smilacaceae,Monocots,Monocots,62,32.21855700808355,24.06580457695735
0.19779650908799212,-0.3881071739504198,Solanaceae,Asterids (Lamiids),Asterids,63,32.21855700808355,24.06580457695735
5.4144070082219775,-3.8293029561437226,Stachyuraceae,Rosids (Malvids),Rosids,10,32.21855700808355,24.06580457695735
-2.6308985155708147,-0.3364394505712464,Stemonaceae,Monocots,Monocots,16,32.21855700808355,24.06580457695735
1.6284034146668824,-1.773418508503447,Theaceae,Asterids (Basal),Asterids,126,32.21855700808355,24.06580457695735
3.214373502579007,4.347012659789436,Thelypteridaceae,Ferns,Non-seed vascular plants,74,32.21855700808355,24.06580457695735
-0.20582223166638117,-1.206305465544517,Thymelaeaceae,Rosids (Malvids),Rosids,87,32.21855700808355,24.06580457695735
3.2111815261111265,1.8674661353531605,Ulmaceae,Rosids (Fabids),Rosids,15,32.21855700808355,24.06580457695735
-1.4193138987717389,-0.31994175259966606,Velloziaceae,Monocots,Monocots,10,32.21855700808355,24.06580457695735
-0.5722789102132843,-1.0872596139944697,Verbenaceae,Asterids (Lamiids),Asterids,15,32.21855700808355,24.06580457695735
0.787733725646036,0.2825531868368785,Viburnaceae,Asterids (Campanulids),Asterids,19,32.21855700808355,24.06580457695735
3.4922030666891115,3.439224510423682,Violaceae,Rosids (Fabids),Rosids,15,32.21855700808355,24.06580457695735
0.40258504948072016,-0.25307074702132787,Vitaceae,Rosids (Basal),Rosids,99,32.21855700808355,24.06580457695735
-1.7601743639591574,0.9682401313760644,Vochysiaceae,Rosids (Malvids),Rosids,28,32.21855700808355,24.06580457695735
-2.6909764425682003,0.47708006680946896,Zingiberaceae,Monocots (Commelinids),Monocots,184,32.21855700808355,24.06580457695735
