inchikey,n_classifiable_domains,n_concordant_domains,n_active_only_domains,n_above_cutoff_only_domains,n_mixed_evidence_domains,any_active_only,any_above_cutoff_only,any_mixed_evidence
BHIIMRBCELSOFD-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BHTMJPHRPUKDBL-VAWYXSNFSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
BICKLHZENLKHGI-LXEULODHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BJAHHJOBSKZTFE-JUIPTLLLSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BJRPKUAESAVDDK-ZZXKWVIFSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
BJVDGVPUXJNXHR-QGZVFWFLSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
BKYWAYNSDFXIPL-LOSJGSFVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BLSFQQNRFOVLGQ-KRWDZBQOSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BLSFQQNRFOVLGQ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BLZGPHNVMRXDCB-UXBLZVDNSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
BLZMHRPUJFCGIJ-UXBLZVDNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BMIMEYWWZBBDCM-QHCPKHFHSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
BMLIIPOXVWESJG-KEDVUCMTSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
BMLIIPOXVWESJG-LMBCONBSSA-N,3,2,1,1,1,TRUE,TRUE,TRUE
BMZFZTMWBCFKSS-UHFFFAOYSA-N,5,3,1,2,2,TRUE,TRUE,TRUE
BNFXYMBRFDJYCH-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BNHKKFCHFULPFL-YWZLYKJASA-N,2,2,1,1,0,TRUE,TRUE,FALSE
BOBWTYODGOYWRC-UVIRAJKCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BOYAGHNMYQPGKZ-VMPITWQZSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BPKGZLQVBQRSMK-QVDUQQMDSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
BTCICADMSGBCKA-VGVWILAUSA-N,4,4,2,2,0,TRUE,TRUE,FALSE
BURSEYYMJTXRQK-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
BVFVJUGNDWHJBT-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BVHLNRAYBCPKOY-NRFANRHFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BVKQRAYKLBRNIK-UHFFFAOYSA-N,4,2,1,1,2,TRUE,TRUE,TRUE
BWFSBUVPIAIXKJ-QHHAFSJGSA-N,3,3,0,3,0,FALSE,TRUE,FALSE
BWSXMPVDLMJKKY-QFIPXVFZSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BXMWIRIMYNWIGQ-CMDGGOBGSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
BXWABJPTCUDBMM-UDGCLMCYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
BYALYZGUSBVZQP-XJBIVIJWSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BYNYZQQDQIQLSO-UHFFFAOYSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
BYSRPHRKESMCPO-HMQYECKYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BYSRPHRKESMCPO-LQNPQWRQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
BYSRPHRKESMCPO-XDJXAWJCSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
BYZVMAQRPFEPSV-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
BZEKKSSYFMPCCF-UHFFFAOYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
CAPJLGPKGOVWIU-YIYLECCTSA-N,2,0,0,0,2,FALSE,FALSE,TRUE
CBEPNYOFLRIAGR-LLVKDONJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CBGDCCSHOGQUSW-MDWZMJQESA-N,2,2,2,0,0,TRUE,FALSE,FALSE
CCOJFDRSZSSKOG-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CCUZOQMNQONIMX-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
CEBBHGDAHZDJTP-FNORWQNLSA-N,4,4,1,3,0,TRUE,TRUE,FALSE
CEQRNWQUBHZVDF-MTKHPJAWSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CEQRNWQUBHZVDF-QCRGFSPQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CFGUDCVYJGCIHR-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CFWLRXJPRRCJTI-UHFFFAOYSA-N,3,3,2,1,0,TRUE,TRUE,FALSE
CGIBCVBDFUTMPT-RMKNXTFCSA-N,4,4,1,3,0,TRUE,TRUE,FALSE
CHAAQDMHLLQJRO-UHFFFAOYSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
CHBPBJKGYCNSLI-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
CHDJBHWCUVZCGP-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CHDLFAIVPUPGAT-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CHMHCJPJPCCBKX-OGGKTOENSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CHQXHOMGCLNJIG-FZMZJTMJSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
CHWWSUSAPRACBZ-FMIVXFBMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CJAXVEMKKDGDQM-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
CJUFYKORDZSOLF-INIZCTEOSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
CJWQYWQDLBZGPD-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
