inchikey,n_classifiable_domains,n_concordant_domains,n_active_only_domains,n_above_cutoff_only_domains,n_mixed_evidence_domains,any_active_only,any_above_cutoff_only,any_mixed_evidence
FZUJHUDJFJCWMT-BPARTEKVSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
GADGMUTUOCVUJQ-GQCTYLIASA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GAGKUHAKUBMORD-IJDCCNJMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GAQSUFOBIREXHT-VQIMIIECSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
GBRZTUJCDFSIHM-KRWDZBQOSA-N,3,3,2,1,0,TRUE,TRUE,FALSE
GBVCHRDRVDOMQV-RTWAWAEBSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
GCSSGYKMPPFQLH-KDJZGPCZSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GCWOYVFHJDNKIN-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GDHZZZRERDPSTA-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GDHZZZRERDPSTA-OAHLLOKOSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GDSRNXASWYVDMP-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GFGQVFFYGKOFJS-LEEIDUJMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GFWPWSNIXRDQJC-LMSSTIIKSA-N,3,3,2,1,0,TRUE,TRUE,FALSE
GFWPWSNIXRDQJC-PXJZQJOASA-N,3,3,2,1,0,TRUE,TRUE,FALSE
GFWPWSNIXRDQJC-UHFFFAOYSA-N,4,3,1,2,1,TRUE,TRUE,TRUE
GGIPOZCJJKKBBV-RFAUZJTJSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
GGIPOZCJJKKBBV-UHFFFAOYSA-N,2,0,0,0,2,FALSE,FALSE,TRUE
GHCZYXUOYFOXIP-UHFFFAOYSA-N,8,7,5,2,1,TRUE,TRUE,TRUE
GJFHZVPRFLHEBR-KETROQBRSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
GJFHZVPRFLHEBR-VIZOYTHASA-N,2,1,1,0,1,TRUE,FALSE,TRUE
GJKQLIDFFREHGO-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GJWXCPDVDRIBKP-CNTBMXMRSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GKEWZBRIASMMCY-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GKIHPJBWPIVSEV-HULALXFYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
GKIZWUHTCYQZHL-ZDLGFXPLSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
GLMLQROWOJXFJA-FRKPEAEDSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GMCVGMAGOGOINY-LLVKDONJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GMGRYHOHJJROMP-OVCLIPMQSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
GMISZFQPFDAPGI-CVJZBMGUSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
GMISZFQPFDAPGI-JJYFIROESA-N,2,2,0,2,0,FALSE,TRUE,FALSE
GMISZFQPFDAPGI-ZBRHZRBFSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
GMVYLXBMPRDZDR-AWEZNQCLSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GNSZORQLSBGISE-QAZUOQDGSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GNXIIYFUGQWDJG-LAUBAEHRSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GOAUTULGLLBZSR-YLLUOSTHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GOMNOOKGLZYEJT-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GPGFGFUBECSNTG-SFTVRKLSSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GPHIDEIQYPAQLK-BPARTEKVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GPSKVSZZHKDRDQ-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GQGAUUMVOCWEFW-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
GRHKVSQNMXZXME-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GSBNFGRTUCCBTK-DAFODLJHSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
GSSOWCUOWLMMRJ-UHFFFAOYSA-N,4,3,1,2,1,TRUE,TRUE,TRUE
GSTCPEBQYSOEHV-QNDFHXLGSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GUMFPOIJOXLCLA-JKSUJKDBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GUNGQVJAKLIYDG-JXMROGBWSA-N,4,3,0,3,1,FALSE,TRUE,TRUE
GUOZFKYIHZVTRA-QBHOUYDASA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GUQBHRSHFCOITG-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GUQGMEWOCKDLDE-RMKNXTFCSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
GVKLXAPXNKDQGB-TXZJYACMSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
GVXVZXDPRNGAOE-ZCFXJLACSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
GWDMTADRTCKKKV-ZXWJAXLNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GWVGVAPNTKLROZ-KRWDZBQOSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
GXUDMRDICMYDQL-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
GZTDFKLABHOHBU-SFHVURJKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HAIHGFWQOPJMPV-ZDUSSCGKSA-N,4,3,0,3,1,FALSE,TRUE,TRUE
HAXYQNFQUDHACW-LVJWOEPNSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
HAZLNOUWLROAAU-KQFLDCGVSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
HBTGYTAWTFVIRO-QKOOUZAASA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HBUKGWAZEVMVBC-VWLOTQADSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HCKWMBTVENMFOU-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HCNLDGTUMBOHKT-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HDDUSYQWBVKRGV-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
HDEHMKSXXSBSHM-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
HELLEJINRNHBKU-LEWJYISDSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HFDPLPWGKGPTJB-LSDHHAIUSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HGFWVFTZYRJFRI-QMJWHCKBSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HGHOPAZIUPORIN-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
HGZMVLUPBGGJMI-RMKNXTFCSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
HHCUPEXQXWEBHY-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HHNXXWDNZKAGHV-XVNBXDOJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HHSHAXHGYOQIQP-OZRRSSBWSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HIFJVFRJNUZYGI-NVKVKWIFSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HIMSTRVEHVBQCS-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
HIWJJOYYZFELEZ-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
HJJNGNVCQLTMCE-JXMROGBWSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HKEAFJYKMMKDOR-VPRICQMDSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
HKPGWUPXXPIOAN-HCASUDDKSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
HKPGWUPXXPIOAN-XMTAIGAMSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
HKQYGTCOTHHOMP-UHFFFAOYSA-N,6,3,2,1,3,TRUE,TRUE,TRUE
HLOABGSBRIDRHW-UHFFFAOYSA-N,2,0,0,0,2,FALSE,FALSE,TRUE
HLQJCYNRIXWLJK-MHSNNWACSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HMTMYIWMPJSCAZ-GOSISDBHSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HMTMYIWMPJSCAZ-UHFFFAOYSA-N,3,1,0,1,2,FALSE,TRUE,TRUE
HMUJXQRRKBLVOO-AWEZNQCLSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
HMUJXQRRKBLVOO-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HNORCYMXOCSMNP-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HOGHBEDTLGAJAS-CPJSRVTESA-N,2,1,1,0,1,TRUE,FALSE,TRUE
HOGHBEDTLGAJAS-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
HORNIGLAKNPZGF-IBGZPJMESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HOTYOZVURUOVTK-XNTDXEJSSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HPSPCMSCDNHZJM-CHHVJCJISA-N,2,2,1,1,0,TRUE,TRUE,FALSE
HPUMCKZHBQPWBN-URLMMPGGSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HQIYVJDLRVEGDX-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HRRWPOOLLFZIQU-MOPGFXCFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HRRWPOOLLFZIQU-OALUTQOASA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HSZOZDPOYZAYTH-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HTDSMOBGCNRBHQ-RMKNXTFCSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
HTHLDJJBNQWUJJ-UHFFFAOYSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
HTNJCCKJJVLCTO-BUSXIPJBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HUBUCUOTSSVULF-UZTVYBTHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HUGUGFBIYQBLCS-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HUKSJTUUSUGIDC-BDJLRTHQSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
HUKSJTUUSUGIDC-ZBEGNZNMSA-N,3,1,1,0,2,TRUE,FALSE,TRUE
HUQKUJNSVHEHIH-UHFFFAOYSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
HXGGEGJYNMWHAD-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
HXSRAKGAZOSYEH-WFQOKMFZSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
HXTFHSYLYXVTHC-AJHDJQPGSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
HXYUOYQBJCJYOZ-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
HZCGTSDDHHPRDX-UZTOHYMASA-N,1,1,1,0,0,TRUE,FALSE,FALSE
IAFBOKYTDSDNHV-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
IAUDUEQNUVKNBT-SOFGYWHQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ICUCUXZJAYHKLS-SJCJKPOMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IELIPFOSZBGSTN-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IERGURVELWCYAW-LLVKDONJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IERGURVELWCYAW-NSHDSACASA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IFBKHALGBAGBGN-OTBDCBHPSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IFIRIIBDWLSFFH-ZDUSSCGKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IFQCOXCDQXGBFK-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
IFWVGNKYQITBOH-AMKSKSKJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IGCZWOGVHOOOEO-INIZCTEOSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
IGHVYQBBZBLNDW-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IGSYALWDCAHJEF-FCHUYYIVSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
IHWPQGIYXJKCOV-PTNGSMBKSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
IIWLGOCXDBSFCM-RMKNXTFCSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
IJCCBLTVMMYSFZ-WAKDBBHESA-N,1,0,0,0,1,FALSE,FALSE,TRUE
IJCWCJRLHJAVFD-RDTXWAMCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IJYFCLZEBZPQIZ-AKCHCHLHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IKKCPYPLJMVWMP-URLMMPGGSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
IKMBURJDYFYECV-ALMQMIPOSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
ILCMVLORKWIOOH-CEMXSPGASA-N,2,2,1,1,0,TRUE,TRUE,FALSE
ILOKNKKFXJKHMB-GFCCVEGCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ILOKNKKFXJKHMB-LBPRGKRZSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
INBPQAJYHSJVRY-UHFFFAOYSA-N,4,3,1,2,1,TRUE,TRUE,TRUE
INBPQAJYHSJVRY-ZDUSSCGKSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
INHFJIACOJCKGT-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
INHRJYBOMHQVBR-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
INYISIYHXQDCPK-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
IORSRBKNYXPSDO-NDEPHWFRSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IOUVKUPGCMBWBT-QNDFHXLGSA-N,4,3,0,3,1,FALSE,TRUE,TRUE
IOUVKUPGCMBWBT-RQXATKFSSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IOUVKUPGCMBWBT-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IOYHCQBYQJQBSK-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
IPMYMEWFZKHGAX-ZKSIBHASSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
IPQQRODECSTJDH-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IPSAJBVTBHIOPK-QFKXSIOCSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IPWPEUJWMOPJDG-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
IPXXMSXJVCGTCG-SFHVURJKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IQHPDUUSMBMDGN-WEVVVXLNSA-N,5,2,1,1,3,TRUE,TRUE,TRUE
ISNRMYJISDGWTH-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
ISQRJFLLIDGZEP-CMWLGVBASA-N,3,2,0,2,1,FALSE,TRUE,TRUE
ITDYPNOEEHONAH-HIFRSBDPSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ITDYPNOEEHONAH-UKRRQHHQSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
ITLIIDFSTPOGDA-XZOQPEGZSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
ITVZAHAQSAAKJV-BJKOFHAPSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
ITWVCZGLHWNQIQ-KRWDZBQOSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IULVGTQOZKYHCS-QHHAFSJGSA-N,3,2,2,0,1,TRUE,FALSE,TRUE
IUNNUKJWKPJUCQ-AHJAKLPMSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IVBQZFJZIGYXMK-UHFFFAOYSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
IXIPQIDMKALZTH-HXUWFJFHSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
IXWIHCRZHCXORX-QHCPKHFHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
IZMSMYAPBBZFQP-IMTZNOAFSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
JAAWOQQDCOFLRV-IAQYHMDHSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
JBQATDIMBVLPRB-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JCLYSCYJVYARSD-INIZCTEOSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
JCPGMXJLFWGRMZ-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
JDEBLAIUKXAQFI-DLBZAZTESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JDKOSPKTKADBCU-GKCIPKSASA-N,3,3,0,3,0,FALSE,TRUE,FALSE
JDLWWTGCAJYSSZ-ZSDSOXJFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JDLZAZIAVULNSS-SGJLQWKXSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JEEVVZXYEKPPCC-ZDUSSCGKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JFVKWCYZKMUTLH-AYPBNUJASA-N,2,2,2,0,0,TRUE,FALSE,FALSE
JGPQAWUEYNNXOH-QPJJXVBHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JHLIRXZGNHHBHX-RIYZIHGNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JIVANWVLNGMSOX-LSDHHAIUSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JIVANWVLNGMSOX-UHFFFAOYSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
JJOUBYOHNYJCOU-IBGZPJMESA-N,2,2,1,1,0,TRUE,TRUE,FALSE
JKEOWRFBUPMWAZ-AWEZNQCLSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JKVINBILQDMNEH-DQUNLGLBSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
JLTNCZQNGBLBGO-MOPGFXCFSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
JLTNCZQNGBLBGO-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
JMZFKVHPHJWAFE-MRXNPFEDSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JNBKPNKHWDVXRA-SOFGYWHQSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JNJLRXUXPJHPCK-UHFFFAOYSA-N,3,3,0,3,0,FALSE,TRUE,FALSE
JOQWUUJQWPZLAT-UHFFFAOYSA-N,3,3,0,3,0,FALSE,TRUE,FALSE
JOVYBWHPTQRVNZ-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
JOWOJLYSOUYSCI-CMDGGOBGSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JPIDUHLSGGDKPQ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JQNMAEHFTQBROH-JXMROGBWSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
JQNSUDIGIIGIOL-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
JQTICVCBLJKCKO-RKHOIXOUSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JRLDUAGSJUMVDP-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JRTNAZKQGYGUQE-SFHVURJKSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JRVIIPJSVKTPBK-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
JTPMXGZHRQYFTB-HNNXBMFYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JTWAOWXXBMXCGP-UHFFFAOYSA-N,2,1,1,0,1,TRUE,FALSE,TRUE
JUKXEUCJMRWMTL-ODOSRFNGSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JUMSUVHHUVPSOY-RMKNXTFCSA-N,3,1,1,0,2,TRUE,FALSE,TRUE
JUZVHLGKYJTCKP-CMDGGOBGSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
JVBCTBWKMWXQQO-VWLOTQADSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
JVBWQMXKHDHBIZ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JVGNTXGHBHMJDO-QHHAFSJGSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
JWFFWURECCTPGO-DYRYEQCVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JWYULKXTGMJKKM-JKSUJKDBSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JXVOAHGNNBAJCD-ZENAZSQFSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
JYEPVYNKUJFCHX-KDOFPFPSSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JZCLWJAANXMNAY-JXFKEZNVSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
JZJXKCZMGGESMI-AWEZNQCLSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
JZKDEUIGORKVDU-ZVYHSEPTSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
JZNIBAUSQWDFGE-UHFFFAOYSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
KAAIDCFNSXASKK-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KAZSKMJFUPEHHW-DHZHZOJOSA-N,8,4,0,4,4,FALSE,TRUE,TRUE
KBNCXSMEPKTSAW-QSVOBOOJSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KDAHPBGYDUMHRL-QPEQYQDCSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
KDDIWXQFRQYXCG-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KDEQNCVCQDEWGJ-CCLHPLFOSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KDJZPCLLOPNECJ-UHFFFAOYSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
KEEWIHDTSNESJZ-ZJHVPRRPSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KELZXQFUMCJJML-WEVVVXLNSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KEZLDSPIRVZOKZ-AUWJEWJLSA-N,4,1,0,1,3,FALSE,TRUE,TRUE
KFGFEKHSEPSVNO-AWEZNQCLSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KFGFEKHSEPSVNO-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KGEXXFMIHPTSAT-YQFJPLGNSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KGFYDIZALLKOLQ-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
KGGDBGGPDRWGEC-BGPOSVGRSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
KGOOVUKZICPAIZ-FRKPEAEDSA-N,3,3,2,1,0,TRUE,TRUE,FALSE
KGTOSQKIOMIICT-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KHRIMNSVBOMHSN-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KHXZCJPKCAEZQD-INIZCTEOSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KILWWFPDYZRTJI-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KIMDVVKVNNSHGZ-UHFFFAOYSA-N,3,2,0,2,1,FALSE,TRUE,TRUE
KIUJXFHVPMFXEJ-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KJDKNNNKRLAENJ-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
KJGPBYUQZLUKLL-UHFFFAOYSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
KJOUKFLQGCLIOG-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KJXSIXMJHKAJOD-HUUCEWRRSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
KJXSIXMJHKAJOD-LSDHHAIUSA-N,4,3,1,2,1,TRUE,TRUE,TRUE
KKCLNMWDNUQXPP-LLVKDONJSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KKFAKKIIFUFASS-UHFFFAOYSA-N,2,2,2,0,0,TRUE,FALSE,FALSE
KKTYCZKXENFEJP-CMDGGOBGSA-N,1,0,0,0,1,FALSE,FALSE,TRUE
KMJPKUVSXFVQGZ-WQLSNUALSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
KMTVRFNKQCNYOQ-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KNJNBKINYHZUGC-UHFFFAOYSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
KNQQUXVBDOWOCQ-AWEZNQCLSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
KOAAZLIOOBKJEK-UHFFFAOYSA-N,2,2,1,1,0,TRUE,TRUE,FALSE
KOWOOXVTWKELMT-RQDFUGDESA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KOXRJHMEFYNYME-JLTOFOAXSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KQLMUJOKBRYEHR-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KQMVAGISDHMXJJ-UHFFFAOYSA-N,3,3,1,2,0,TRUE,TRUE,FALSE
KQNGHARGJDXHKF-UHFFFAOYSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KQOZBCGTGONGDN-UJVMDJEKSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KQYSCOBBQXGSPJ-LHJLODMPSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KRDJMIGLRVHACC-OFYRFEPDSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KRJPWSDKKBLTLE-UHFFFAOYSA-N,2,2,0,2,0,FALSE,TRUE,FALSE
KSBALECVCJXYHU-IBGZPJMESA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KSCLRZILZVMUPZ-ZWKOTPCHSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KSESTLPJESZHFG-ZSDSOXJFSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KSFWNDOCIUMRTJ-PXNSSMCTSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KSVVGBSBNPMXJF-RECXWPGBSA-N,0,0,0,0,0,FALSE,FALSE,FALSE
KTAQQSUPNZAWEY-OSPHWJPCSA-N,2,1,0,1,1,FALSE,TRUE,TRUE
KTLUHRSHFRODPS-RIQPQZJCSA-N,3,3,2,1,0,TRUE,TRUE,FALSE
KUBUHOMBTJDYAN-FUQZIJMVSA-N,1,1,0,1,0,FALSE,TRUE,FALSE
KUWGTESSHWPSOB-UHFFFAOYSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
KVLODOJZOXFBNP-PVKHHADTSA-N,1,1,1,0,0,TRUE,FALSE,FALSE
