inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
AEAIWNGAMDGGNB-UHFFFAOYSA-N,Metabolic Enzymes,Pterocarpan,1,1,0,Methoxy+Prenyl,352.3860000000001,4.920700000000005,72.06,0.23809523809523808,pass,6.52,1.72875930693483,1.72875930693483,1.728759306934834,1,1,1,1,IC50,1.72875930693483,-3.9968028886505635e-15,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Cell Signaling and Survival,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.84,-0.32956437182757,-0.32956437182757,-0.3295643718275701,2,2,2,1,IC50,-0.32956437182757,1.1102230246251565e-16,0
AETKQQBRKSELEL-ZHACJKMWSA-N,General Assays and Safety,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.745,-0.4045801080966926,-0.4045801080966926,-0.40458010809669265,2,2,2,2,EC50;IC50,-0.4045801080966926,5.551115123125783e-17,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Infectious Diseases,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.54,-0.827651935780319,-0.827651935780319,-0.8276519357803188,1,1,1,1,EC50,-0.827651935780319,-2.220446049250313e-16,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Metabolic Enzymes,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.82,-0.495676476677193,-0.495676476677193,-0.49567647667719295,1,1,1,1,IC50,-0.495676476677193,-5.551115123125783e-17,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Neuroscience Targets,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.115,-1.4734729409695,-1.4734729409695,-1.4734729409695029,2,2,2,1,IC50,-1.4734729409695,2.886579864025407e-15,0
AETKQQBRKSELEL-ZHACJKMWSA-N,Phenotypic: Cancer and Cells,Chalcones,0,0,0,Simple,224.25900000000001,3.2883000000000018,37.3,0,pass,4.215,-1.11583668364641,-1.11583668364641,-1.1158366836464058,9,6,9,1,IC50,-1.11583668364641,-4.218847493575595e-15,0
AGFXXWXSPAYWMF-UHFFFAOYSA-N,Infectious Diseases,Pterocarpan,0,1,0,Prenyl,350.3700000000001,4.724600000000004,79.9,0.19047619047619047,pass,6.045,1.413423921068551,1.413423921068551,1.6474423561520233,3,3,3,2,IC50;Ki,1.413423921068551,-0.2340184350834722,0
AHQPCANDOCWXDN-MDWZMJQESA-N,Cell Signaling and Survival,Chalcones,1,1,0,Methoxy+Prenyl,406.52200000000016,6.019900000000007,66.76,0.2692307692307692,pass,4.83,-0.34282191079536,-0.34282191079536,-0.34282191079535956,1,1,1,1,IC50,-0.34282191079536,-4.440892098500626e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Cell Signaling and Survival,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,4.57,-0.687517923957893,-0.687517923957893,-0.6875179239578935,1,1,1,1,IC50,-0.687517923957893,4.440892098500626e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Gene Regulation,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,5.05,-0.342887519464092,-0.342887519464092,-0.34288751946409196,2,2,2,1,IC50,-0.342887519464092,-5.551115123125783e-17,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Infectious Diseases,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,4.737500000000001,-0.1855225701809125,-0.1855225701809125,-0.2083216658043076,4,3,4,2,IC50;Kd,-0.1855225701809125,0.022799095623395105,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Inflammation and Proteolysis,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,5.675,1.84668472649985,1.84668472649985,1.846684726499851,3,3,3,1,IC50,1.84668472649985,-8.881784197001252e-16,0
AIONOLUJZLIMTK-AWEZNQCLSA-N,Metabolic Enzymes,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,5.815,0.7368060693467436,0.806272702554553,0.5576597962412475,15,15,15,3,AC50;IC50;Ki,0.7368060693467436,0.17914627310549613,0.06946663320780933
AIONOLUJZLIMTK-AWEZNQCLSA-N,Phenotypic: Cancer and Cells,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,4.3175,-0.930560932083696,-0.930560932083696,-0.9305609320836962,6,4,6,1,IC50,-0.930560932083696,2.220446049250313e-16,0
AIONOLUJZLIMTK-UHFFFAOYSA-N,Metabolic Enzymes,Flavanones,1,0,0,Methoxy,302.28200000000004,2.518500000000001,96.22000000000001,0.1875,pass,5.78,0.760475495244893,0.760475495244893,0.7604754952448933,2,2,2,1,IC50,0.760475495244893,-3.3306690738754696e-16,0
