visual_clade,n_unique_compounds,n_compound_domain_rows,n_records,median_z_potency,mean_z_potency,q1_z_potency,q3_z_potency,iqr_z_potency,min_z_potency,max_z_potency
Magnoliids,29,38,72,0.1905429026821315,0.06932924512386598,-0.5500691741051377,0.7146485864167237,1.2647177605218614,-1.53478742128697,1.98960796260842
Rosids (Fabids),563,819,1605,-5.70920084339712e-4,0.08867180027322957,-0.6202488779797926,0.610391050425669,1.2306399284054614,-1.59772305314224,5.19882937774077
Asterids (Basal),15,27,53,-0.0602954749633862,-0.031583234548272054,-0.6086923623727715,0.247470290078405,0.8561626524511765,-1.58165361686554,2.29136109296951
Asterids (Campanulids),20,33,81,-0.15327122103555102,-0.2107625920381865,-0.654305209549688,0.247969526698699,0.9022747362483869,-1.45087537199295,1.61133576782326
Asterids (Lamiids),34,53,126,-0.251652797774716,-0.09728240924206066,-0.581457612215575,0.243058478517767,0.824516090733342,-1.4791252214670099,4.02669515241124
Monocots,14,16,24,-0.26334165898594397,-0.015161340284233405,-0.6052113497286749,0.46497585482845605,1.070187204557131,-1.58873224859149,2.86985143533676
Rosids (Malvids),30,41,88,-0.3480012205875,-0.31098326033261664,-0.98026906055174,0.199146495564033,1.179415556115773,-1.73258512140354,1.88171830799938
Caryophy_Santalales,18,26,30,-0.3575228609644925,-0.18046775773431933,-0.6724370912854363,0.0036184470577905973,0.6760555383432268,-1.46396028836713,1.98960796260842
Monocots (Commelinids),12,13,33,-0.763360863600275,-0.5451027830148507,-0.926042011313873,-0.240111565978456,0.6859304453354169,-1.3598584052168,1.07573475875815
