inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean,visual_clade
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Inflammation and Proteolysis,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,6.91,2.29136109296951,2.29136109296951,2.2913610929695083,1,1,1,1,IC50,2.29136109296951,1.7763568394002505e-15,0,Asterids (Basal)
XGTBMCGGGJLOPS-IFMALSPDSA-N,Inflammation and Proteolysis,Flavan-3-ols,1,0,0,Methoxy,456.40300000000013,2.8306000000000013,166.14000000000001,0.17391304347826086,pass,4.435,-0.765788926509384,-0.765788926509384,-0.7657889265093843,2,2,2,1,IC50,-0.765788926509384,3.3306690738754696e-16,0,Asterids (Basal)
JIVANWVLNGMSOX-LSDHHAIUSA-N,Metabolic Enzymes,Dihydroflavonols,0,0,0,Simple,304.25399999999996,1.1862999999999995,127.45000000000002,0.13333333333333333,pass,4.79,-0.534931225799758,-0.534931225799758,-0.5349312257997585,1,1,1,1,IC50,-0.534931225799758,4.440892098500626e-16,0,Asterids (Basal)
JIVANWVLNGMSOX-UHFFFAOYSA-N,Metabolic Enzymes,Dihydroflavonols,0,0,0,Simple,304.25399999999996,1.1862999999999995,127.45000000000002,0.13333333333333333,pass,4.8,-0.617640976736945,-0.617640976736945,-0.6176409767369445,1,1,1,1,Ki,-0.617640976736945,-4.440892098500626e-16,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Metabolic Enzymes,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,5.205,0.00809280372906014,0.00809280372906014,0.008092803729060143,2,2,2,1,IC50,0.00809280372906014,-3.469446951953614e-18,0,Asterids (Basal)
LSHVYAFMTMFKBA-CTNGQTDRSA-N,Neuroscience Targets,Flavan-3-ols,0,0,0,Simple,442.37600000000015,2.5276000000000005,177.14,0.13636363636363635,pass,4.945,-0.0920889256816575,-0.0920889256816575,-0.0920889256816575,2,2,2,1,IC50,-0.0920889256816575,0,0,Asterids (Basal)
UALHWTHYPDBXSN-BQYQJAHWSA-N,Neuroscience Targets,Chalcones,0,0,0,Simple,240.258,2.993900000000001,57.53,0,pass,4.05,-1.58165361686554,-1.58165361686554,-1.5816536168655395,1,1,1,1,IC50,-1.58165361686554,-4.440892098500626e-16,0,Asterids (Basal)
AOJIJXJCNKMEET-UVTDQMKNSA-N,Phenotypic: Cancer and Cells,Chalcones,0,0,0,Simple,240.258,3.1740000000000017,57.53,0,pass,4.775,-0.103598431206236,-0.103598431206236,-0.10359843120623562,6,4,6,1,IC50,-0.103598431206236,-3.885780586188048e-16,0,Asterids (Basal)
KUBUHOMBTJDYAN-FUQZIJMVSA-N,Phenotypic: Cancer and Cells,Flavanones,0,0,1,Sugar,450.39600000000013,-0.31140000000000057,186.37,0.38095238095238093,pass,4.88,0.0861962411262953,0.0861962411262953,0.08619624112629527,3,1,3,1,IC50,0.0861962411262953,2.7755575615628914e-17,0,Asterids (Basal)
ADFZZQAJJGHYDR-UHFFFAOYSA-N,Cell Signaling and Survival,Flavanones,0,1,0,Prenyl,340.3750000000001,4.018600000000003,86.99000000000001,0.25,pass,5.0375,-0.011291945013727489,-0.011291945013727489,-0.39582156947088976,6,5,6,2,AC50;IC50,-0.011291945013727489,0.38452962445716227,0,Asterids (Campanulids)
JQNMAEHFTQBROH-JXMROGBWSA-N,Cell Signaling and Survival,Chalcones,1,0,0,Methoxy,328.36400000000003,3.6171000000000024,53.99000000000001,0.21052631578947367,pass,5.34,0.333312576561919,0.333312576561919,0.33331257656191876,1,1,1,1,IC50,0.333312576561919,2.220446049250313e-16,0,Asterids (Campanulids)
