inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
ALGFNVZQNNGHPA-YRNVUSSQSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.510301300490233,-0.510301300490233,-0.5103013004902331,1.1102230246251565e-16,0
AMJCTDBATIKENQ-YRDFTBLNSA-N,Cell Signaling and Survival,1,IC50,2,1,2,-0.607972690151155,-0.607972690151155,-0.6079726901511553,3.3306690738754696e-16,0
AMXXXMGWYLGBLR-UHFFFAOYSA-N,General Assays and Safety,1,IC50,2,1,2,0.955702900031043,0.955702900031043,0.9557029000310431,-1.1102230246251565e-16,0
AOJIJXJCNKMEET-UVTDQMKNSA-N,Phenotypic: Cancer and Cells,1,IC50,6,4,6,-0.103598431206236,-0.103598431206236,-0.10359843120623562,-3.885780586188048e-16,0
AOUGZVKCLQLQNU-HSZRJFAPSA-N,Gene Regulation,1,IC50,1,1,1,-1.5197082852887,-1.5197082852887,-1.5197082852886978,-2.220446049250313e-15,0
AOVQEAUIBICOLQ-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-1.1913044047339,-1.1913044047339,-1.1913044047339048,4.6629367034256575e-15,0
AOVQEAUIBICOLQ-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,2,1,2,0.935753345852865,0.935753345852865,0.9357533458528654,-4.440892098500626e-16,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Infectious Diseases,1,IC50,2,2,2,1.63896658512903,1.63896658512903,1.6389665851290325,-2.4424906541753444e-15,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Metabolic Enzymes,1,IC50,1,1,1,-0.0900440690773531,-0.0900440690773531,-0.09004406907735309,-1.3877787807814457e-17,0
APPXYONGBIXGRO-AIQWNVMPSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-1.41408545445467,-1.41408545445467,-1.41408545445467,0,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Cell Signaling and Survival,1,IC50,1,1,1,0.810583979402351,0.810583979402351,0.810583979402351,0,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,General Assays and Safety,1,IC50,1,1,1,2.78007261910503,2.78007261910503,2.7800726191050313,-1.3322676295501878e-15,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Infectious Diseases,1,IC50,2,1,2,-0.168185129572428,-0.168185129572428,-0.1681851295724279,-1.1102230246251565e-16,0
AQBZCCQCDWNNJQ-AUSIDOKSSA-N,Phenotypic: Cancer and Cells,1,IC50,12,8,12,1.87568886597588,1.87568886597588,1.8756888659758806,-6.661338147750939e-16,0
ASIBRDHUNIEPQI-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,6,6,6,2.59871618914743,2.59871618914743,2.598716189147429,1.3322676295501878e-15,0
ATHWOBRNXTYZEM-BJMVGYQFSA-N,Metabolic Enzymes,1,IC50,2,2,2,0.492234709574031,0.492234709574031,0.49223470957403104,-5.551115123125783e-17,0
AUTKSCVETOWBRA-RXVVDRJESA-N,General Assays and Safety,1,IC50,1,1,1,0.0720238173545801,0.0720238173545801,0.07202381735458009,1.3877787807814457e-17,0
AVMGPGZQJKDABF-HNNXBMFYSA-N,Phenotypic: Cancer and Cells,1,IC50,3,1,3,-0.763360863600275,-0.763360863600275,-0.7633608636002749,-1.1102230246251565e-16,0
AYHOUUNTAVCXBN-ZDUSSCGKSA-N,General Assays and Safety,1,EC50,2,2,2,-0.600723950001743,-0.600723950001743,-0.6007239500017433,3.3306690738754696e-16,0
AYHOUUNTAVCXBN-ZDUSSCGKSA-N,Metabolic Enzymes,1,IC50,1,1,1,-1.45087537199295,-1.45087537199295,-1.4508753719929466,-3.3306690738754696e-15,0
AYHOUUNTAVCXBN-ZDUSSCGKSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,0.0319691918884286,0.0319691918884286,0.031969191888428616,-1.3877787807814457e-17,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Cell Signaling and Survival,2,IC50;Kd,7,6,7,-1.4838828445180454,-1.4838828445180454,-1.0570958187728274,-0.426787025745218,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Gene Regulation,1,IC50,1,1,1,0.36549002889635,0.36549002889635,0.3654900288963503,-2.7755575615628914e-16,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,General Assays and Safety,1,IC50,1,1,1,-0.512344608286307,-0.512344608286307,-0.5123446082863068,-2.220446049250313e-16,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Infectious Diseases,2,IC50;Ki,10,7,10,-0.26530214127636104,-0.26530214127636104,-0.4350420021722699,0.16973986089590887,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Inflammation and Proteolysis,1,IC50,4,4,4,2.69898109556669,2.69898109556669,2.698981095566694,-3.9968028886505635e-15,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Metabolic Enzymes,1,IC50,3,3,3,1.44089114670269,1.44089114670269,1.4408911467026895,4.440892098500626e-16,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Neuroscience Targets,1,IC50,2,2,2,-1.08235818965307,-1.08235818965307,-1.0823581896530656,-4.440892098500626e-15,0
AYMYWHCQALZEGT-ORCRQEGFSA-N,Phenotypic: Cancer and Cells,1,IC50,4,2,4,0.520012635029225,0.520012635029225,0.5200126350292253,-3.3306690738754696e-16,0
AZELSOYQOIUPBZ-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,EC50,1,1,1,4.00061217973176,4.00061217973176,4.000612179731761,-8.881784197001252e-16,0
AZLNYSCXKUKIRV-JXFKEZNVSA-N,Infectious Diseases,2,IC50;Ki,3,3,3,0.5288278575553945,0.5288278575553945,0.5482327226005526,-0.019404865045158037,0
AZLNYSCXKUKIRV-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,1.08035881048718,1.08035881048718,1.0803588104871755,4.440892098500626e-15,0
AZPLXDBZIQMMMT-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,0.253767342755181,0.253767342755181,0.2537673427551806,3.885780586188048e-16,0
AZPLXDBZIQMMMT-UHFFFAOYSA-N,Neuroscience Targets,1,IC50,1,1,1,-5.51430692704377e-4,-5.51430692704377e-4,-5.514306927043766e-4,-4.336808689942018e-19,0
BCIBEYSHPVFKBY-FRRISVFZSA-N,Inflammation and Proteolysis,1,IC50,1,1,1,0.858515023233947,0.858515023233947,0.8585150232339466,4.440892098500626e-16,0
BCIBEYSHPVFKBY-KCPWBINCSA-N,Inflammation and Proteolysis,1,IC50,1,1,1,0.784402295489004,0.784402295489004,0.7844022954890042,-2.220446049250313e-16,0
BCRQIJDETOPQBA-SJORKVTESA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,3.37597056155685,3.37597056155685,3.375970561556846,3.9968028886505635e-15,0
BDUDECZOBBDZCJ-CQZGAYFHSA-N,Cell Signaling and Survival,1,IC50,4,4,4,0.399600271400867,0.399600271400867,0.3996002714008674,-3.885780586188048e-16,0
BDUDECZOBBDZCJ-CQZGAYFHSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,1.2068885920422,1.2068885920422,1.2068885920421972,2.6645352591003757e-15,0
BEWUEWUDIYSCEX-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,0.682693782742824,0.682693782742824,0.6826937827428237,3.3306690738754696e-16,0
BEZJLLIBPJHWLI-HNKXTRRSSA-N,General Assays and Safety,1,IC50,1,1,1,-1.0539543686364,-1.0539543686364,-1.0539543686363968,-3.1086244689504383e-15,0
