minimum_compounds,n_families,spearman_rho,spearman_p,median_compounds,median_exclusive_scaffold_fraction,gam_adjusted_r_squared,gam_deviance_explained
5,170,0.5422281352805344,2.2260323020217306e-14,25,0.125,0.6355458877001017,0.6107651479786448
10,131,0.40726770309518057,1.381241988425136e-6,33,0.16666666666666666,0.6269161521050557,0.6018342122406114
20,103,0.442385355382146,2.887298007394756e-6,48,0.16666666666666666,0.6438578936272992,0.6253619583771821
