analysis_clade,n_compounds,n_mapped_compounds,n_primary_compounds,weighted_mapped_fraction,weighted_primary_fraction
Non-seed vascular plants,326,75,43,0.23006134969325154,0.13190184049079753
Gymnosperms,275,97,62,0.3527272727272727,0.22545454545454546
Early angiosperms & magnoliids,620,196,115,0.3161290322580645,0.18548387096774194
Monocots,911,250,131,0.27442371020856204,0.1437980241492865
Early eudicots & Saxifragales,163,73,44,0.44785276073619634,0.26993865030674846
Rosids,7523,1602,822,0.21294696264787982,0.10926492090921175
Caryophyllales & Santalales,422,124,74,0.2938388625592417,0.17535545023696683
Asterids,1712,432,236,0.2523364485981308,0.1378504672897196
