target_domain_macro,n_compounds,edf,smooth_p,adjusted_r_squared,deviance_explained,aic_gam,aic_linear,delta_aic_linear_minus_gam,weighting,smooth_p_adjust_bh
Cell Signaling and Survival,212,1.000416118799875,0.7152322576389827,-0.006426315230095625,0.012654841423131218,597.8030336270846,597.8019039886179,-0.0011296384666366066,equal_compound,0.7152322576389827
Gene Regulation,56,1.8455245845378188,0.4642511540647648,0.09134856758396914,0.17140116493937593,162.3405793058263,162.44466025444194,0.104080948615632,equal_compound,0.5968943409404119
General Assays and Safety,210,2.859148589743545,0.19623652368188282,0.14218650849999526,0.166234626724805,565.7275041682205,566.2661806450982,0.5386764768776402,equal_compound,0.44153217828423635
Infectious Diseases,282,1.6412163890532692,0.05130338228578751,0.07990642199823628,0.0951034091643732,746.2565327765064,745.9633872161002,-0.2931455604062876,equal_compound,0.15391014685736254
Inflammation and Proteolysis,147,2.8039526541313187,0.039312128383998446,0.13435311049539966,0.16876525817951424,404.80870289530816,411.42062793778643,6.611925042478276,equal_compound,0.15391014685736254
Metabolic Enzymes,224,1.0002924248860463,0.5661716319552144,-0.007526888370155804,0.010546664003907733,625.6883961978157,625.6873376716946,-0.0010585261210280805,equal_compound,0.6369430859496161
Neuroscience Targets,94,2.755187156769608,0.2806228371068903,0.0766436953709847,0.13378443026908302,269.56809247225317,272.7239206650756,3.155828192822412,equal_compound,0.5051211067924025
Phenotypic: Cancer and Cells,443,2.2166597224792564,0.05118425874119942,0.04567309120748686,0.05693643678933304,1237.7898891704965,1239.8497791102386,2.0598899397421064,equal_compound,0.15391014685736254
Transporters and Ion Channels,61,2.3922169281451042,0.39666093768979666,0.01576038458932283,0.10421427651546421,179.8925354824862,180.87066949631878,0.9781340138325731,equal_compound,0.594991406534695
