term,estimate,std_error_hc3,statistic,p_value,target_domain_macro,n_compounds,conf_low,conf_high,motif,weighting,p_adjust_bh
motif_methoxy,-0.15018539879659443,0.16996797247955697,-0.8836099919627981,0.3779838350743133,Cell Signaling and Survival,212,-0.4833226248565261,0.18295182726333725,Methoxy,equal_compound,0.7313336905980184
motif_prenyl,-0.646882260804072,0.26321766233251903,-2.457594429916618,0.014851556166699725,Cell Signaling and Survival,212,-1.1627888789758094,-0.13097564263233463,Prenyl-like,equal_compound,0.14108978358364738
motif_sugar,0.20407652401174248,0.638273669449518,0.31973201117280803,0.749510314109289,Cell Signaling and Survival,212,-1.046939868109313,1.4550929161327977,Probable sugar,equal_compound,0.8203224228327788
motif_methoxy,-0.46356921801765083,0.15412828017808045,-3.0076843618967333,0.002979385226451561,General Assays and Safety,210,-0.7656606471666885,-0.16147778886861314,Methoxy,equal_compound,0.05660831930257965
motif_prenyl,0.21739089395138098,0.25446092308780915,0.8543193639062762,0.39397638219589193,General Assays and Safety,210,-0.2813525153007249,0.7161343032034869,Prenyl-like,equal_compound,0.7313336905980184
motif_methoxy,-0.05968565321879651,0.12831714162932967,-0.4651416986142875,0.6422062997993996,Infectious Diseases,282,-0.31118725081228266,0.19181594437468966,Methoxy,equal_compound,0.8203224228327788
motif_prenyl,0.14479249550691606,0.1396447121881057,1.0368634317630026,0.30073065946756067,Infectious Diseases,282,-0.12891114038177112,0.41849613139560327,Prenyl-like,equal_compound,0.7142353162354566
motif_methoxy,-0.2065438763808458,0.17868605472124013,-1.1559037256884168,0.2497773179307195,Inflammation and Proteolysis,147,-0.5567685436344765,0.14368079087278487,Methoxy,equal_compound,0.6779670058119529
motif_prenyl,-0.06301448462224112,0.22218768543637057,-0.2836092580850391,0.7771475584731589,Inflammation and Proteolysis,147,-0.49850234807752747,0.3724733788330452,Prenyl-like,equal_compound,0.8203224228327788
motif_methoxy,0.28400814032848526,0.17392220500891925,1.6329607844721177,0.1039828473968189,Metabolic Enzymes,224,-0.05687938148899646,0.6248956621459669,Methoxy,equal_compound,0.3951348201079118
motif_prenyl,-0.07005414127156444,0.22783914546821066,-0.30747192773920745,0.7587903558175452,Metabolic Enzymes,224,-0.5166188663892574,0.37651058384612845,Prenyl-like,equal_compound,0.8203224228327788
motif_sugar,-0.07468782604745895,0.6843308354786052,-0.10913993959547945,0.9131962121290477,Metabolic Enzymes,224,-1.415976263585525,1.266600611490607,Probable sugar,equal_compound,0.9131962121290477
motif_methoxy,0.21422812338330427,0.283927621990944,0.7545166683012516,0.45264916809857814,Neuroscience Targets,94,-0.34227001571894594,0.7707262624855544,Methoxy,equal_compound,0.7313336905980184
motif_prenyl,-0.9397594082185134,0.4881821318468696,-1.9250180350994335,0.05761162236633812,Neuroscience Targets,94,-1.896596386638378,0.017077570201350922,Prenyl-like,equal_compound,0.36487360832014143
motif_methoxy,-0.050093402687858446,0.1122452086452977,-0.44628544320459074,0.6556178286449039,Phenotypic: Cancer and Cells,443,-0.2700940116326419,0.16990720625692504,Methoxy,equal_compound,0.8203224228327788
motif_prenyl,0.09879162009854031,0.134155536897579,0.73639614423042965,0.461894962482959,Phenotypic: Cancer and Cells,443,-0.16415323222071454,0.36173647241779516,Prenyl-like,equal_compound,0.7313336905980184
motif_sugar,-0.2027184231685676,0.39084672254777414,-0.5186647641487868,0.6042638440325172,Phenotypic: Cancer and Cells,443,-0.9687779993622049,0.5633411530250697,Probable sugar,equal_compound,0.8203224228327788
motif_methoxy,0.541066328457468,0.46132453656430666,1.1728540009751807,0.24619918250720368,Transporters and Ion Channels,61,-0.36312976320857304,1.4452624201235091,Methoxy,equal_compound,0.6779670058119529
motif_prenyl,0.89194067155779,0.49548091572442327,1.8001514150221476,0.0776386455913535,Transporters and Ion Channels,61,-0.07920192326207953,1.8630832663776595,Prenyl-like,equal_compound,0.36878356655892913
