target_domain_macro,n_compounds,edf,smooth_p,adjusted_r_squared,deviance_explained,aic_gam,aic_linear,delta_aic_linear_minus_gam,weighting,smooth_p_adjust_bh
Cell Signaling and Survival,212,2.5624474805061936,0.34601719264640124,0.015183577136569815,0.0413030006522892,604.82543294351,605.4853038699043,0.6598709263943192,sqrt_n_records,0.4784812830083909
Gene Regulation,56,1.9247610567741198,0.37215210900652623,0.10114475597453487,0.18367743893218544,165.7241073884339,166.4294473578351,0.7053399694011944,sqrt_n_records,0.4784812830083909
General Assays and Safety,210,3.1224902884212344,0.15880873323210698,0.1345739339957569,0.1597038277877402,567.8482456350318,568.9964316438428,1.148186008810967,sqrt_n_records,0.28585571981779256
Infectious Diseases,282,1.9417581502927372,0.011108162740254779,0.09616499311697058,0.11115111957061354,758.1116482080722,758.5829298326951,0.4712816246228613,sqrt_n_records,0.061420112818583505
Inflammation and Proteolysis,147,2.6973356307988805,0.020473370939527835,0.15575595025778788,0.1893039057537765,409.2689793930908,416.72496260574314,7.45598321265237,sqrt_n_records,0.061420112818583505
Metabolic Enzymes,224,1.0002546916075556,0.6035243414545108,-0.013518074469500041,0.004665089662951767,606.1067989794068,606.1058802203578,-9.18759049000073e-4,sqrt_n_records,0.6035243414545108
Neuroscience Targets,94,3.7068242797977833,0.14479254620883542,0.13131724783107024,0.19375348126321412,257.0507485713031,263.6735743878804,6.622825816577347,sqrt_n_records,0.28585571981779256
Phenotypic: Cancer and Cells,443,1.935194303991749,0.013949018296204374,0.06785408271460303,0.07773569154896544,1314.7057033949604,1315.2889746339606,0.5832712390001689,sqrt_n_records,0.061420112818583505
Transporters and Ion Channels,61,1.0000894962992053,0.59992993710414,0.04640716581972326,0.10997467903337872,180.53457110148608,180.53427224406397,-2.9885742210922217e-4,sqrt_n_records,0.6035243414545108
