family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Aulacomniaceae,Aulacomnium,Aulacomnium androgynum,6,6,1,TRUE,,observed_binomial_species,Aulacomnium_androgynum,compatible
Balanophoraceae,Balanophora,Balanophora tobiracola,21,19,2,TRUE,,observed_binomial_species,Balanophora_tobiracola,compatible
Balsaminaceae,Impatiens,Impatiens balsamina,1,1,1,TRUE,,observed_binomial_species,Impatiens_balsamina,compatible
Basellaceae,Basella,Basella alba,1,1,1,TRUE,,observed_binomial_species,Basella_alba,compatible
Begoniaceae,Begonia,Begonia nantoensis,9,7,2,TRUE,,observed_binomial_species,Begonia_nantoensis,compatible
Berberidaceae,Achlys,Achlys triphylla,4,4,2,TRUE,,observed_binomial_species,Achlys_triphylla,compatible
Betulaceae,Alnus,Alnus sieboldiana,17,14,5,TRUE,,observed_binomial_species,Alnus_sieboldiana,compatible
Bignoniaceae,Anemopaegma,Anemopaegma arvense,7,7,1,TRUE,,observed_binomial_species,Anemopaegma_arvense,compatible
Bixaceae,Cochlospermum,Cochlospermum gillivraei,1,1,1,TRUE,,observed_binomial_species,Cochlospermum_gillivraei,compatible
Blechnaceae,Brainea,Brainea insignis,3,3,2,TRUE,,observed_binomial_species,Brainea_insignis,compatible
Bonnetiaceae,Bonnetia,Bonnetia paniculata,2,2,1,TRUE,,observed_binomial_species,Bonnetia_paniculata,compatible
Boraginaceae,Echiochilon,Echiochilon fruticosum,4,4,1,TRUE,,observed_binomial_species,Echiochilon_fruticosum,compatible
Brassicaceae,Anastatica,Anastatica hierochuntica,46,22,3,TRUE,,observed_binomial_species,Anastatica_hierochuntica,compatible
Bromeliaceae,Ananas,Ananas comosus,23,17,2,TRUE,,observed_binomial_species,Ananas_comosus,compatible
Bryaceae,Rosulabryum,Rosulabryum capillare,6,3,2,TRUE,,observed_binomial_species,Rosulabryum_capillare,compatible
Burseraceae,Commiphora,Commiphora socotrana,7,7,1,TRUE,,observed_binomial_species,Commiphora_socotrana,compatible
Cactaceae,Echinocereus,Echinocereus coccineus,12,12,1,TRUE,,observed_binomial_species,Echinocereus_coccineus,compatible
Calceolariaceae,Calceolaria,Calceolaria hypericina,3,3,2,TRUE,,observed_binomial_species,Calceolaria_hypericina,compatible
Calophyllaceae,Calophyllum,Calophyllum polyanthum,5,5,2,TRUE,,observed_binomial_species,Calophyllum_polyanthum,compatible
Campanulaceae,Platycodon,Platycodon grandiflorus,8,7,2,TRUE,,observed_binomial_species,Platycodon_grandiflorus,compatible
Cannabaceae,Humulus,Humulus lupulus,215,77,46,TRUE,,observed_binomial_species,Humulus_lupulus,compatible
Capparaceae,Crateva,Crateva religiosa,2,2,1,TRUE,,observed_binomial_species,Crateva_religiosa,compatible
Caprifoliaceae,Patrinia,Patrinia villosa,2,2,2,TRUE,,observed_binomial_species,Patrinia_villosa,compatible
Caryophyllaceae,Dianthus,Dianthus caryophyllus,6,6,3,TRUE,,observed_binomial_species,Dianthus_caryophyllus,compatible
Casuarinaceae,Casuarina,Casuarina equisetifolia,2,2,1,TRUE,,observed_binomial_species,Casuarina_equisetifolia,compatible
Celastraceae,Gymnosporia,Gymnosporia senegalensis,24,20,3,TRUE,,observed_binomial_species,Gymnosporia_senegalensis,compatible
Cephalotaxaceae,Cephalotaxus,Cephalotaxus harringtonii,10,10,1,TRUE,,observed_binomial_species,Cephalotaxus_harringtonii,compatible
Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum japonicum,6,6,1,TRUE,,observed_binomial_species,Cercidiphyllum_japonicum,compatible
Chloranthaceae,Sarcandra,Sarcandra glabra,34,30,5,TRUE,,observed_binomial_species,Sarcandra_glabra,compatible
Chrysobalanaceae,Moquilea,Moquilea pyrifolia,6,6,1,TRUE,,observed_binomial_species,Moquilea_pyrifolia,compatible
Cistaceae,Cistus,Cistus laurifolius,8,5,3,TRUE,,observed_binomial_species,Cistus_laurifolius,compatible
Cleomaceae,Cleome,Cleome droserifolia,2,2,1,TRUE,,observed_binomial_species,Cleome_droserifolia,compatible
Clusiaceae,Garcinia,Garcinia dulcis,34,32,3,TRUE,,observed_binomial_species,Garcinia_dulcis,compatible
Combretaceae,Getonia,Getonia floribunda,20,18,3,TRUE,,observed_binomial_species,Getonia_floribunda,compatible
Convolvulaceae,Ipomoea,Ipomoea nil,15,14,4,TRUE,,observed_binomial_species,Ipomoea_nil,compatible
Cordiaceae,Cordia,Cordia goetzei,9,9,1,TRUE,,observed_binomial_species,Cordia_goetzei,compatible
Coriariaceae,Coriaria,Coriaria japonica,2,2,1,TRUE,,observed_binomial_species,Coriaria_japonica,compatible
Cornaceae,Cornus,Cornus kousa,3,3,1,TRUE,,observed_binomial_species,Cornus_kousa,compatible
Corsiniaceae,Corsinia,Corsinia coriandrina,3,3,1,TRUE,,observed_binomial_species,Corsinia_coriandrina,compatible
Crassulaceae,Rhodiola,Rhodiola semenovii,34,21,6,TRUE,,observed_binomial_species,Rhodiola_semenovii,compatible
Cucurbitaceae,Cucurbita,Cucurbita pepo,15,15,1,TRUE,,observed_binomial_species,Cucurbita_pepo,compatible
Cunoniaceae,Eucryphia,Eucryphia glutinosa,2,2,1,TRUE,,observed_binomial_species,Eucryphia_glutinosa,compatible
