original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Apocynaceae,Urceola,Urceola laevigata,Urceola_laevigata,observed_binomial_species,compatible,,26,24,2,Apocynaceae,TRUE,TRUE,,bind,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Aquifoliaceae,Ilex,Ilex centrochinensis,Ilex_centrochinensis,observed_binomial_species,compatible,,3,3,3,Aquifoliaceae,TRUE,TRUE,,prune,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Araceae,Anchomanes,Anchomanes difformis,Anchomanes_difformis,observed_binomial_species,compatible,,2,2,1,Araceae,TRUE,TRUE,,prune,Alismatales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Araliaceae,Eleutherococcus,Eleutherococcus brachypus,Eleutherococcus_brachypus,observed_binomial_species,compatible,,7,7,2,Araliaceae,TRUE,TRUE,,bind,Apiales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Araucariaceae,Araucaria,Araucaria angustifolia,Araucaria_angustifolia,observed_binomial_species,compatible,,5,5,2,Araucariaceae,TRUE,TRUE,,prune,Cupressales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Arecaceae,Calamus,Calamus draco,Calamus_draco,observed_binomial_species,compatible,,22,21,4,Arecaceae,TRUE,TRUE,,bind,Arecales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Aristolochiaceae,Asarum,Asarum canadense,Asarum_canadense,observed_binomial_species,compatible,,7,7,1,Aristolochiaceae,TRUE,TRUE,,prune,Piperales,Magnoliids,,,,Magnoliids,TRUE,APG_reference,Magnoliids
Asparagaceae,Dracaena,Dracaena draco,Dracaena_draco,observed_binomial_species,compatible,,56,31,4,Asparagaceae,TRUE,TRUE,,prune,Asparagales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Asphodelaceae,Xanthorrhoea,Xanthorrhoea resinosa,Xanthorrhoea_resinosa,observed_binomial_species,compatible,,17,17,2,Asphodelaceae,TRUE,TRUE,,prune,Asparagales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Aspleniaceae,Asplenium,Asplenium ceterach,Asplenium_ceterach,observed_binomial_species,compatible,,4,4,1,Aspleniaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Asteraceae,Bidens,Bidens pilosa,Bidens_pilosa,observed_binomial_species,compatible,,58,50,7,Asteraceae,TRUE,TRUE,,prune,Asterales,Eudicots,Superasterids,Asterids,Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Athyriaceae,Diplazium,Diplazium esculentum,Diplazium_esculentum,observed_binomial_species,compatible,,2,2,1,Athyriaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,APG_reference,Ferns
