family,expected_order,expected_clade,n_sister_tips,sister_tips,sister_orders,sister_clades,same_order_sister,same_clade_sister
Trochodendraceae,Trochodendrales,Basal Eudicots,142,Asteraceae;Campanulaceae;Apiaceae;Araliaceae;Caprifoliaceae;Viburnaceae;Paracryphiaceae;Aquifoliaceae;Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae;Eucommiaceae;Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae;Pentaphylacaceae;Balsaminaceae;Marcgraviaceae;Hydrangeaceae;Cornaceae;Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae;Physenaceae;Polygonaceae;Plumbaginaceae;Tamaricaceae;Loranthaceae;Santalaceae;Balanophoraceae;Olacaceae;Dilleniaceae;Fabaceae;Polygalaceae;Rosaceae;Moraceae;Urticaceae;Cannabaceae;Ulmaceae;Rhamnaceae;Elaeagnaceae;Cynomoriaceae;Cucurbitaceae;Begoniaceae;Coriariaceae;Betulaceae;Casuarinaceae;Myricaceae;Juglandaceae;Fagaceae;Nothofagaceae;Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae;Chrysobalanaceae;Euphorbiaceae;Ochnaceae;Humiriaceae;Cunoniaceae;Oxalidaceae;Celastraceae;Zygophyllaceae;Krameriaceae;Brassicaceae;Cleomaceae;Capparaceae;Malvaceae;Muntingiaceae;Dipterocarpaceae;Sarcolaenaceae;Cistaceae;Bixaceae;Thymelaeaceae;Rutaceae;Meliaceae;Simaroubaceae;Sapindaceae;Burseraceae;Anacardiaceae;Stachyuraceae;Melastomataceae;Myrtaceae;Vochysiaceae;Onagraceae;Lythraceae;Combretaceae;Geraniaceae;Francoaceae;Vitaceae;Crassulaceae;Haloragaceae;Saxifragaceae;Grossulariaceae;Hamamelidaceae;Altingiaceae;Daphniphyllaceae;Cercidiphyllaceae;Paeoniaceae,Asterales;Apiales;Dipsacales;Paracryphiales;Aquifoliales;Lamiales;Boraginales;Gentianales;Solanales;Garryales;Ericales;Cornales;Caryophyllales;Santalales;Dilleniales;Fabales;Rosales;Saxifragales;Cucurbitales;Fagales;Malpighiales;Oxalidales;Celastrales;Zygophyllales;Brassicales;Malvales;Sapindales;Crossosomatales;Myrtales;Geraniales;Vitales,Asterids (Campanulids);Asterids (Lamiids);Asterids (Basal);Caryophyllales;Santalales;Other Eudicots;Rosids (Fabids);Saxifragales;Rosids (Malvids);Rosids (Basal),FALSE,FALSE
Proteaceae,Proteales,Basal Eudicots,1,Platanaceae,Proteales,Basal Eudicots,TRUE,TRUE
Platanaceae,Proteales,Basal Eudicots,1,Proteaceae,Proteales,Basal Eudicots,TRUE,TRUE
Nelumbonaceae,Proteales,Basal Eudicots,2,Proteaceae;Platanaceae,Proteales,Basal Eudicots,TRUE,TRUE
Ranunculaceae,Ranunculales,Basal Eudicots,1,Berberidaceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Berberidaceae,Ranunculales,Basal Eudicots,1,Ranunculaceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Menispermaceae,Ranunculales,Basal Eudicots,2,Ranunculaceae;Berberidaceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Lardizabalaceae,Ranunculales,Basal Eudicots,3,Ranunculaceae;Berberidaceae;Menispermaceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Papaveraceae,Ranunculales,Basal Eudicots,4,Ranunculaceae;Berberidaceae;Menispermaceae;Lardizabalaceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Eupteleaceae,Ranunculales,Basal Eudicots,5,Ranunculaceae;Berberidaceae;Menispermaceae;Lardizabalaceae;Papaveraceae,Ranunculales,Basal Eudicots,TRUE,TRUE
Orchidaceae,Asparagales,Monocots,4,Asparagaceae;Amaryllidaceae;Asphodelaceae;Iridaceae,Asparagales,Monocots,TRUE,TRUE
Asparagaceae,Asparagales,Monocots,1,Amaryllidaceae,Asparagales,Monocots,TRUE,TRUE
Amaryllidaceae,Asparagales,Monocots,1,Asparagaceae,Asparagales,Monocots,TRUE,TRUE
Asphodelaceae,Asparagales,Monocots,2,Asparagaceae;Amaryllidaceae,Asparagales,Monocots,TRUE,TRUE
Iridaceae,Asparagales,Monocots,3,Asparagaceae;Amaryllidaceae;Asphodelaceae,Asparagales,Monocots,TRUE,TRUE
Poaceae,Poales,Monocots (Commelinids),1,Eriocaulaceae,Poales,Monocots (Commelinids),TRUE,TRUE
Eriocaulaceae,Poales,Monocots (Commelinids),1,Poaceae,Poales,Monocots (Commelinids),TRUE,TRUE
Cyperaceae,Poales,Monocots (Commelinids),2,Poaceae;Eriocaulaceae,Poales,Monocots (Commelinids),TRUE,TRUE
Bromeliaceae,Poales,Monocots (Commelinids),1,Typhaceae,Poales,Monocots (Commelinids),TRUE,TRUE
Typhaceae,Poales,Monocots (Commelinids),1,Bromeliaceae,Poales,Monocots (Commelinids),TRUE,TRUE
Zingiberaceae,Zingiberales,Monocots (Commelinids),1,Musaceae,Zingiberales,Monocots (Commelinids),TRUE,TRUE
Musaceae,Zingiberales,Monocots (Commelinids),1,Zingiberaceae,Zingiberales,Monocots (Commelinids),TRUE,TRUE
Arecaceae,Arecales,Monocots (Commelinids),2,Zingiberaceae;Musaceae,Zingiberales,Monocots (Commelinids),FALSE,TRUE
Smilacaceae,Liliales,Monocots,1,Melanthiaceae,Liliales,Monocots,TRUE,TRUE
Melanthiaceae,Liliales,Monocots,1,Smilacaceae,Liliales,Monocots,TRUE,TRUE
Stemonaceae,Pandanales,Monocots,1,Velloziaceae,Pandanales,Monocots,TRUE,TRUE
Velloziaceae,Pandanales,Monocots,1,Stemonaceae,Pandanales,Monocots,TRUE,TRUE
Dioscoreaceae,Dioscoreales,Monocots,2,Stemonaceae;Velloziaceae,Pandanales,Monocots,FALSE,TRUE
Araceae,Alismatales,Monocots,1,Posidoniaceae,Alismatales,Monocots,TRUE,TRUE
Posidoniaceae,Alismatales,Monocots,1,Araceae,Alismatales,Monocots,TRUE,TRUE
Annonaceae,Magnoliales,Magnoliids,1,Myristicaceae,Magnoliales,Magnoliids,TRUE,TRUE
Myristicaceae,Magnoliales,Magnoliids,1,Annonaceae,Magnoliales,Magnoliids,TRUE,TRUE
Lauraceae,Laurales,Magnoliids,1,Hernandiaceae,Laurales,Magnoliids,TRUE,TRUE
Hernandiaceae,Laurales,Magnoliids,1,Lauraceae,Laurales,Magnoliids,TRUE,TRUE
Siparunaceae,Laurales,Magnoliids,2,Lauraceae;Hernandiaceae,Laurales,Magnoliids,TRUE,TRUE
Piperaceae,Piperales,Magnoliids,1,Saururaceae,Piperales,Magnoliids,TRUE,TRUE
Saururaceae,Piperales,Magnoliids,1,Piperaceae,Piperales,Magnoliids,TRUE,TRUE
Aristolochiaceae,Piperales,Magnoliids,2,Piperaceae;Saururaceae,Piperales,Magnoliids,TRUE,TRUE
Winteraceae,Canellales,Magnoliids,3,Piperaceae;Saururaceae;Aristolochiaceae,Piperales,Magnoliids,FALSE,TRUE
Chloranthaceae,Chloranthales,Chloranthales,9,Annonaceae;Myristicaceae;Lauraceae;Hernandiaceae;Siparunaceae;Piperaceae;Saururaceae;Aristolochiaceae;Winteraceae,Magnoliales;Laurales;Piperales;Canellales,Magnoliids,FALSE,FALSE
