family,expected_order,expected_clade,n_sister_tips,sister_tips,sister_orders,sister_clades,same_order_sister,same_clade_sister
Oleaceae,Lamiales,Asterids (Lamiids),10,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae,Lamiales,Asterids (Lamiids),TRUE,TRUE
Boraginaceae,Boraginales,Asterids (Lamiids),3,Namaceae;Heliotropiaceae;Cordiaceae,,Asterids (Lamiids),FALSE,TRUE
Namaceae,,Asterids (Lamiids),1,Heliotropiaceae,,Asterids (Lamiids),FALSE,TRUE
Heliotropiaceae,,Asterids (Lamiids),1,Namaceae,,Asterids (Lamiids),FALSE,TRUE
Cordiaceae,,Asterids (Lamiids),2,Namaceae;Heliotropiaceae,,Asterids (Lamiids),FALSE,TRUE
Rubiaceae,Gentianales,Asterids (Lamiids),3,Apocynaceae;Gentianaceae;Loganiaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Apocynaceae,Gentianales,Asterids (Lamiids),1,Gentianaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Gentianaceae,Gentianales,Asterids (Lamiids),1,Apocynaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Loganiaceae,Gentianales,Asterids (Lamiids),2,Apocynaceae;Gentianaceae,Gentianales,Asterids (Lamiids),TRUE,TRUE
Solanaceae,Solanales,Asterids (Lamiids),1,Convolvulaceae,Solanales,Asterids (Lamiids),TRUE,TRUE
Convolvulaceae,Solanales,Asterids (Lamiids),1,Solanaceae,Solanales,Asterids (Lamiids),TRUE,TRUE
Eucommiaceae,Garryales,Asterids (Lamiids),21,Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae,Lamiales;Boraginales;Gentianales;Solanales,Asterids (Lamiids),FALSE,TRUE
Ericaceae,Ericales,Asterids (Basal),2,Actinidiaceae;Sarraceniaceae,Ericales,Asterids (Basal),TRUE,TRUE
Actinidiaceae,Ericales,Asterids (Basal),1,Sarraceniaceae,Ericales,Asterids (Basal),TRUE,TRUE
Sarraceniaceae,Ericales,Asterids (Basal),1,Actinidiaceae,Ericales,Asterids (Basal),TRUE,TRUE
Symplocaceae,Ericales,Asterids (Basal),1,Diapensiaceae,Ericales,Asterids (Basal),TRUE,TRUE
Diapensiaceae,Ericales,Asterids (Basal),1,Symplocaceae,Ericales,Asterids (Basal),TRUE,TRUE
Primulaceae,Ericales,Asterids (Basal),2,Ebenaceae;Lecythidaceae,Ericales,Asterids (Basal),TRUE,TRUE
Ebenaceae,Ericales,Asterids (Basal),1,Lecythidaceae,Ericales,Asterids (Basal),TRUE,TRUE
Lecythidaceae,Ericales,Asterids (Basal),1,Ebenaceae,Ericales,Asterids (Basal),TRUE,TRUE
Sapotaceae,Ericales,Asterids (Basal),1,Theaceae,Ericales,Asterids (Basal),TRUE,TRUE
Theaceae,Ericales,Asterids (Basal),1,Sapotaceae,Ericales,Asterids (Basal),TRUE,TRUE
Pentaphylacaceae,Ericales,Asterids (Basal),10,Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae,Ericales,Asterids (Basal),TRUE,TRUE
Balsaminaceae,Ericales,Asterids (Basal),1,Marcgraviaceae,Ericales,Asterids (Basal),TRUE,TRUE
Marcgraviaceae,Ericales,Asterids (Basal),1,Balsaminaceae,Ericales,Asterids (Basal),TRUE,TRUE
Hydrangeaceae,Cornales,Asterids (Basal),1,Cornaceae,Cornales,Asterids (Basal),TRUE,TRUE
Cornaceae,Cornales,Asterids (Basal),1,Hydrangeaceae,Cornales,Asterids (Basal),TRUE,TRUE
Cactaceae,Caryophyllales,Caryophyllales,1,Portulacaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Portulacaceae,Caryophyllales,Caryophyllales,1,Cactaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Didiereaceae,Caryophyllales,Caryophyllales,1,Basellaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Basellaceae,Caryophyllales,Caryophyllales,1,Didiereaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Molluginaceae,Caryophyllales,Caryophyllales,4,Cactaceae;Portulacaceae;Didiereaceae;Basellaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Aizoaceae,Caryophyllales,Caryophyllales,3,Nyctaginaceae;Petiveriaceae;Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Nyctaginaceae,Caryophyllales,Caryophyllales,2,Petiveriaceae;Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Petiveriaceae,Caryophyllales,Caryophyllales,1,Phytolaccaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Phytolaccaceae,Caryophyllales,Caryophyllales,1,Petiveriaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Caryophyllaceae,Caryophyllales,Caryophyllales,1,Amaranthaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Amaranthaceae,Caryophyllales,Caryophyllales,1,Caryophyllaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Physenaceae,Caryophyllales,Caryophyllales,11,Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Polygonaceae,Caryophyllales,Caryophyllales,1,Plumbaginaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Plumbaginaceae,Caryophyllales,Caryophyllales,1,Polygonaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Tamaricaceae,Caryophyllales,Caryophyllales,2,Polygonaceae;Plumbaginaceae,Caryophyllales,Caryophyllales,TRUE,TRUE
Loranthaceae,Santalales,Santalales,2,Santalaceae;Balanophoraceae,Santalales,Santalales,TRUE,TRUE
Santalaceae,Santalales,Santalales,1,Balanophoraceae,Santalales,Santalales,TRUE,TRUE
Balanophoraceae,Santalales,Santalales,1,Santalaceae,Santalales,Santalales,TRUE,TRUE
Olacaceae,Santalales,Santalales,3,Loranthaceae;Santalaceae;Balanophoraceae,Santalales,Santalales,TRUE,TRUE
Dilleniaceae,Dilleniales,Other Eudicots,64,Asteraceae;Campanulaceae;Apiaceae;Araliaceae;Caprifoliaceae;Viburnaceae;Paracryphiaceae;Aquifoliaceae;Lamiaceae;Paulowniaceae;Phrymaceae;Acanthaceae;Bignoniaceae;Verbenaceae;Scrophulariaceae;Plantaginaceae;Gesneriaceae;Calceolariaceae;Oleaceae;Boraginaceae;Namaceae;Heliotropiaceae;Cordiaceae;Rubiaceae;Apocynaceae;Gentianaceae;Loganiaceae;Solanaceae;Convolvulaceae;Eucommiaceae;Ericaceae;Actinidiaceae;Sarraceniaceae;Symplocaceae;Diapensiaceae;Primulaceae;Ebenaceae;Lecythidaceae;Sapotaceae;Theaceae;Pentaphylacaceae;Balsaminaceae;Marcgraviaceae;Hydrangeaceae;Cornaceae;Cactaceae;Portulacaceae;Didiereaceae;Basellaceae;Molluginaceae;Aizoaceae;Nyctaginaceae;Petiveriaceae;Phytolaccaceae;Caryophyllaceae;Amaranthaceae;Physenaceae;Polygonaceae;Plumbaginaceae;Tamaricaceae;Loranthaceae;Santalaceae;Balanophoraceae;Olacaceae,Asterales;Apiales;Dipsacales;Paracryphiales;Aquifoliales;Lamiales;Boraginales;Gentianales;Solanales;Garryales;Ericales;Cornales;Caryophyllales;Santalales,Asterids (Campanulids);Asterids (Lamiids);Asterids (Basal);Caryophyllales;Santalales,FALSE,FALSE
Fabaceae,Fabales,Rosids (Fabids),1,Polygalaceae,Fabales,Rosids (Fabids),TRUE,TRUE
Polygalaceae,Fabales,Rosids (Fabids),1,Fabaceae,Fabales,Rosids (Fabids),TRUE,TRUE
Rosaceae,Rosales,Rosids (Fabids),6,Moraceae;Urticaceae;Cannabaceae;Ulmaceae;Rhamnaceae;Elaeagnaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Moraceae,Rosales,Rosids (Fabids),1,Urticaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Urticaceae,Rosales,Rosids (Fabids),1,Moraceae,Rosales,Rosids (Fabids),TRUE,TRUE
Cannabaceae,Rosales,Rosids (Fabids),2,Moraceae;Urticaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Ulmaceae,Rosales,Rosids (Fabids),3,Moraceae;Urticaceae;Cannabaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Rhamnaceae,Rosales,Rosids (Fabids),1,Elaeagnaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Elaeagnaceae,Rosales,Rosids (Fabids),1,Rhamnaceae,Rosales,Rosids (Fabids),TRUE,TRUE
Cynomoriaceae,Saxifragales,Saxifragales,7,Rosaceae;Moraceae;Urticaceae;Cannabaceae;Ulmaceae;Rhamnaceae;Elaeagnaceae,Rosales,Rosids (Fabids),FALSE,FALSE
Cucurbitaceae,Cucurbitales,Rosids (Fabids),2,Begoniaceae;Coriariaceae,Cucurbitales,Rosids (Fabids),TRUE,TRUE
Begoniaceae,Cucurbitales,Rosids (Fabids),1,Coriariaceae,Cucurbitales,Rosids (Fabids),TRUE,TRUE
Coriariaceae,Cucurbitales,Rosids (Fabids),1,Begoniaceae,Cucurbitales,Rosids (Fabids),TRUE,TRUE
Betulaceae,Fagales,Rosids (Fabids),1,Casuarinaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Casuarinaceae,Fagales,Rosids (Fabids),1,Betulaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Myricaceae,Fagales,Rosids (Fabids),2,Betulaceae;Casuarinaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Juglandaceae,Fagales,Rosids (Fabids),3,Betulaceae;Casuarinaceae;Myricaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Fagaceae,Fagales,Rosids (Fabids),4,Betulaceae;Casuarinaceae;Myricaceae;Juglandaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Nothofagaceae,Fagales,Rosids (Fabids),5,Betulaceae;Casuarinaceae;Myricaceae;Juglandaceae;Fagaceae,Fagales,Rosids (Fabids),TRUE,TRUE
Hypericaceae,Malpighiales,Rosids (Fabids),1,Clusiaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Clusiaceae,Malpighiales,Rosids (Fabids),1,Hypericaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Calophyllaceae,Malpighiales,Rosids (Fabids),1,Bonnetiaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Bonnetiaceae,Malpighiales,Rosids (Fabids),1,Calophyllaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Malpighiaceae,Malpighiales,Rosids (Fabids),1,Elatinaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Elatinaceae,Malpighiales,Rosids (Fabids),1,Malpighiaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Passifloraceae,Malpighiales,Rosids (Fabids),1,Salicaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Salicaceae,Malpighiales,Rosids (Fabids),1,Passifloraceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Violaceae,Malpighiales,Rosids (Fabids),1,Achariaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Achariaceae,Malpighiales,Rosids (Fabids),1,Violaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Phyllanthaceae,Malpighiales,Rosids (Fabids),3,Rhizophoraceae;Erythroxylaceae;Pandaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Rhizophoraceae,Malpighiales,Rosids (Fabids),1,Erythroxylaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Erythroxylaceae,Malpighiales,Rosids (Fabids),1,Rhizophoraceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Pandaceae,Malpighiales,Rosids (Fabids),2,Rhizophoraceae;Erythroxylaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Chrysobalanaceae,Malpighiales,Rosids (Fabids),14,Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Euphorbiaceae,Malpighiales,Rosids (Fabids),1,Ochnaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Ochnaceae,Malpighiales,Rosids (Fabids),1,Euphorbiaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Humiriaceae,Malpighiales,Rosids (Fabids),17,Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae;Chrysobalanaceae;Euphorbiaceae;Ochnaceae,Malpighiales,Rosids (Fabids),TRUE,TRUE
Cunoniaceae,Oxalidales,Rosids (Fabids),1,Oxalidaceae,Oxalidales,Rosids (Fabids),TRUE,TRUE
Oxalidaceae,Oxalidales,Rosids (Fabids),1,Cunoniaceae,Oxalidales,Rosids (Fabids),TRUE,TRUE
Celastraceae,Celastrales,Rosids (Fabids),20,Hypericaceae;Clusiaceae;Calophyllaceae;Bonnetiaceae;Malpighiaceae;Elatinaceae;Passifloraceae;Salicaceae;Violaceae;Achariaceae;Phyllanthaceae;Rhizophoraceae;Erythroxylaceae;Pandaceae;Chrysobalanaceae;Euphorbiaceae;Ochnaceae;Humiriaceae;Cunoniaceae;Oxalidaceae,Malpighiales;Oxalidales,Rosids (Fabids),FALSE,TRUE
Zygophyllaceae,Zygophyllales,Rosids (Fabids),1,Krameriaceae,Zygophyllales,Rosids (Fabids),TRUE,TRUE
Krameriaceae,Zygophyllales,Rosids (Fabids),1,Zygophyllaceae,Zygophyllales,Rosids (Fabids),TRUE,TRUE
Brassicaceae,Brassicales,Rosids (Malvids),2,Cleomaceae;Capparaceae,Brassicales,Rosids (Malvids),TRUE,TRUE
Cleomaceae,Brassicales,Rosids (Malvids),1,Capparaceae,Brassicales,Rosids (Malvids),TRUE,TRUE
Capparaceae,Brassicales,Rosids (Malvids),1,Cleomaceae,Brassicales,Rosids (Malvids),TRUE,TRUE
Malvaceae,Malvales,Rosids (Malvids),1,Muntingiaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Muntingiaceae,Malvales,Rosids (Malvids),1,Malvaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Dipterocarpaceae,Malvales,Rosids (Malvids),1,Sarcolaenaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Sarcolaenaceae,Malvales,Rosids (Malvids),1,Dipterocarpaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Cistaceae,Malvales,Rosids (Malvids),2,Dipterocarpaceae;Sarcolaenaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Bixaceae,Malvales,Rosids (Malvids),3,Dipterocarpaceae;Sarcolaenaceae;Cistaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Thymelaeaceae,Malvales,Rosids (Malvids),6,Malvaceae;Muntingiaceae;Dipterocarpaceae;Sarcolaenaceae;Cistaceae;Bixaceae,Malvales,Rosids (Malvids),TRUE,TRUE
Rutaceae,Sapindales,Rosids (Malvids),2,Meliaceae;Simaroubaceae,Sapindales,Rosids (Malvids),TRUE,TRUE
Meliaceae,Sapindales,Rosids (Malvids),1,Simaroubaceae,Sapindales,Rosids (Malvids),TRUE,TRUE
Simaroubaceae,Sapindales,Rosids (Malvids),1,Meliaceae,Sapindales,Rosids (Malvids),TRUE,TRUE
Sapindaceae,Sapindales,Rosids (Malvids),3,Rutaceae;Meliaceae;Simaroubaceae,Sapindales,Rosids (Malvids),TRUE,TRUE
Burseraceae,Sapindales,Rosids (Malvids),1,Anacardiaceae,Sapindales,Rosids (Malvids),TRUE,TRUE
Anacardiaceae,Sapindales,Rosids (Malvids),1,Burseraceae,Sapindales,Rosids (Malvids),TRUE,TRUE
