original_family,genus,tree_species,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,FinalClade
Cephalotaxaceae,Cephalotaxus,Cephalotaxus_harringtonii,Taxaceae,FALSE,TRUE,family_override_absent_from_backbone;genus_override_absent_from_backbone,Gymnosperms
Cordiaceae,Cordia,Cordia_goetzei,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,Asterids (Lamiids)
Heliotropiaceae,Heliotropium,Heliotropium_glutinosum,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,Asterids (Lamiids)
Namaceae,Eriodictyon,Eriodictyon_californicum,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,Asterids (Lamiids)
Viburnaceae,Viburnum,Viburnum_lantanoides,Adoxaceae,FALSE,TRUE,family_override_absent_from_backbone;genus_override_absent_from_backbone,Asterids (Campanulids)
