target_chembl_id,target_pref_name_final,target_type_final,assay_description_final,target_classification_basis,n_records
CHEMBL1985,Glucagon receptor,SINGLE PROTEIN,Binding affinity towards human GCGR in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL2146307,ADP-ribosylation factor GTPase-activating protein 1,SINGLE PROTEIN,PubChem BioAssay. Fluorescence polarization-based biochemical high throughput dose response screening assay to identify inhibitors of ADP-ribosylation factor GTPase activating protein 1 (ARFGAP1). (Class of assay: confirmatory),target_identity,1
CHEMBL231,Histamine H1 receptor,SINGLE PROTEIN,Agonist activity at human HRH1 in an in vitro cell-based assay measured by fluorescent imaging plate reader,target_identity,1
CHEMBL231,Histamine H1 receptor,SINGLE PROTEIN,Antagonist activity at human HRH1 in an in vitro cell-based assay measured by fluorescent imaging plate reader,target_identity,1
CHEMBL2375202,Lymphocyte antigen 96,SINGLE PROTEIN,Binding affinity to recombinant human MD2 (17 to 160 residues) expressed in Escherichia coli BL21(DE3) cells by surface plasmon resonance analysis,target_identity,1
CHEMBL252,Endothelin-1 receptor,SINGLE PROTEIN,Binding affinity towards human EDNRA in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL259,Melanocortin receptor 4,SINGLE PROTEIN,PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for biased ligands (agonists) of the melanocortin 4 receptor (MC4R). (Class of assay: confirmatory),target_identity,1
CHEMBL264,Histamine H3 receptor,SINGLE PROTEIN,Binding affinity towards human HRH3 in an in vitro assay with cellular components measured by scintillation counting,target_identity,1
CHEMBL298,Gastrin/cholecystokinin type B receptor,SINGLE PROTEIN,Binding affinity towards human CCKBR in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL3038488,Kir3.1/Kir3.4,PROTEIN COMPLEX,Activation of recombinant human GIRK1/4 expressed in Xenopus oocytes by two-electrode voltage clamp method,target_identity,1
CHEMBL3038489,Kir3.1/Kir3.2,PROTEIN COMPLEX,Activation of recombinant human GIRK1/2 expressed in Xenopus oocytes by two-electrode voltage clamp method,target_identity,1
CHEMBL3137291,DNMT3A2/3L complex,PROTEIN COMPLEX,Inhibition of His6-tagged human recombinant DNMT3A/DNMT3L expressed in insect Sf9 cells assessed as reduction in DNA methyltransferase activity using 5'-biotinylated 45-bp unmethylated or hemimethylated oligonucleotide substrates and [3H]-AdoMet by liquid scintillation counting method,target_identity,1
CHEMBL369,Cavia porcellus,ORGANISM,"The -logEC50 value of genistein on ACh-precontracted rings, where EC50 is the concentration causing 50% relaxation",target_and_assay_context,1
CHEMBL3797016,C-terminal-binding protein 2,SINGLE PROTEIN,Inhibition of recombinant His6-tagged CtBP2 (31 to 384 residues) (unknown origin) dehydrogenase activity expressed in Escherichia coli BL21-Codonplus (DE3)-RIL cells using MTOB as substrate after 15 mins by NADH consumption assay,target_identity,1
CHEMBL4018,Neuropeptide Y receptor type 2,SINGLE PROTEIN,Binding affinity towards human NPY2R in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL4123,Neurotensin receptor type 1,SINGLE PROTEIN,Binding affinity towards human NTSR1 in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL4308,B1 bradykinin receptor,SINGLE PROTEIN,Binding affinity towards human BDKRB1 in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL4383,Gastric inhibitory polypeptide receptor,SINGLE PROTEIN,Binding affinity towards human GIPR in an in vitro assay with cellular components measured by scintillation proximity assay,target_identity,1
CHEMBL5955,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,SINGLE PROTEIN,Inhibition of OGT (unknown origin) using UDP-GlcNAc as substrate measured after 2 hrs by UDP-Glo luminescence assay,target_identity,1
CHEMBL612652,Giardia intestinalis,ORGANISM,Antiprotozoal activity against Giardia lamblia IMSS:1090:1,target_and_assay_context,1
CHEMBL612652,Giardia intestinalis,ORGANISM,Antiprotozoal activity against clinical isolates of Giardia lamblia IMSS:8901:1,target_and_assay_context,1
CHEMBL612652,Giardia intestinalis,ORGANISM,Antiprotozoal activity against trophozoite stage of Giardia lamblia IMSS:8909:1 assessed as growth inhibition after 48 hrs,target_and_assay_context,1
CHEMBL612884,Trichomonas vaginalis,ORGANISM,Anti-Trichomonas activity against Trichomonas vaginalis,target_and_assay_context,1
CHEMBL612888,Toxoplasma gondii,ORGANISM,Antiparasitic activity against Toxoplasma gondii,target_and_assay_context,1
CHEMBL612888,Toxoplasma gondii,ORGANISM,Antiparasitic activity against Toxoplasma gondii RH,target_and_assay_context,1
CHEMBL613478,Xenopus laevis,ORGANISM,Loss of righting reflex (LORR) in tadpoles was determined for anesthetic activity,target_and_assay_context,1
