resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000174234,wfo-0000174234,Poecilanthe parviflora,Accepted,,Fabaceae,Poecilanthe,species,accepted,poecilanthe parviflora,poecilanthe parviflora,TRUE,TRUE,TRUE,Poecilanthe parviflora,Fabaceae,Poecilanthe,species
wfo-0000476094,wfo-0000476094,Poeciloneuron pauciflorum,Accepted,,Calophyllaceae,Poeciloneuron,species,accepted,poeciloneuron pauciflorum,poeciloneuron pauciflorum,FALSE,FALSE,TRUE,Poeciloneuron pauciflorum,Calophyllaceae,Poeciloneuron,species
wfo-0000279652,wfo-0000279652,Pogostemon cablin,Accepted,,Lamiaceae,Pogostemon,species,accepted,pogostemon cablin,pogostemon cablin,TRUE,TRUE,TRUE,Pogostemon cablin,Lamiaceae,Pogostemon,species
wfo-0000279750,wfo-0000279750,Pogostemon stellatus,Accepted,,Lamiaceae,Pogostemon,species,accepted,pogostemon stellatus,pogostemon stellatus,TRUE,TRUE,TRUE,Pogostemon stellatus,Lamiaceae,Pogostemon,species
wfo-0001444087,wfo-0001444087,Polhillides velutina,Accepted,,Fabaceae,Polhillides,species,accepted,polhillides velutina,polhillides velutina,FALSE,FALSE,TRUE,Polhillides velutina,Fabaceae,Polhillides,species
wfo-0001219818,wfo-0001219818,Polygala arvensis,Accepted,,Polygalaceae,Polygala,species,accepted,polygala arvensis,polygala arvensis,TRUE,TRUE,TRUE,Polygala arvensis,Polygalaceae,Polygala,species
wfo-0001100821,wfo-0001100821,Polygala caudata,Accepted,,Polygalaceae,Polygala,species,accepted,polygala caudata,polygala caudata,TRUE,TRUE,TRUE,Polygala caudata,Polygalaceae,Polygala,species
,wfo-0001354278,Polygala dalmaisiana,Unchecked,,Polygalaceae,Polygala,species,unchecked,polygala dalmaisiana,polygala dalmaisiana,TRUE,TRUE,FALSE,,,,
wfo-0000488587,wfo-0000488587,Polygala myrtifolia,Accepted,,Polygalaceae,Polygala,species,accepted,polygala myrtifolia,polygala myrtifolia,TRUE,TRUE,TRUE,Polygala myrtifolia,Polygalaceae,Polygala,species
wfo-0001100419,wfo-0001100419,Polygala virgata,Accepted,,Polygalaceae,Polygala,species,accepted,polygala virgata,polygala virgata,TRUE,TRUE,TRUE,Polygala virgata,Polygalaceae,Polygala,species
wfo-0000715810,wfo-0000715810,Polygonatum kingianum,Accepted,,Asparagaceae,Polygonatum,species,accepted,polygonatum kingianum,polygonatum kingianum,TRUE,TRUE,TRUE,Polygonatum kingianum,Asparagaceae,Polygonatum,species
