resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000283513,wfo-0000283513,Prosthechea allemanoides,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea allemanoides,prosthechea allemanoides,TRUE,TRUE,TRUE,Prosthechea allemanoides,Orchidaceae,Prosthechea,species
wfo-0000283526,wfo-0000283526,Prosthechea bulbosa,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea bulbosa,prosthechea bulbosa,TRUE,TRUE,TRUE,Prosthechea bulbosa,Orchidaceae,Prosthechea,species
wfo-0000283527,wfo-0000283527,Prosthechea caetensis,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea caetensis,prosthechea caetensis,TRUE,TRUE,TRUE,Prosthechea caetensis,Orchidaceae,Prosthechea,species
wfo-0000283528,wfo-0000283528,Prosthechea calamaria,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea calamaria,prosthechea calamaria,TRUE,TRUE,TRUE,Prosthechea calamaria,Orchidaceae,Prosthechea,species
wfo-0000283529,wfo-0000283529,Prosthechea campos-portoi,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea campos-portoi,prosthechea campos-portoi,TRUE,TRUE,TRUE,Prosthechea campos-portoi,Orchidaceae,Prosthechea,species
wfo-0000283538,wfo-0000283538,Prosthechea cochleata,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea cochleata,prosthechea cochleata,TRUE,TRUE,TRUE,Prosthechea cochleata,Orchidaceae,Prosthechea,species
wfo-0000283545,wfo-0000283545,Prosthechea faresiana,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea faresiana,prosthechea faresiana,TRUE,TRUE,TRUE,Prosthechea faresiana,Orchidaceae,Prosthechea,species
wfo-0000283546,wfo-0000283546,Prosthechea fausta,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea fausta,prosthechea fausta,TRUE,TRUE,TRUE,Prosthechea fausta,Orchidaceae,Prosthechea,species
wfo-0000283549,wfo-0000283549,Prosthechea fragrans,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea fragrans,prosthechea fragrans,TRUE,TRUE,TRUE,Prosthechea fragrans,Orchidaceae,Prosthechea,species
wfo-0000283556,wfo-0000283556,Prosthechea glumacea,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea glumacea,prosthechea glumacea,TRUE,TRUE,TRUE,Prosthechea glumacea,Orchidaceae,Prosthechea,species
wfo-0000283557,wfo-0000283557,Prosthechea grammatoglossa,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea grammatoglossa,prosthechea grammatoglossa,TRUE,TRUE,TRUE,Prosthechea grammatoglossa,Orchidaceae,Prosthechea,species
wfo-0000283562,wfo-0000283562,Prosthechea hartwegii,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea hartwegii,prosthechea hartwegii,TRUE,TRUE,TRUE,Prosthechea hartwegii,Orchidaceae,Prosthechea,species
wfo-0000283575,wfo-0000283575,Prosthechea livida,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea livida,prosthechea livida,TRUE,TRUE,TRUE,Prosthechea livida,Orchidaceae,Prosthechea,species
wfo-0000283581,wfo-0000283581,Prosthechea moojenii,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea moojenii,prosthechea moojenii,TRUE,TRUE,TRUE,Prosthechea moojenii,Orchidaceae,Prosthechea,species
wfo-0000283590,wfo-0000283590,Prosthechea papilio,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea papilio,prosthechea papilio,TRUE,TRUE,TRUE,Prosthechea papilio,Orchidaceae,Prosthechea,species
wfo-0000283600,wfo-0000283600,Prosthechea pygmaea,Accepted,,Orchidaceae,Prosthechea,species,accepted,prosthechea pygmaea,prosthechea pygmaea,TRUE,TRUE,TRUE,Prosthechea pygmaea,Orchidaceae,Prosthechea,species
