key,n_wfo_rows,n_taxon_ids,n_resolved_accepted_ids,n_resolved_accepted_names,n_resolved_families,scientific_names,taxonomic_statuses,resolved_accepted_ids,resolved_accepted_names,resolved_families,resolved_genera,resolved_ranks,any_exact_original_match,any_canonical_key_match,any_included_as_accepted_target,key_resolution_status
peucephyllum schottii,1,1,1,1,1,Peucephyllum schottii,accepted,wfo-0000043931,Peucephyllum schottii,Asteraceae,Peucephyllum,species,TRUE,TRUE,TRUE,single_accepted_id
phalaenopsis equestris,1,1,1,1,1,Phalaenopsis equestris,accepted,wfo-0000268204,Phalaenopsis equestris,Orchidaceae,Phalaenopsis,species,TRUE,TRUE,TRUE,single_accepted_id
phalaenopsis sanderiana,1,1,1,1,1,Phalaenopsis sanderiana,accepted,wfo-0000268306,Phalaenopsis sanderiana,Orchidaceae,Phalaenopsis,species,TRUE,TRUE,TRUE,single_accepted_id
phalaenopsis schilleriana,1,1,1,1,1,Phalaenopsis schilleriana,accepted,wfo-0000268310,Phalaenopsis schilleriana,Orchidaceae,Phalaenopsis,species,TRUE,TRUE,TRUE,single_accepted_id
phanera roxburghiana,1,1,1,1,1,Phanera roxburghiana,accepted,wfo-1000003003,Phanera roxburghiana,Fabaceae,Phanera,species,FALSE,FALSE,TRUE,single_accepted_id
phanera vahlii,1,1,1,1,1,Phanera vahlii,accepted,wfo-0000186828,Phanera vahlii,Fabaceae,Phanera,species,FALSE,FALSE,TRUE,single_accepted_id
phaseolus coccineus,2,2,1,1,1,Phaseolus coccineus,accepted | synonym,wfo-0000183242,Phaseolus coccineus,Fabaceae,Phaseolus,species,TRUE,TRUE,TRUE,single_accepted_id
phaseolus lunatus,1,1,1,1,1,Phaseolus lunatus,accepted,wfo-0000183263,Phaseolus lunatus,Fabaceae,Phaseolus,species,TRUE,TRUE,TRUE,single_accepted_id
phedimus stolonifer,1,1,1,1,1,Phedimus stolonifer,accepted,wfo-0001277002,Phedimus stolonifer,Crassulaceae,Phedimus,species,FALSE,FALSE,TRUE,single_accepted_id
phedimus stoloniferus,1,1,1,1,1,Phedimus stoloniferus,accepted,wfo-0000396540,Phedimus stoloniferus,Crassulaceae,Phedimus,species,TRUE,TRUE,TRUE,single_accepted_id
phellodendron amurense,1,1,1,1,1,Phellodendron amurense,accepted,wfo-0000470314,Phellodendron amurense,Rutaceae,Phellodendron,species,TRUE,TRUE,TRUE,single_accepted_id
phellodendron chinense,1,1,1,1,1,Phellodendron chinense,accepted,wfo-0000470377,Phellodendron chinense,Rutaceae,Phellodendron,species,TRUE,TRUE,TRUE,single_accepted_id
philenoptera laxiflora,1,1,1,1,1,Philenoptera laxiflora,accepted,wfo-0000199463,Philenoptera laxiflora,Fabaceae,Philenoptera,species,FALSE,FALSE,TRUE,single_accepted_id
philotheca gardneri,1,1,1,1,1,Philotheca gardneri,accepted,wfo-0001263468,Philotheca gardneri,Rutaceae,Philotheca,species,TRUE,TRUE,TRUE,single_accepted_id
philotheca rhomboidea,1,1,1,1,1,Philotheca rhomboidea,accepted,wfo-0001263476,Philotheca rhomboidea,Rutaceae,Philotheca,species,TRUE,TRUE,TRUE,single_accepted_id
philotheca tomentella,1,1,1,1,1,Philotheca tomentella,accepted,wfo-0001263484,Philotheca tomentella,Rutaceae,Philotheca,species,TRUE,TRUE,TRUE,single_accepted_id
phlebodium aureum,1,1,1,1,1,Phlebodium aureum,accepted,wfo-0001109224,Phlebodium aureum,Polypodiaceae,Phlebodium,species,TRUE,TRUE,TRUE,single_accepted_id
phlebodium decumanum,1,1,1,1,1,Phlebodium decumanum,accepted,wfo-0001109225,Phlebodium decumanum,Polypodiaceae,Phlebodium,species,TRUE,TRUE,TRUE,single_accepted_id
phlebodium inaequale,1,1,1,1,1,Phlebodium inaequale,accepted,wfo-0001113817,Phlebodium inaequale,Polypodiaceae,Phlebodium,species,FALSE,FALSE,TRUE,single_accepted_id
phlomis aurea,1,1,1,1,1,Phlomis aurea,accepted,wfo-0000269191,Phlomis aurea,Lamiaceae,Phlomis,species,TRUE,TRUE,TRUE,single_accepted_id
phlomis floccosa,1,1,1,1,1,Phlomis floccosa,accepted,wfo-0000269294,Phlomis floccosa,Lamiaceae,Phlomis,species,TRUE,TRUE,TRUE,single_accepted_id
phlomis nissolii,1,1,1,1,1,Phlomis nissolii,accepted,wfo-0000269413,Phlomis nissolii,Lamiaceae,Phlomis,species,TRUE,TRUE,TRUE,single_accepted_id
phoebe formosana,1,1,1,1,1,Phoebe formosana,accepted,wfo-0001070680,Phoebe formosana,Lauraceae,Phoebe,species,TRUE,TRUE,TRUE,single_accepted_id
phoenix dactylifera,1,1,1,1,1,Phoenix dactylifera,accepted,wfo-0000269752,Phoenix dactylifera,Arecaceae,Phoenix,species,TRUE,TRUE,TRUE,single_accepted_id
