original_name,exact_name_norm,key,n_exact_wfo_rows,n_exact_taxon_ids,n_exact_accepted_ids,n_exact_accepted_names,n_exact_accepted_families,exact_wfo_names,exact_accepted_ids,exact_accepted_names,exact_accepted_families,n_key_wfo_rows,n_key_taxon_ids,n_key_accepted_ids,n_key_accepted_names,n_key_accepted_families,key_wfo_names,key_accepted_ids,key_accepted_names,key_accepted_families,proposed_resolution_status,recommended_match_level
Castela erecta,castela erecta,castela erecta,1,1,1,1,1,Castela erecta,wfo-0000589932,Castela erecta,Simaroubaceae,1,1,1,1,1,Castela erecta,wfo-0000589932,Castela erecta,Simaroubaceae,exact_unique,exact
Castela texana,castela texana,castela texana,1,1,1,1,1,Castela texana,wfo-0000589958,Castela tortuosa,Simaroubaceae,1,1,1,1,1,Castela texana,wfo-0000589958,Castela tortuosa,Simaroubaceae,exact_unique,exact
Castela tortuosa,castela tortuosa,castela tortuosa,1,1,1,1,1,Castela tortuosa,wfo-0000589958,Castela tortuosa,Simaroubaceae,1,1,1,1,1,Castela tortuosa,wfo-0000589958,Castela tortuosa,Simaroubaceae,exact_unique,exact
Casuarina equisetifolia,casuarina equisetifolia,casuarina equisetifolia,1,1,1,1,1,Casuarina equisetifolia,wfo-0000590663,Casuarina equisetifolia,Casuarinaceae,1,1,1,1,1,Casuarina equisetifolia,wfo-0000590663,Casuarina equisetifolia,Casuarinaceae,exact_unique,exact
Catha edulis,catha edulis,catha edulis,1,1,1,1,1,Catha edulis,wfo-0000590815,Catha edulis,Celastraceae,1,1,1,1,1,Catha edulis,wfo-0000590815,Catha edulis,Celastraceae,exact_unique,exact
Catharanthus roseus,catharanthus roseus,catharanthus roseus,1,1,1,1,1,Catharanthus roseus,wfo-0000819442,Catharanthus roseus,Apocynaceae,1,1,1,1,1,Catharanthus roseus,wfo-0000819442,Catharanthus roseus,Apocynaceae,exact_unique,exact
Cattleya coccinea,cattleya coccinea,cattleya coccinea,1,1,1,1,1,Cattleya coccinea,wfo-0000820898,Cattleya coccinea,Orchidaceae,1,1,1,1,1,Cattleya coccinea,wfo-0000820898,Cattleya coccinea,Orchidaceae,exact_unique,exact
Caustis blakei,caustis blakei,caustis blakei,1,1,1,1,1,Caustis blakei,wfo-0000353015,Caustis blakei,Cyperaceae,1,1,1,1,1,Caustis blakei,wfo-0000353015,Caustis blakei,Cyperaceae,exact_unique,exact
Caustis dioica,caustis dioica,caustis dioica,1,1,1,1,1,Caustis dioica,wfo-0000353017,Caustis dioica,Cyperaceae,1,1,1,1,1,Caustis dioica,wfo-0000353017,Caustis dioica,Cyperaceae,exact_unique,exact
Ceanothus americanus,ceanothus americanus,ceanothus americanus,1,1,1,1,1,Ceanothus americanus,wfo-0000591761,Ceanothus americanus,Rhamnaceae,1,1,1,1,1,Ceanothus americanus,wfo-0000591761,Ceanothus americanus,Rhamnaceae,exact_unique,exact
Ceanothus papillosus,ceanothus papillosus,ceanothus papillosus,1,1,1,1,1,Ceanothus papillosus,wfo-0000592016,Ceanothus papillosus,Rhamnaceae,1,1,1,1,1,Ceanothus papillosus,wfo-0000592016,Ceanothus papillosus,Rhamnaceae,exact_unique,exact
Cecropia glaziovii,cecropia glaziovii,cecropia glaziovii,1,1,1,1,1,Cecropia glaziovii,wfo-0000592227,Cecropia glaziovii,Urticaceae,1,1,1,1,1,Cecropia glaziovii,wfo-0000592227,Cecropia glaziovii,Urticaceae,exact_unique,exact
Cecropia hololeuca,cecropia hololeuca,cecropia hololeuca,1,1,1,1,1,Cecropia hololeuca,wfo-0000592236,Cecropia hololeuca,Urticaceae,1,1,1,1,1,Cecropia hololeuca,wfo-0000592236,Cecropia hololeuca,Urticaceae,exact_unique,exact
Cecropia pachystachya,cecropia pachystachya,cecropia pachystachya,1,1,1,1,1,Cecropia pachystachya,wfo-0000592291,Cecropia pachystachya,Urticaceae,1,1,1,1,1,Cecropia pachystachya,wfo-0000592291,Cecropia pachystachya,Urticaceae,exact_unique,exact
Cedrela fissilis,cedrela fissilis,cedrela fissilis,1,1,1,1,1,Cedrela fissilis,wfo-0000592409,Cedrela fissilis,Meliaceae,1,1,1,1,1,Cedrela fissilis,wfo-0000592409,Cedrela fissilis,Meliaceae,exact_unique,exact
Cedrela mexicana,cedrela mexicana,cedrela mexicana,1,1,1,1,1,Cedrela mexicana,wfo-0000592446,Cedrela odorata,Meliaceae,1,1,1,1,1,Cedrela mexicana,wfo-0000592446,Cedrela odorata,Meliaceae,exact_unique,exact
Cedrela odorata,cedrela odorata,cedrela odorata,2,2,1,1,1,Cedrela odorata,wfo-0000592446,Cedrela odorata,Meliaceae,2,2,1,1,1,Cedrela odorata,wfo-0000592446,Cedrela odorata,Meliaceae,exact_unique,exact
Cedrela sinensis,cedrela sinensis,cedrela sinensis,1,1,1,1,1,Cedrela sinensis,wfo-0000455502,Toona sinensis,Meliaceae,1,1,1,1,1,Cedrela sinensis,wfo-0000455502,Toona sinensis,Meliaceae,exact_unique,exact
Cedrelopsis,cedrelopsis,cedrelopsis,1,1,1,1,1,Cedrelopsis,wfo-4000007113,Cedrelopsis,Rutaceae,1,1,1,1,1,Cedrelopsis,wfo-4000007113,Cedrelopsis,Rutaceae,exact_unique,exact
Cedrelopsis grevei,cedrelopsis grevei,cedrelopsis grevei,2,2,1,1,1,Cedrelopsis grevei,wfo-0000592509,Cedrelopsis grevei,Rutaceae,2,2,1,1,1,Cedrelopsis grevei,wfo-0000592509,Cedrelopsis grevei,Rutaceae,exact_unique,exact
Cedrus deodara,cedrus deodara,cedrus deodara,1,1,1,1,1,Cedrus deodara,wfo-0000592532,Cedrus deodara,Pinaceae,1,1,1,1,1,Cedrus deodara,wfo-0000592532,Cedrus deodara,Pinaceae,exact_unique,exact
Ceiba pentandra,ceiba pentandra,ceiba pentandra,1,1,1,1,1,Ceiba pentandra,wfo-0000592594,Ceiba pentandra,Malvaceae,1,1,1,1,1,Ceiba pentandra,wfo-0000592594,Ceiba pentandra,Malvaceae,exact_unique,exact
Celastrus flagellaris,celastrus flagellaris,celastrus flagellaris,1,1,1,1,1,Celastrus flagellaris,wfo-0000592721,Celastrus flagellaris,Celastraceae,1,1,1,1,1,Celastrus flagellaris,wfo-0000592721,Celastrus flagellaris,Celastraceae,exact_unique,exact
Celastrus orbiculatus,celastrus orbiculatus,celastrus orbiculatus,1,1,1,1,1,Celastrus orbiculatus,wfo-0000592852,Celastrus orbiculatus,Celastraceae,1,1,1,1,1,Celastrus orbiculatus,wfo-0000592852,Celastrus orbiculatus,Celastraceae,exact_unique,exact
Celastrus paniculatus,celastrus paniculatus,celastrus paniculatus,1,1,1,1,1,Celastrus paniculatus,wfo-0000592859,Celastrus paniculatus,Celastraceae,1,1,1,1,1,Celastrus paniculatus,wfo-0000592859,Celastrus paniculatus,Celastraceae,exact_unique,exact
Celosia argentea,celosia argentea,celosia argentea,1,1,1,1,1,Celosia argentea,wfo-0000593019,Celosia argentea,Amaranthaceae,1,1,1,1,1,Celosia argentea,wfo-0000593019,Celosia argentea,Amaranthaceae,exact_unique,exact
Celosia cristata,celosia cristata,celosia cristata,1,1,1,1,1,Celosia cristata,wfo-0000593019,Celosia argentea,Amaranthaceae,1,1,1,1,1,Celosia cristata,wfo-0000593019,Celosia argentea,Amaranthaceae,exact_unique,exact
Centaurea calcitrapa,centaurea calcitrapa,centaurea calcitrapa,2,2,1,1,1,Centaurea calcitrapa,wfo-0000137211,Centaurea calcitrapa,Asteraceae,2,2,1,1,1,Centaurea calcitrapa,wfo-0000137211,Centaurea calcitrapa,Asteraceae,exact_unique,exact
Centaurea cyanus,centaurea cyanus,centaurea cyanus,1,1,1,1,1,Centaurea cyanus,wfo-0000008997,Centaurea cyanus,Asteraceae,1,1,1,1,1,Centaurea cyanus,wfo-0000008997,Centaurea cyanus,Asteraceae,exact_unique,exact
Centaurea pseudoscabiosa,centaurea pseudoscabiosa,centaurea pseudoscabiosa,1,1,1,1,1,Centaurea pseudoscabiosa,wfo-0000041189,Centaurea pseudoscabiosa,Asteraceae,1,1,1,1,1,Centaurea pseudoscabiosa,wfo-0000041189,Centaurea pseudoscabiosa,Asteraceae,exact_unique,exact
Centaurea sicula,centaurea sicula,centaurea sicula,3,3,1,1,1,Centaurea sicula,wfo-0000119562,Centaurea sicula,Asteraceae,3,3,1,1,1,Centaurea sicula,wfo-0000119562,Centaurea sicula,Asteraceae,exact_unique,exact
Centaurea urvillei,centaurea urvillei,centaurea urvillei,1,1,1,1,1,Centaurea urvillei,wfo-0000078581,Centaurea urvillei,Asteraceae,1,1,1,1,1,Centaurea urvillei,wfo-0000078581,Centaurea urvillei,Asteraceae,exact_unique,exact
Centipeda minima,centipeda minima,centipeda minima,1,1,1,1,1,Centipeda minima,wfo-0000113861,Centipeda minima,Asteraceae,1,1,1,1,1,Centipeda minima,wfo-0000113861,Centipeda minima,Asteraceae,exact_unique,exact
Centrolobium,centrolobium,centrolobium,1,1,1,1,1,Centrolobium,wfo-4000007204,Centrolobium,Fabaceae,1,1,1,1,1,Centrolobium,wfo-4000007204,Centrolobium,Fabaceae,exact_unique,exact
Centrolobium paraense,centrolobium paraense,centrolobium paraense,1,1,1,1,1,Centrolobium paraense,wfo-0000171654,Centrolobium paraense,Fabaceae,1,1,1,1,1,Centrolobium paraense,wfo-0000171654,Centrolobium paraense,Fabaceae,exact_unique,exact
