original_name,exact_name,key,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,n_occurrence_rows,n_compounds,n_compounds_exclusive_to_unresolved,n_families_original,n_genera_original,n_references,original_families,original_genera
Dorstenia poinsettifolia,dorstenia poinsettifolia,dorstenia poinsettifolia,unresolved,no_match,0,0,0,9,8,5,1,1,2,Moraceae,Dorstenia
Umtiza listerana,umtiza listerana,umtiza listerana,unresolved,no_match,0,0,0,11,11,4,1,1,1,Fabaceae,Umtiza
Dunbaria longiracemosa,dunbaria longiracemosa,dunbaria longiracemosa,unresolved,no_match,0,0,0,6,6,4,1,1,1,Fabaceae,Dunbaria
Andrographis ceylanica,andrographis ceylanica,andrographis ceylanica,exact_conflict,exact_synonym_conflict,2,2,2,4,4,4,1,1,1,Acanthaceae,Andrographis
Tephrosia apollinea,tephrosia apollinea,tephrosia apollinea,exact_conflict,exact_synonym_conflict,2,2,2,8,4,4,1,1,1,Fabaceae,Tephrosia
Cinnamomum burmannii,cinnamomum burmannii,cinnamomum burmannii,unresolved,no_match,0,0,0,46,23,3,1,1,1,Lauraceae,Cinnamomum
Neocheiropteris fortunei,neocheiropteris fortunei,neocheiropteris fortunei,unresolved,no_match,0,0,0,14,14,3,1,1,4,Polypodiaceae,Neocheiropteris
Erythrina bidwillii,erythrina bidwillii,erythrina bidwillii,unresolved,no_match,0,0,0,24,19,2,1,1,8,Fabaceae,Erythrina
Engelhardtia roxburghiana,engelhardtia roxburghiana,engelhardtia roxburghiana,unresolved,no_match,0,0,0,14,10,2,1,1,5,Juglandaceae,Engelhardia
Maytenus guianensis,maytenus guianensis,maytenus guianensis,unresolved,no_match,0,0,0,5,5,2,1,1,1,Celastraceae,Maytenus
Dendroviguiera sylvatica,dendroviguiera sylvatica,dendroviguiera sylvatica,unresolved,no_match,0,0,0,2,2,2,1,1,1,Asteraceae,Dendroviguiera
Krameria ixina,krameria ixina,krameria ixina,unresolved,no_match,0,0,0,2,2,2,1,1,1,Krameriaceae,Krameria
NA,NA,NA,unresolved,no_match,0,0,0,38,17,1,8,1,15,Asteraceae;Cannabaceae;Fabaceae;Moraceae;Polygonaceae;Rosaceae;Rutaceae;Vitaceae,NA
Ailanthus integrifolia,ailanthus integrifolia,ailanthus integrifolia,unresolved,no_match,0,0,0,7,7,1,1,1,1,Simaroubaceae,Ailanthus
Docyniopsis doumeri,docyniopsis doumeri,docyniopsis doumeri,unresolved,no_match,0,0,0,8,6,1,1,1,2,Rosaceae,Docyniopsis
Schinus terebinthifolius,schinus terebinthifolius,schinus terebinthifolius,unresolved,no_match,0,0,0,6,3,1,1,1,2,Anacardiaceae,Schinus
Acacia scleroxyla,acacia scleroxyla,acacia scleroxyla,unresolved,no_match,0,0,0,2,2,1,1,1,1,Fabaceae,Acacia
Clerodendrum phlomoides,clerodendrum phlomoides,clerodendrum phlomoides,unresolved,no_match,0,0,0,2,2,1,1,1,2,Lamiaceae,Clerodendrum
Mimosa tenuifolia,mimosa tenuifolia,mimosa tenuifolia,exact_conflict,exact_synonym_conflict,3,3,3,2,2,1,1,1,1,Fabaceae,Mimosa
Smilax lanceaefolia,smilax lanceaefolia,smilax lanceaefolia,unresolved,no_match,0,0,0,2,2,1,1,1,1,Smilacaceae,Smilax
Cordia obliqua,cordia obliqua,cordia obliqua,exact_conflict,exact_synonym_conflict,3,3,3,3,1,1,3,1,1,Boraginaceae;Cordiaceae;Ehretiaceae,Cordia
Inula macrophylla,inula macrophylla,inula macrophylla,exact_conflict,exact_synonym_conflict,2,2,2,1,1,1,1,1,1,Asteraceae,Inula
Nymphaea marliacea,nymphaea marliacea,nymphaea marliacea,unresolved,no_match,0,0,0,6,1,1,1,1,2,Nymphaeaceae,Nymphaea
Polygala dalmaisiana,polygala dalmaisiana,polygala dalmaisiana,unresolved,no_match,0,0,0,1,1,1,1,1,1,Polygalaceae,Polygala
Rubus laciniatus,rubus laciniatus,rubus laciniatus,exact_conflict,exact_synonym_conflict,2,2,2,3,1,1,1,1,1,Rosaceae,Rubus
Trichogonia salviaefolia,trichogonia salviaefolia,trichogonia salviaefolia,unresolved,no_match,0,0,0,1,1,1,1,1,1,Asteraceae,Trichogonia
Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,canonical_conflict,canonical_conflict,3,3,3,90,64,0,1,1,11,Fabaceae,Flemingia
Citrus taitensis,citrus taitensis,citrus taitensis,unresolved,no_match,0,0,0,114,37,0,1,1,31,Rutaceae,Citrus
Malus domestica,malus domestica,malus domestica,unresolved,no_match,0,0,0,140,35,0,1,1,32,Rosaceae,Malus
Cistus incanus,cistus incanus,cistus incanus,unresolved,no_match,0,0,0,111,33,0,1,1,3,Cistaceae,Cistus
Lotus uliginosus,lotus uliginosus,lotus uliginosus,exact_conflict,exact_synonym_conflict,2,2,2,99,29,0,1,1,5,Fabaceae,Lotus
Astragalus adsurgens,astragalus adsurgens,astragalus adsurgens,exact_conflict,exact_synonym_conflict,3,3,3,38,19,0,1,1,1,Fabaceae,Astragalus
Mentha piperita,mentha piperita,mentha piperita,unresolved,no_match,0,0,0,53,19,0,1,1,4,Lamiaceae,Mentha
Pityrogramma calomela,pityrogramma calomela,pityrogramma calomela,unresolved,no_match,0,0,0,22,19,0,1,1,6,Pteridaceae,Pityrogramma
Citrus junos,citrus junos,citrus junos,unresolved,no_match,0,0,0,25,18,0,1,1,4,Rutaceae,Citrus
Prunus dulcis,prunus dulcis,prunus dulcis,exact_conflict,exact_synonym_conflict,2,2,2,63,18,0,1,1,5,Rosaceae,Prunus
Cissus sicyoides,cissus sicyoides,cissus sicyoides,exact_conflict,exact_synonym_conflict,2,2,2,16,16,0,1,1,2,Vitaceae,Cissus
Acacia catechu,acacia catechu,acacia catechu,exact_conflict,exact_synonym_conflict,3,3,3,16,14,0,1,1,6,Fabaceae,Acacia
Potentilla viscosa,potentilla viscosa,potentilla viscosa,exact_conflict,exact_synonym_conflict,4,3,3,14,14,0,1,1,1,Rosaceae,Potentilla
Thermopsis fabacea,thermopsis fabacea,thermopsis fabacea,exact_conflict,exact_synonym_conflict,2,2,2,14,14,0,1,1,1,Fabaceae,Thermopsis
Populus tristis,populus tristis,populus tristis,unresolved,no_match,0,0,0,24,12,0,1,1,1,Salicaceae,Populus
Cicer oxyodon,cicer oxyodon,cicer oxyodon,unresolved,no_match,0,0,0,11,11,0,1,1,1,Fabaceae,Cicer
Crataegus oxyacantha,crataegus oxyacantha,crataegus oxyacantha,exact_conflict,exact_synonym_conflict,3,3,3,17,11,0,1,1,4,Rosaceae,Crataegus
Populus szechuanica,populus szechuanica,populus szechuanica,unresolved,no_match,0,0,0,11,11,0,1,1,1,Salicaceae,Populus
Quercus phillyraeoides,quercus phillyraeoides,quercus phillyraeoides,unresolved,no_match,0,0,0,11,11,0,1,1,1,Fagaceae,Quercus
Citrus tamurana,citrus tamurana,citrus tamurana,unresolved,no_match,0,0,0,10,10,0,1,1,3,Rutaceae,Citrus
Derris floribunda,derris floribunda,derris floribunda,exact_conflict,exact_synonym_conflict,4,3,3,11,10,0,1,1,2,Fabaceae,Derris
Citrus aurantifolia,citrus aurantifolia,citrus aurantifolia,unresolved,no_match,0,0,0,10,9,0,1,1,3,Rutaceae,Citrus
Iris florentina,iris florentina,iris florentina,unresolved,no_match,0,0,0,11,9,0,1,1,5,Iridaceae,Iris
Macaranga pleiostemona,macaranga pleiostemona,macaranga pleiostemona,unresolved,no_match,0,0,0,9,9,0,1,1,1,Euphorbiaceae,Macaranga
Xanthoceras sorbifolia,xanthoceras sorbifolia,xanthoceras sorbifolia,unresolved,no_match,0,0,0,10,9,0,1,1,2,Sapindaceae,Xanthoceras
Carya illinoiensis,carya illinoiensis,carya illinoiensis,unresolved,no_match,0,0,0,9,8,0,1,1,2,Juglandaceae,Carya
Crataegus pinnatifi,crataegus pinnatifi,crataegus pinnatifi,unresolved,no_match,0,0,0,8,8,0,1,1,1,Rosaceae,Crataegus
Iris kumaonensis,iris kumaonensis,iris kumaonensis,unresolved,no_match,0,0,0,11,8,0,1,1,4,Iridaceae,Iris
Rhamnus erythroxyloides,rhamnus erythroxyloides,rhamnus erythroxyloides,unresolved,no_match,0,0,0,8,8,0,1,1,1,Rhamnaceae,Rhamnus
Mimosa glaucescens,mimosa glaucescens,mimosa glaucescens,exact_conflict,exact_synonym_conflict,2,2,2,7,7,0,1,1,1,Fabaceae,Mimosa
Tephrosia procumbens,tephrosia procumbens,tephrosia procumbens,exact_conflict,exact_synonym_conflict,3,2,2,8,7,0,1,1,2,Fabaceae,Tephrosia
Koenigia coriaria,koenigia coriaria,koenigia coriaria,unresolved,no_match,0,0,0,7,6,0,1,1,4,Polygonaceae,Koenigia
Murraya exotica,murraya exotica,murraya exotica,exact_conflict,exact_synonym_conflict,2,2,2,8,6,0,1,1,5,Rutaceae,Murraya
Persicaria nodosa,persicaria nodosa,persicaria nodosa,unresolved,no_match,0,0,0,7,6,0,1,1,2,Polygonaceae,Persicaria
Populus deltoide,populus deltoide,populus deltoide,unresolved,no_match,0,0,0,6,6,0,1,1,1,Salicaceae,Populus
Antenoron filiforme,antenoron filiforme,antenoron filiforme,unresolved,no_match,0,0,0,5,5,0,1,1,1,Polygonaceae,Antenoron
Citrus jambhiri,citrus jambhiri,citrus jambhiri,unresolved,no_match,0,0,0,5,5,0,1,1,1,Rutaceae,Citrus
Citrus shunkokan,citrus shunkokan,citrus shunkokan,unresolved,no_match,0,0,0,5,5,0,1,1,1,Rutaceae,Citrus
Citrus wilsonii,citrus wilsonii,citrus wilsonii,unresolved,no_match,0,0,0,5,5,0,1,1,2,Rutaceae,Citrus
Cytisus hirsutus,cytisus hirsutus,cytisus hirsutus,exact_conflict,exact_synonym_conflict,2,2,2,10,5,0,1,1,1,Fabaceae,Cytisus
Platanus hispanica,platanus hispanica,platanus hispanica,unresolved,no_match,0,0,0,5,5,0,1,1,4,Platanaceae,Platanus
Platanus hybrida,platanus hybrida,platanus hybrida,unresolved,no_match,0,0,0,5,5,0,1,1,4,Platanaceae,Platanus
Terminalia alata,terminalia alata,terminalia alata,exact_conflict,exact_synonym_conflict,2,2,2,5,5,0,1,1,2,Combretaceae,Terminalia
Aframomum cereum,aframomum cereum,aframomum cereum,unresolved,no_match,0,0,0,4,4,0,1,1,1,Zingiberaceae,Aframomum
Anthemis altissima,anthemis altissima,anthemis altissima,exact_conflict,exact_synonym_conflict,4,3,3,4,4,0,1,1,1,Asteraceae,Anthemis
Crinum amabile,crinum amabile,crinum amabile,unresolved,no_match,0,0,0,8,4,0,1,1,2,Amaryllidaceae,Crinum
Cytisus eriocarpus,cytisus eriocarpus,cytisus eriocarpus,exact_conflict,exact_synonym_conflict,2,2,2,4,4,0,1,1,1,Fabaceae,Cytisus
Monopteryx uaucu,monopteryx uaucu,monopteryx uaucu,unresolved,no_match,0,0,0,4,4,0,1,1,1,Fabaceae,Monopteryx
Persicaria salicifolia,persicaria salicifolia,persicaria salicifolia,exact_conflict,exact_synonym_conflict,2,2,2,4,4,0,1,1,2,Polygonaceae,Persicaria
Persicaria spectabilis,persicaria spectabilis,persicaria spectabilis,unresolved,no_match,0,0,0,4,4,0,1,1,1,Polygonaceae,Persicaria
Pinus excelsa,pinus excelsa,pinus excelsa,exact_conflict,exact_synonym_conflict,2,2,2,6,4,0,1,1,2,Pinaceae,Pinus
Pistacia weinmannifolia,pistacia weinmannifolia,pistacia weinmannifolia,unresolved,no_match,0,0,0,4,4,0,1,1,1,Anacardiaceae,Pistacia
Platycodon grandiflorum,platycodon grandiflorum,platycodon grandiflorum,unresolved,no_match,0,0,0,4,4,0,1,1,1,Campanulaceae,Platycodon
Polygonum salicifolium,polygonum salicifolium,polygonum salicifolium,exact_conflict,exact_synonym_conflict,2,2,2,4,4,0,1,1,2,Polygonaceae,Polygonum
Amomum tsao-ko,amomum tsao-ko,amomum tsao-ko,unresolved,no_match,0,0,0,3,3,0,1,1,1,Zingiberaceae,Amomum
Citrus webberi,citrus webberi,citrus webberi,unresolved,no_match,0,0,0,5,3,0,1,1,2,Rutaceae,Citrus
Derris latifolia,derris latifolia,derris latifolia,exact_conflict,exact_synonym_conflict,2,2,2,3,3,0,1,1,2,Fabaceae,Derris
Elaeodendron balae,elaeodendron balae,elaeodendron balae,unresolved,no_match,0,0,0,3,3,0,1,1,1,Celastraceae,Elaeodendron
Glebionis coronarium,glebionis coronarium,glebionis coronarium,unresolved,no_match,0,0,0,3,3,0,1,1,1,Asteraceae,Glebionis
Parkia biglobosa ex,parkia biglobosa ex,parkia biglobosa,canonical_conflict,canonical_conflict,2,2,2,3,3,0,1,1,1,Fabaceae,Parkia
Rheum maximowiczii,rheum maximowiczii,rheum maximowiczii,unresolved,no_match,0,0,0,3,3,0,1,1,1,Polygonaceae,Rheum
Scabrethia scabra,scabrethia scabra,scabrethia scabra,unresolved,no_match,0,0,0,6,3,0,1,1,1,Asteraceae,Scabrethia
Tephrosia woodii,tephrosia woodii,tephrosia woodii,exact_conflict,exact_synonym_conflict,2,2,2,3,3,0,1,1,1,Fabaceae,Tephrosia
Acacia erioloba,acacia erioloba,acacia erioloba,exact_conflict,exact_synonym_conflict,2,2,2,4,2,0,1,1,1,Fabaceae,Acacia
Acacia horrida,acacia horrida,acacia horrida,exact_conflict,exact_synonym_conflict,2,2,2,4,2,0,1,1,1,Fabaceae,Acacia
Acacia sieberiana,acacia sieberiana,acacia sieberiana,exact_conflict,exact_synonym_conflict,3,3,3,4,2,0,1,1,1,Fabaceae,Acacia
Astragalus clusii,astragalus clusii,astragalus clusii,exact_conflict,exact_synonym_conflict,3,3,3,2,2,0,1,1,1,Fabaceae,Astragalus
Bauhinia retusa,bauhinia retusa,bauhinia retusa,exact_conflict,exact_synonym_conflict,3,2,2,2,2,0,1,1,1,Fabaceae,Bauhinia
Brassica alba,brassica alba,brassica alba,exact_conflict,exact_synonym_conflict,2,2,2,2,2,0,1,1,1,Brassicaceae,Brassica
Caesalpinia mimosoides,caesalpinia mimosoides,caesalpinia mimosoides,exact_conflict,exact_synonym_conflict,2,2,2,2,2,0,1,1,1,Fabaceae,Caesalpinia
Celastrus angulatus,celastrus angulatus,celastrus angulatus,unresolved,no_match,0,0,0,2,2,0,1,1,1,Celastraceae,Celastrus
Chromolaena subhastata,chromolaena subhastata,chromolaena subhastata,unresolved,no_match,0,0,0,2,2,0,1,1,1,Asteraceae,Chromolaena
Chrysanthemum zawadskii,chrysanthemum zawadskii,chrysanthemum zawadskii,unresolved,no_match,0,0,0,2,2,0,1,1,1,Asteraceae,Chrysanthemum
Clematis armandii,clematis armandii,clematis armandii,unresolved,no_match,0,0,0,4,2,0,1,1,1,Ranunculaceae,Clematis
Coreopsis integrifolia,coreopsis integrifolia,coreopsis integrifolia,unresolved,no_match,0,0,0,4,2,0,1,1,1,Asteraceae,Coreopsis
Cullen drupaceum,cullen drupaceum,cullen drupaceum,unresolved,no_match,0,0,0,2,2,0,1,1,1,Fabaceae,Cullen
Engelhardtia serrata,engelhardtia serrata,engelhardtia serrata,unresolved,no_match,0,0,0,2,2,0,1,1,1,Juglandaceae,Engelhardia
Eria angustifolia,eria angustifolia,eria angustifolia,exact_conflict,exact_synonym_conflict,2,2,2,4,2,0,1,1,2,Orchidaceae,Eria
Erythroxylum gonocladum,erythroxylum gonocladum,erythroxylum gonocladum,unresolved,no_match,0,0,0,2,2,0,1,1,1,Erythroxylaceae,Erythroxylum
Eugenia glomerata,eugenia glomerata,eugenia glomerata,exact_conflict,exact_synonym_conflict,6,5,5,2,2,0,1,1,1,Myrtaceae,Eugenia
Garcinia cornea,garcinia cornea,garcinia cornea,exact_conflict,exact_synonym_conflict,2,2,2,2,2,0,1,1,1,Clusiaceae,Garcinia
Gymnosporia szyszylowiczii,gymnosporia szyszylowiczii,gymnosporia szyszylowiczii,unresolved,no_match,0,0,0,2,2,0,1,1,1,Celastraceae,Gymnosporia
Heliotropium sclerocarpum,heliotropium sclerocarpum,heliotropium sclerocarpum,unresolved,no_match,0,0,0,2,2,0,1,1,1,Heliotropiaceae,Heliotropium
Justicia paniculata,justicia paniculata,justicia paniculata,exact_conflict,exact_synonym_conflict,3,3,3,2,2,0,1,1,1,Acanthaceae,Justicia
Koenigia divaricata,koenigia divaricata,koenigia divaricata,unresolved,no_match,0,0,0,2,2,0,1,1,1,Polygonaceae,Koenigia
Koenigia weyrichii,koenigia weyrichii,koenigia weyrichii,unresolved,no_match,0,0,0,2,2,0,1,1,1,Polygonaceae,Koenigia
Millettia speciosa,millettia speciosa,millettia speciosa,exact_conflict,exact_synonym_conflict,2,2,2,2,2,0,1,1,1,Fabaceae,Millettia
Moquilea licaniaeflora,moquilea licaniaeflora,moquilea licaniaeflora,unresolved,no_match,0,0,0,3,2,0,1,1,2,Chrysobalanaceae,Moquilea
Musa paradisiaca,musa paradisiaca,musa paradisiaca,unresolved,no_match,0,0,0,4,2,0,1,1,1,Musaceae,Musa
Origanum majoricum,origanum majoricum,origanum majoricum,unresolved,no_match,0,0,0,3,2,0,1,1,2,Lamiaceae,Origanum
Petunia hybr,petunia hybr,petunia hybr,unresolved,no_match,0,0,0,2,2,0,1,1,1,Solanaceae,Petunia
Phalaenopsis intermedia,phalaenopsis intermedia,phalaenopsis intermedia,unresolved,no_match,0,0,0,2,2,0,1,1,1,Orchidaceae,Phalaenopsis
Phalaenopsis leucorrhoda,phalaenopsis leucorrhoda,phalaenopsis leucorrhoda,unresolved,no_match,0,0,0,2,2,0,1,1,1,Orchidaceae,Phalaenopsis
Pinus montana,pinus montana,pinus montana,exact_conflict,exact_synonym_conflict,4,3,3,4,2,0,1,1,2,Pinaceae,Pinus
Piper lanceaefolium,piper lanceaefolium,piper lanceaefolium,unresolved,no_match,0,0,0,2,2,0,1,1,1,Piperaceae,Piper
Populus hybr,populus hybr,populus hybr,unresolved,no_match,0,0,0,2,2,0,1,1,1,Salicaceae,Populus
Rhus undulata,rhus undulata,rhus undulata,exact_conflict,exact_synonym_conflict,2,2,2,2,2,0,1,1,1,Anacardiaceae,Rhus
Rubus adenotrichus,rubus adenotrichus,rubus adenotrichus,unresolved,no_match,0,0,0,2,2,0,1,1,1,Rosaceae,Rubus
Sedum rupestre,sedum rupestre,sedum rupestre,exact_conflict,exact_synonym_conflict,2,2,2,6,2,0,1,1,1,Crassulaceae,Sedum
Sophora lehmanni,sophora lehmanni,sophora lehmanni,unresolved,no_match,0,0,0,2,2,0,1,1,1,Fabaceae,Sophora
Sophora mollis ex,sophora mollis ex,sophora mollis,canonical_conflict,canonical_conflict,2,2,2,2,2,0,1,1,1,Fabaceae,Sophora
Spiraea formosa,spiraea formosa,spiraea formosa,unresolved,no_match,0,0,0,2,2,0,1,1,1,Rosaceae,Spiraea
Trigastrotheca pentaphylla,trigastrotheca pentaphylla,trigastrotheca pentaphylla,unresolved,no_match,0,0,0,2,2,0,1,1,1,Molluginaceae,Trigastrotheca
Acanthophora spicifera,acanthophora spicifera,acanthophora spicifera,unresolved,no_match,0,0,0,3,1,0,1,1,1,Rhodomelaceae,Acanthophora
Ampelopsis heterophylla,ampelopsis heterophylla,ampelopsis heterophylla,exact_conflict,exact_synonym_conflict,2,2,2,1,1,0,1,1,1,Vitaceae,Ampelopsis
Anacheilium kaustkyi,anacheilium kaustkyi,anacheilium kaustkyi,unresolved,no_match,0,0,0,1,1,0,1,1,1,Orchidaceae,Prosthechea
Artabotrys odoratissimus,artabotrys odoratissimus,artabotrys odoratissimus,exact_conflict,exact_synonym_conflict,3,2,2,1,1,0,1,1,1,Annonaceae,Artabotrys
Baccharis pingraea,baccharis pingraea,baccharis pingraea,exact_conflict,exact_synonym_conflict,2,2,2,1,1,0,1,1,1,Asteraceae,Baccharis
Cladrastis sikokiana,cladrastis sikokiana,cladrastis sikokiana,unresolved,no_match,0,0,0,1,1,0,1,1,1,Fabaceae,Cladrastis
Coreopsis intermedia,coreopsis intermedia,coreopsis intermedia,unresolved,no_match,0,0,0,2,1,0,1,1,1,Asteraceae,Coreopsis
Dendroviguiera eriophora,dendroviguiera eriophora,dendroviguiera eriophora,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Dendroviguiera
Dendroviguiera insignis,dendroviguiera insignis,dendroviguiera insignis,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Dendroviguiera
Dendroviguiera splendens,dendroviguiera splendens,dendroviguiera splendens,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Dendroviguiera
Desmodium triflorum,desmodium triflorum,desmodium triflorum,exact_conflict,exact_synonym_conflict,2,2,2,3,1,0,1,1,1,Fabaceae,Desmodium
Electranthera cuneifolia,electranthera cuneifolia,electranthera cuneifolia,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Electranthera
Electranthera parvifolia,electranthera parvifolia,electranthera parvifolia,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Electranthera
Euodia rutaecarpa,euodia rutaecarpa,euodia rutaecarpa,unresolved,no_match,0,0,0,1,1,0,1,1,1,Rutaceae,Euodia
Fallopia cilinode,fallopia cilinode,fallopia cilinode,unresolved,no_match,0,0,0,1,1,0,1,1,1,Polygonaceae,Fallopia
Fuchsia eucliandra,fuchsia eucliandra,fuchsia eucliandra,unresolved,no_match,0,0,0,1,1,0,1,1,1,Onagraceae,Fuchsia
Heteroplexis microcephala,heteroplexis microcephala,heteroplexis microcephala,unresolved,no_match,0,0,0,1,1,0,1,1,1,Asteraceae,Heteroplexis
Homalocladium platycladum,homalocladium platycladum,homalocladium platycladum,unresolved,no_match,0,0,0,1,1,0,1,1,1,Polygonaceae,Homalocladium
Hyacinthoides non-scripta ex,hyacinthoides non-scripta ex,hyacinthoides,canonical_conflict,canonical_conflict,5,3,3,1,1,0,1,1,1,Asparagaceae,Hyacinthoides
Isolepis humillima,isolepis humillima,isolepis humillima,exact_conflict,exact_synonym_conflict,2,2,2,1,1,0,1,1,1,Cyperaceae,Isolepis
Kali collina,kali collina,kali collina,unresolved,no_match,0,0,0,1,1,0,1,1,1,Amaranthaceae,Kali
Lupinus micranthus,lupinus micranthus,lupinus micranthus,exact_conflict,exact_synonym_conflict,2,2,2,1,1,0,1,1,1,Fabaceae,Lupinus
Malus floribunda,malus floribunda,malus floribunda,unresolved,no_match,0,0,0,2,1,0,1,1,1,Rosaceae,Malus
Medicago glomerata,medicago glomerata,medicago glomerata,exact_conflict,exact_synonym_conflict,2,2,2,1,1,0,1,1,1,Fabaceae,Medicago
Muehlenbeckia platyclada,muehlenbeckia platyclada,muehlenbeckia platyclada,unresolved,no_match,0,0,0,1,1,0,1,1,1,Polygonaceae,Muehlenbeckia
Ocotea holdridgeiana,ocotea holdridgeiana,ocotea holdridgeiana,unresolved,no_match,0,0,0,1,1,0,1,1,1,Lauraceae,Ocotea
Parinari rodolphii,parinari rodolphii,parinari rodolphii,unresolved,no_match,0,0,0,1,1,0,1,1,1,Chrysobalanaceae,Parinari
Rhododendron culminicolum,rhododendron culminicolum,rhododendron culminicolum,unresolved,no_match,0,0,0,1,1,0,1,1,1,Ericaceae,Rhododendron
Rhododendron planecostatum,rhododendron planecostatum,rhododendron planecostatum,unresolved,no_match,0,0,0,1,1,0,1,1,1,Ericaceae,Rhododendron
Rhus retinorrhaea,rhus retinorrhaea,rhus retinorrhaea,unresolved,no_match,0,0,0,1,1,0,1,1,1,Anacardiaceae,Rhus
Schoenus hexandrus,schoenus hexandrus,schoenus hexandrus,unresolved,no_match,0,0,0,1,1,0,1,1,1,Cyperaceae,Schoenus
Scutellaria caerulea,scutellaria caerulea,scutellaria caerulea,unresolved,no_match,0,0,0,1,1,0,1,1,1,Lamiaceae,Scutellaria
Taraxacum officinale,taraxacum officinale,taraxacum officinale,unresolved,no_match,0,0,0,3,1,0,1,1,1,Asteraceae,Taraxacum
Teucrium tomentosum,teucrium tomentosum,teucrium tomentosum,exact_conflict,exact_synonym_conflict,4,4,4,1,1,0,1,1,1,Lamiaceae,Teucrium
Toxicodendron sylvestre,toxicodendron sylvestre,toxicodendron sylvestre,unresolved,no_match,0,0,0,1,1,0,1,1,1,Anacardiaceae,Toxicodendron
Trema orientalis,trema orientalis,trema orientalis,unresolved,no_match,0,0,0,2,1,0,1,1,1,Cannabaceae,Trema
Trifolium parnassii,trifolium parnassii,trifolium parnassii,unresolved,no_match,0,0,0,1,1,0,1,1,1,Fabaceae,Trifolium
