family,n_occurrence_rows,n_compounds,n_scaffolds_murcko,n_compounds_with_scaffold,n_genera,n_species,n_references,n_sources,n_unresolved_rows,dataset,scaffold_per_compound,pct_compounds_with_scaffold,compounds_per_species,references_per_compound,n_accepted_species_wfo,pct_wfo_species_represented,ncomp_ge_1,ncomp_ge_5,ncomp_ge_10,ncomp_ge_20,eligible_primary
Fabaceae,14305,5027,375,5027,228,973,1935,3,0,core,0.0745971752536304,100,5.166495375128469,0.38492142430873283,23034,4.22419032734219,TRUE,TRUE,TRUE,TRUE,TRUE
Moraceae,1555,872,120,872,14,63,241,1,0,core,0.13761467889908258,100,13.841269841269842,0.2763761467889908,1290,4.883720930232558,TRUE,TRUE,TRUE,TRUE,TRUE
Asteraceae,2055,724,71,724,164,419,432,3,0,core,0.09806629834254144,100,1.727923627684964,0.5966850828729282,34540,1.2130862767805444,TRUE,TRUE,TRUE,TRUE,TRUE
Rutaceae,1067,318,29,318,30,88,196,2,0,core,0.09119496855345911,100,3.6136363636363638,0.6163522012578616,2271,3.874944958168208,TRUE,TRUE,TRUE,TRUE,TRUE
Rosaceae,1158,299,36,299,37,98,208,3,0,core,0.12040133779264214,100,3.0510204081632653,0.6956521739130435,6020,1.627906976744186,TRUE,TRUE,TRUE,TRUE,TRUE
Lamiaceae,532,267,27,267,39,96,134,3,0,core,0.10112359550561797,100,2.78125,0.50187265917603,8091,1.1865035224323321,TRUE,TRUE,TRUE,TRUE,TRUE
Lauraceae,434,241,52,241,13,47,78,1,0,core,0.2157676348547718,100,5.127659574468085,0.3236514522821577,3384,1.3888888888888888,TRUE,TRUE,TRUE,TRUE,TRUE
Euphorbiaceae,286,214,32,214,14,40,57,1,0,core,0.14953271028037382,100,5.35,0.26635514018691586,6630,0.6033182503770739,TRUE,TRUE,TRUE,TRUE,TRUE
Annonaceae,379,209,42,209,13,47,76,1,0,core,0.20095693779904306,100,4.446808510638298,0.36363636363636365,2580,1.821705426356589,TRUE,TRUE,TRUE,TRUE,TRUE
Myrtaceae,312,190,30,190,19,58,68,1,0,core,0.15789473684210525,100,3.2758620689655173,0.35789473684210527,6547,0.8859019398197647,TRUE,TRUE,TRUE,TRUE,TRUE
Zingiberaceae,382,184,32,184,9,22,66,1,0,core,0.17391304347826086,100,8.363636363636363,0.358695652173913,1908,1.1530398322851152,TRUE,TRUE,TRUE,TRUE,TRUE
Iridaceae,448,174,11,174,4,34,73,1,0,core,0.06321839080459771,100,5.117647058823529,0.41954022988505746,2600,1.3076923076923077,TRUE,TRUE,TRUE,TRUE,TRUE
Ericaceae,352,166,27,166,14,87,68,3,0,core,0.16265060240963855,100,1.9080459770114941,0.40963855421686746,5134,1.6945851188157381,TRUE,TRUE,TRUE,TRUE,TRUE
Pinaceae,428,166,12,166,8,47,72,2,0,core,0.07228915662650602,100,3.5319148936170213,0.43373493975903615,277,16.967509025270758,TRUE,TRUE,TRUE,TRUE,TRUE
Asparagaceae,254,158,19,158,23,36,53,2,0,core,0.12025316455696203,100,4.388888888888889,0.33544303797468356,3172,1.1349306431273645,TRUE,TRUE,TRUE,TRUE,TRUE
Polygonaceae,229,144,23,144,11,34,54,1,0,core,0.1597222222222222,100,4.235294117647059,0.375,1377,2.4691358024691357,TRUE,TRUE,TRUE,TRUE,TRUE
Theaceae,545,128,36,128,1,6,110,1,0,core,0.28125,100,21.333333333333332,0.859375,374,1.6042780748663101,TRUE,TRUE,TRUE,TRUE,TRUE
Clusiaceae,378,127,18,127,4,39,68,1,0,core,0.14173228346456693,100,3.2564102564102564,0.5354330708661418,905,4.30939226519337,TRUE,TRUE,TRUE,TRUE,TRUE
Rhamnaceae,175,119,18,119,8,18,27,1,0,core,0.15126050420168066,100,6.611111111111111,0.226890756302521,1200,1.5,TRUE,TRUE,TRUE,TRUE,TRUE
Rubiaceae,179,118,24,118,22,29,50,1,0,core,0.2033898305084746,100,4.068965517241379,0.423728813559322,14174,0.20459997177931424,TRUE,TRUE,TRUE,TRUE,TRUE
Meliaceae,150,113,19,113,14,21,35,1,0,core,0.168141592920354,100,5.380952380952381,0.30973451327433627,782,2.6854219948849103,TRUE,TRUE,TRUE,TRUE,TRUE
Piperaceae,209,111,26,111,2,30,54,1,0,core,0.23423423423423423,100,3.7,0.4864864864864865,3873,0.774593338497289,TRUE,TRUE,TRUE,TRUE,TRUE
Orchidaceae,161,109,19,109,14,43,25,1,0,core,0.1743119266055046,100,2.5348837209302326,0.22935779816513763,31480,0.1365946632782719,TRUE,TRUE,TRUE,TRUE,TRUE
Apiaceae,197,106,18,106,15,15,32,2,0,core,0.16981132075471697,100,7.066666666666666,0.3018867924528302,3940,0.38071065989847713,TRUE,TRUE,TRUE,TRUE,TRUE
Fagaceae,188,105,20,105,5,20,26,2,0,core,0.19047619047619047,100,5.25,0.24761904761904763,1142,1.7513134851138354,TRUE,TRUE,TRUE,TRUE,TRUE
Pteridaceae,134,101,17,101,7,11,27,2,0,core,0.16831683168316833,100,9.181818181818182,0.26732673267326734,1486,0.7402422611036339,TRUE,TRUE,TRUE,TRUE,TRUE
Vitaceae,339,100,26,100,6,13,85,1,0,core,0.26,100,7.6923076923076925,0.85,1069,1.216089803554724,TRUE,TRUE,TRUE,TRUE,TRUE
Myristicaceae,161,99,18,99,6,22,38,1,0,core,0.18181818181818182,100,4.5,0.3838383838383838,537,4.0968342644320295,TRUE,TRUE,TRUE,TRUE,TRUE
