name_id,original_name,exact_name,key,candidate_match_stage,source_name,source_id,source_status,accepted_id,accepted_name,accepted_family,accepted_genus,accepted_rank,taxonomy_signature
627,Murraya exotica,murraya exotica,murraya exotica,exact,Murraya exotica,wfo-0000453291,synonym,wfo-0000453279,Murraya paniculata,Rutaceae,Murraya,species,Murraya paniculata||Rutaceae||Murraya||species
1780,Parkia biglobosa ex,parkia biglobosa ex,parkia biglobosa,canonical,Parkia biglobosa,wfo-0000179230,accepted,wfo-0000179230,Parkia biglobosa,Fabaceae,Parkia,species,Parkia biglobosa||Fabaceae||Parkia||species
1780,Parkia biglobosa ex,parkia biglobosa ex,parkia biglobosa,canonical,Parkia biglobosa,wfo-1200021821,synonym,wfo-0000178891,Parkia timoriana,Fabaceae,Parkia,species,Parkia timoriana||Fabaceae||Parkia||species
1341,Persicaria salicifolia,persicaria salicifolia,persicaria salicifolia,exact,Persicaria salicifolia,wfo-0000488278,synonym,wfo-0000488020,Persicaria decipiens,Polygonaceae,Persicaria,species,Persicaria decipiens||Polygonaceae||Persicaria||species
1341,Persicaria salicifolia,persicaria salicifolia,persicaria salicifolia,exact,Persicaria salicifolia,wfo-0000488299,synonym,wfo-0000488462,Persicaria maculosa,Polygonaceae,Persicaria,species,Persicaria maculosa||Polygonaceae||Persicaria||species
1421,Pinus excelsa,pinus excelsa,pinus excelsa,exact,Pinus excelsa,wfo-0000481434,synonym,wfo-0000482030,Picea abies,Pinaceae,Picea,species,Picea abies||Pinaceae||Picea||species
1421,Pinus excelsa,pinus excelsa,pinus excelsa,exact,Pinus excelsa,wfo-0000481454,synonym,wfo-0000481612,Pinus wallichiana,Pinaceae,Pinus,species,Pinus wallichiana||Pinaceae||Pinus||species
3229,Pinus montana,pinus montana,pinus montana,exact,Pinus montana,wfo-0000481747,synonym,wfo-0000482273,Pinus cembra,Pinaceae,Pinus,species,Pinus cembra||Pinaceae||Pinus||species
3229,Pinus montana,pinus montana,pinus montana,exact,Pinus montana,wfo-0000736388,synonym,wfo-0000482273,Pinus cembra,Pinaceae,Pinus,species,Pinus cembra||Pinaceae||Pinus||species
3229,Pinus montana,pinus montana,pinus montana,exact,Pinus montana,wfo-0000481753,synonym,wfo-0000481789,Pinus mugo,Pinaceae,Pinus,species,Pinus mugo||Pinaceae||Pinus||species
