original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Verbascum phlomoides,verbascum phlomoides,verbascum phlomoides,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Verbascum phlomoides,wfo-0000419193,Scrophulariaceae,Verbascum,species
Zanthoxylum zanthoxyloides,zanthoxylum zanthoxyloides,zanthoxylum zanthoxyloides,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Zanthoxylum zanthoxyloides,wfo-0000429422,Rutaceae,Zanthoxylum,species
Perovskia abrotanoides,perovskia abrotanoides,perovskia abrotanoides,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Salvia abrotanoides,wfo-0001428614,Lamiaceae,Salvia,species
Flindersia collina,flindersia collina,flindersia collina,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Flindersia collina,wfo-0000691379,Rutaceae,Flindersia,species
Flindersia xanthoxyla,flindersia xanthoxyla,flindersia xanthoxyla,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Flindersia xanthoxyla,wfo-0000691410,Rutaceae,Flindersia,species
Flindersia acuminata,flindersia acuminata,flindersia acuminata,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Flindersia acuminata,wfo-0000691368,Rutaceae,Flindersia,species
Flindersia laevicarpa,flindersia laevicarpa,flindersia laevicarpa,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Flindersia laevicarpa,wfo-0000691387,Rutaceae,Flindersia,species
Mentha piperita,mentha piperita,mentha piperita,0,FALSE,FALSE,unresolved_by_both,unresolved,no_match,NA,NA,NA,NA,NA
Nepeta tenuifolia,nepeta tenuifolia,nepeta tenuifolia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Nepeta tenuifolia,wfo-0000251404,Lamiaceae,Nepeta,species
Zanthoxylum fauriei,zanthoxylum fauriei,zanthoxylum fauriei,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Zanthoxylum fauriei,wfo-0000429504,Rutaceae,Zanthoxylum,species
Thymus vulgaris,thymus vulgaris,thymus vulgaris,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Thymus vulgaris,wfo-0000324951,Lamiaceae,Thymus,species
Perovskia atriplicifolia,perovskia atriplicifolia,perovskia atriplicifolia,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Salvia yangii,wfo-0001427364,Lamiaceae,Salvia,species
Zanthoxylum dipetalum,zanthoxylum dipetalum,zanthoxylum dipetalum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Zanthoxylum dipetalum,wfo-0001132902,Rutaceae,Zanthoxylum,species
Zanthoxylum rigidum,zanthoxylum rigidum,zanthoxylum rigidum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Zanthoxylum rigidum,wfo-0001133118,Rutaceae,Zanthoxylum,species
Coutarea hexandra,coutarea hexandra,coutarea hexandra,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Coutarea hexandra,wfo-0000926501,Rubiaceae,Coutarea,species
Baeckea frutescens,baeckea frutescens,baeckea frutescens,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Baeckea frutescens,wfo-0000310830,Myrtaceae,Baeckea,species
Adina cordifolia,adina cordifolia,adina cordifolia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Adina cordifolia,wfo-0001132041,Rubiaceae,Adina,species
Calamus draco,calamus draco,calamus draco,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Calamus draco,wfo-0000755403,Arecaceae,Calamus,species
Daphne genkwa,daphne genkwa,daphne genkwa,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Daphne genkwa,wfo-0000637613,Thymelaeaceae,Daphne,species
Daphne feddei,daphne feddei,daphne feddei,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Daphne feddei,wfo-0000637596,Thymelaeaceae,Daphne,species
Toona sinensis,toona sinensis,toona sinensis,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Toona sinensis,wfo-0000455502,Meliaceae,Toona,species
Ceratiola ericoides,ceratiola ericoides,ceratiola ericoides,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Ceratiola ericoides,wfo-0000596330,Ericaceae,Ceratiola,species
Uvaria afzelii,uvaria afzelii,uvaria afzelii,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Uvaria afzelii,wfo-0001066514,Annonaceae,Uvaria,species
Desmos cochinchinensis,desmos cochinchinensis,desmos cochinchinensis,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Desmos cochinchinensis,wfo-0000642354,Annonaceae,Desmos,species
Parathelypteris japonica,parathelypteris japonica,parathelypteris japonica,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Coryphopteris japonica,wfo-0001335486,Thelypteridaceae,Coryphopteris,species
Desmos chinensis,desmos chinensis,desmos chinensis,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Desmos chinensis,wfo-0000642348,Annonaceae,Desmos,species
Anastatica hierochuntica,anastatica hierochuntica,anastatica hierochuntica,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Anastatica hierochuntica,wfo-0000533427,Brassicaceae,Anastatica,species
Sophora tetraptera,sophora tetraptera,sophora tetraptera,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Sophora tetraptera,wfo-0001055068,Fabaceae,Sophora,species
Albizia adianthifolia,albizia adianthifolia,albizia adianthifolia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Albizia adianthifolia,wfo-0000179990,Fabaceae,Albizia,species
Pronephrium penangianum,pronephrium penangianum,pronephrium penangianum,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Menisciopsis penangiana,wfo-1000027860,Thelypteridaceae,Menisciopsis,species
Artocarpus gomezianus,artocarpus gomezianus,artocarpus gomezianus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Artocarpus gomezianus,wfo-0000550486,Moraceae,Artocarpus,species
Begonia,begonia,begonia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Begonia,wfo-4000004308,Begoniaceae,Begonia,genus
Baccharis salicifolia,baccharis salicifolia,baccharis salicifolia,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Baccharis salicifolia,wfo-0000121758,Asteraceae,Baccharis,species
Chrysothamnus viscidiflorus,chrysothamnus viscidiflorus,chrysothamnus viscidiflorus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Chrysothamnus viscidiflorus,wfo-0000062835,Asteraceae,Chrysothamnus,species
Gamochaeta malvinensis,gamochaeta malvinensis,gamochaeta malvinensis,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Gamochaeta affinis,wfo-0000122402,Asteraceae,Gamochaeta,species
Cinnamomum camphora,cinnamomum camphora,cinnamomum camphora,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Cinnamomum camphora,wfo-0000604955,Lauraceae,Cinnamomum,species
Potentilla anserina,potentilla anserina,potentilla anserina,3,FALSE,TRUE,recovered_by_hierarchical_rules,exact_synonym,exact_synonym_unique,Argentina anserina,wfo-0001009478,Rosaceae,Argentina,species
Uvaria dulcis,uvaria dulcis,uvaria dulcis,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Uvaria dulcis,wfo-0001066093,Annonaceae,Uvaria,species
Eysenhardtia polystachya,eysenhardtia polystachya,eysenhardtia polystachya,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Eysenhardtia polystachya,wfo-0000165921,Fabaceae,Eysenhardtia,species
Boerhavia diffusa,boerhavia diffusa,boerhavia diffusa,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Boerhavia diffusa,wfo-0000567916,Nyctaginaceae,Boerhavia,species
Citrus reticulata,citrus reticulata,citrus reticulata,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Citrus reticulata,wfo-0000608241,Rutaceae,Citrus,species
Citrus nobilis,citrus nobilis,citrus nobilis,3,FALSE,TRUE,recovered_by_hierarchical_rules,exact_synonym,exact_synonym_unique,Citrus × aurantium nothof. aurantium,wfo-1200112333,Rutaceae,Citrus,form
Citrus limon,citrus limon,citrus limon,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Citrus limon,wfo-0001133139,Rutaceae,Citrus,species
Lonchocarpus minimiflorus,lonchocarpus minimiflorus,lonchocarpus minimiflorus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Lonchocarpus minimiflorus,wfo-0000165939,Fabaceae,Lonchocarpus,species
Limonia acidissima,limonia acidissima,limonia acidissima,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Limonia acidissima,wfo-1000080432,Rutaceae,Limonia,species
Macaranga conifera,macaranga conifera,macaranga conifera,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Macaranga conifera,wfo-0000231884,Euphorbiaceae,Macaranga,species
Monotes africanus,monotes africanus,monotes africanus,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Monotes africanus,wfo-0000377166,Dipterocarpaceae,Monotes,species
Derris laxiflora,derris laxiflora,derris laxiflora,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Derris laxiflora,wfo-0000197433,Fabaceae,Derris,species
Citrus natsudaidai,citrus natsudaidai,citrus natsudaidai,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Citrus × aurantium nothof. aurantium,wfo-1200112333,Rutaceae,Citrus,form
Erythrina fusca,erythrina fusca,erythrina fusca,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Erythrina fusca,wfo-0000180759,Fabaceae,Erythrina,species
Tephrosia rosea,tephrosia rosea,tephrosia rosea,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Tephrosia rosea,wfo-0000185869,Fabaceae,Tephrosia,species
Papaver somniferum,papaver somniferum,papaver somniferum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Papaver somniferum,wfo-0000480963,Papaveraceae,Papaver,species
