original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Onobrychis ebenoides,onobrychis ebenoides,onobrychis ebenoides,Onobrychis ebenoides,wfo-0000213876,wfo-0000213876,Fabaceae,Onobrychis,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,1
Gnetum ula,gnetum ula,gnetum ula,Gnetum edule,wfo-0001065145,wfo-0001065145,Gnetaceae,Gnetum,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,2
Vitex negundo,vitex negundo,vitex negundo,Vitex negundo,wfo-0000333303,wfo-0000333303,Lamiaceae,Vitex,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,3
Dalbergia parviflora,dalbergia parviflora,dalbergia parviflora,Dalbergia parviflora,wfo-0000185087,wfo-0000185087,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,4
Oxytropis falcata,oxytropis falcata,oxytropis falcata,Oxytropis falcata,wfo-0000198975,wfo-0000198975,Fabaceae,Oxytropis,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,5
Salvia coccinea,salvia coccinea,salvia coccinea,Salvia coccinea,wfo-0000300715,wfo-0000300715,Lamiaceae,Salvia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,6
Monarda didyma,monarda didyma,monarda didyma,Monarda didyma,wfo-0000245316,wfo-0000245316,Lamiaceae,Monarda,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,7
Erythrina crista-galli,erythrina crista-galli,erythrina crista-galli,Erythrina crista-galli,wfo-0000180641,wfo-0000180641,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,8
Sophora prostrata,sophora prostrata,sophora prostrata,Sophora prostrata,wfo-0000186991,wfo-0000186991,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,9
Erythrina abyssinica,erythrina abyssinica,erythrina abyssinica,Erythrina abyssinica,wfo-0000180423,wfo-0000180423;wfo-0001054737,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_consensus_multiple_ids,2,2,1,WFO_offline_hierarchical,2026-06-24,10
Lespedeza bicolor,lespedeza bicolor,lespedeza bicolor,Lespedeza bicolor,wfo-0000185056,wfo-0000185056,Fabaceae,Lespedeza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,11
Erythrina suberosa,erythrina suberosa,erythrina suberosa,Erythrina suberosa,wfo-0000185019,wfo-0000185019,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,12
Phaseolus lunatus,phaseolus lunatus,phaseolus lunatus,Phaseolus lunatus,wfo-0000183263,wfo-0000183263,Fabaceae,Phaseolus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,13
Erythrina sigmoidea,erythrina sigmoidea,erythrina sigmoidea,Erythrina sigmoidea,wfo-0000181143,wfo-0000181143,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,14
Erythrina burttii,erythrina burttii,erythrina burttii,Erythrina burttii,wfo-0000180586,wfo-0000180586,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,15
Erythrina zeyheri,erythrina zeyheri,erythrina zeyheri,Erythrina zeyheri,wfo-0000181259,wfo-0000181259,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,16
Erythrina variegata,erythrina variegata,erythrina variegata,Erythrina variegata,wfo-0000181193,wfo-0000181193,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,17
Erythrina subumbrans,erythrina subumbrans,erythrina subumbrans,Erythrina subumbrans,wfo-0000185021,wfo-0000185021,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,18
Lespedeza cyrtobotrya,lespedeza cyrtobotrya,lespedeza cyrtobotrya,Lespedeza cyrtobotrya,wfo-0000185058,wfo-0000185058,Fabaceae,Lespedeza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,19
Sorocea guilleminiana,sorocea guilleminiana,sorocea guilleminiana,Sorocea guilleminiana,wfo-0001084959,wfo-0001084959,Moraceae,Sorocea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,20
Millettia ferruginea,millettia ferruginea,millettia ferruginea,Millettia ferruginea,wfo-0000199980,wfo-0000199980,Fabaceae,Millettia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,21
Millettia griffoniana,millettia griffoniana,millettia griffoniana,Millettia griffoniana,wfo-0000200088,wfo-0000200088,Fabaceae,Millettia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,22
Marshallia graminifolia,marshallia graminifolia,marshallia graminifolia,Marshallia graminifolia,wfo-0000043587,wfo-0000043587,Asteraceae,Marshallia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,23
Marshallia grandiflora,marshallia grandiflora,marshallia grandiflora,Marshallia grandiflora,wfo-0000044654,wfo-0000044654,Asteraceae,Marshallia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,24
Marshallia ramosa,marshallia ramosa,marshallia ramosa,Marshallia ramosa,wfo-0000125353,wfo-0000125353,Asteraceae,Marshallia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,25
Vernonia angustifolia,vernonia angustifolia,vernonia angustifolia,Vernonia angustifolia,wfo-0000136997,wfo-0000136997,Asteraceae,Vernonia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,26
Marshallia obovata,marshallia obovata,marshallia obovata,Marshallia obovata,wfo-0000024351,wfo-0000024351;wfo-0000092033,Asteraceae,Marshallia,species,accepted,accepted,exact_accepted,exact_accepted_consensus_multiple_ids,2,2,1,WFO_offline_hierarchical,2026-06-24,27
Cryptocarya obovata,cryptocarya obovata,cryptocarya obovata,Cryptocarya obovata,wfo-0000628097,wfo-0000628097,Lauraceae,Cryptocarya,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,28
Dermatophyllum arizonicum,dermatophyllum arizonicum,dermatophyllum arizonicum,Dermatophyllum arizonicum,wfo-0001042781,wfo-0001042781,Fabaceae,Dermatophyllum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,29
Sophora arizonica,sophora arizonica,sophora arizonica,Dermatophyllum arizonicum,wfo-0001042781,wfo-0001042781,Fabaceae,Dermatophyllum,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,30
Glycyrrhiza uralensis,glycyrrhiza uralensis,glycyrrhiza uralensis,Glycyrrhiza uralensis,wfo-0001053609,wfo-0001053609,Fabaceae,Glycyrrhiza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,31
Artocarpus altilis,artocarpus altilis,artocarpus altilis,Artocarpus altilis,wfo-0000550425,wfo-0000550425,Moraceae,Artocarpus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,32
Erythrina addisoniae,erythrina addisoniae,erythrina addisoniae,Erythrina addisoniae,wfo-0000180521,wfo-0000180521,Fabaceae,Erythrina,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,33
Mundulea sericea,mundulea sericea,mundulea sericea,Mundulea sericea,wfo-0000200952,wfo-0000200952,Fabaceae,Mundulea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,34
Mundulea chapelieri ex,mundulea chapelieri ex,mundulea chapelieri,Mundulea chapelieri,wfo-0000196351,wfo-0000196351,Fabaceae,Mundulea,species,accepted,accepted,canonical,canonical_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,35
Morus alba,morus alba,morus alba,Morus alba,wfo-0000447905,wfo-0000447905,Moraceae,Morus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,36
Senegalia caffra,senegalia caffra,senegalia caffra,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,37
Acacia cultriformis,acacia cultriformis,acacia cultriformis,Acacia cultriformis,wfo-0000191942,wfo-0000191942,Fabaceae,Acacia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,38
Onychium siliculosum,onychium siliculosum,onychium siliculosum,Onychium siliculosum,wfo-0001117710,wfo-0001117710,Pteridaceae,Onychium,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,39
Miliusa balansae,miliusa balansae,miliusa balansae,Miliusa balansae,wfo-0001032905,wfo-0001032905,Annonaceae,Miliusa,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,40
Persicaria barbata,persicaria barbata,persicaria barbata,Persicaria barbata,wfo-0000488084,wfo-0000488084,Polygonaceae,Persicaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,41
Didymocarpus albicalyx,didymocarpus albicalyx,didymocarpus albicalyx,Didymocarpus albicalyx,wfo-0001041801,wfo-0001041801,Gesneriaceae,Didymocarpus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,42
Urceola micrantha,urceola micrantha,urceola micrantha,Urceola micrantha,wfo-0000330495,wfo-0000330495,Apocynaceae,Urceola,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,43
Cullen corylifolium,cullen corylifolium,cullen corylifolium,Cullen corylifolium,wfo-0000186158,wfo-0000186158,Fabaceae,Cullen,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,44
Cullen corylifolia,cullen corylifolia,cullen corylifolia,Cullen corylifolium,wfo-0000186158,wfo-0000186158,Fabaceae,Cullen,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,45
Broussonetia papyrifera,broussonetia papyrifera,broussonetia papyrifera,Broussonetia papyrifera,wfo-0000572577,wfo-0000572577,Moraceae,Broussonetia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,46
Lespedeza floribunda,lespedeza floribunda,lespedeza floribunda,Lespedeza floribunda,wfo-0000197885,wfo-0000197885,Fabaceae,Lespedeza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,47
Millettia,millettia,millettia,Millettia,wfo-4000024305,wfo-4000024305,Fabaceae,Millettia,genus,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,48
Laguncularia racemosa,laguncularia racemosa,laguncularia racemosa,Laguncularia racemosa,wfo-0000358854,wfo-0000358854,Combretaceae,Laguncularia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,49
Maclura pomifera,maclura pomifera,maclura pomifera,Maclura pomifera,wfo-0000447854,wfo-0000447854,Moraceae,Maclura,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,50
Derris malaccensis,derris malaccensis,derris malaccensis,Derris montana,wfo-0000206771,wfo-0000206771,Fabaceae,Derris,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,51
Maclura aurantiaca,maclura aurantiaca,maclura aurantiaca,Maclura pomifera,wfo-0000447854,wfo-0000447854,Moraceae,Maclura,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,52
Millettia pachycarpa,millettia pachycarpa,millettia pachycarpa,Derris taiwaniana,wfo-1200008664,wfo-1200008664,Fabaceae,Derris,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,53
Flemingia macrophylla,flemingia macrophylla,flemingia macrophylla,Flemingia macrophylla,wfo-0000194840,wfo-0000194840,Fabaceae,Flemingia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,54
Flemingia macrophylla ex,flemingia macrophylla ex,flemingia macrophylla,NA,NA,NA,NA,NA,NA,NA,unresolved,canonical_conflict,canonical_conflict,3,3,3,NA,2026-06-24,55
Centrosema pubescens,centrosema pubescens,centrosema pubescens,Centrosema pubescens,wfo-0000179155,wfo-0000179155,Fabaceae,Centrosema,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,56
Luxemburgia octandra,luxemburgia octandra,luxemburgia octandra,Luxemburgia octandra,wfo-0001086964,wfo-0001086964,Ochnaceae,Luxemburgia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,57
Dalbergia odorifera,dalbergia odorifera,dalbergia odorifera,Dalbergia odorifera,wfo-0000194810,wfo-0000194810,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,58
Dalbergia nigra ex,dalbergia nigra ex,dalbergia nigra,Dalbergia nigra,wfo-0000170463,wfo-0000170463,Fabaceae,Dalbergia,species,accepted,accepted,canonical,canonical_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,59
Dalbergia nigra,dalbergia nigra,dalbergia nigra,Dalbergia nigra,wfo-0000170463,wfo-0000170463,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,60
Calophyllum pauciflorum,calophyllum pauciflorum,calophyllum pauciflorum,Calophyllum pauciflorum,wfo-0000581270,wfo-0000581270,Calophyllaceae,Calophyllum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,61
Pachyrrhizus erosus,pachyrrhizus erosus,pachyrrhizus erosus,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,62
Pseudosophora alopecuroides,pseudosophora alopecuroides,pseudosophora alopecuroides,Sophora alopecuroides,wfo-0000213933,wfo-0000213933,Fabaceae,Sophora,species,synonym,synonym,exact_synonym,exact_synonym_unique,2,1,1,WFO_offline_hierarchical,2026-06-24,63
Sophora leachiana,sophora leachiana,sophora leachiana,Sophora leachiana,wfo-0000175484,wfo-0000175484,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,64
Sophora moorcroftiana,sophora moorcroftiana,sophora moorcroftiana,Sophora moorcroftiana,wfo-0000185589,wfo-0000185589;wfo-0001060855,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_consensus_multiple_ids,2,2,1,WFO_offline_hierarchical,2026-06-24,65
Sophora davidii,sophora davidii,sophora davidii,Sophora davidii,wfo-0000212090,wfo-0000212090;wfo-0001056381,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_consensus_multiple_ids,2,2,1,WFO_offline_hierarchical,2026-06-24,66
Sophora stenophylla,sophora stenophylla,sophora stenophylla,Sophora stenophylla,wfo-0000174273,wfo-0000174273,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,67
Citrus medica,citrus medica,citrus medica,Citrus medica,wfo-0000608140,wfo-0000608140,Rutaceae,Citrus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,68
Citrus junos,citrus junos,citrus junos,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,69
Lupinus albus,lupinus albus,lupinus albus,Lupinus albus,wfo-0000213483,wfo-0000213483,Fabaceae,Lupinus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,70
Bidens pilosa,bidens pilosa,bidens pilosa,Bidens pilosa,wfo-0000115943,wfo-0000115943,Asteraceae,Bidens,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,71
Sophora flavescens,sophora flavescens,sophora flavescens,Sophora flavescens,wfo-0000185581,wfo-0000185581,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,72
Ochna afzelii,ochna afzelii,ochna afzelii,Ochna afzelii,wfo-0000388902,wfo-0000388902,Ochnaceae,Ochna,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,73
Cyclosorus acuminatus ex,cyclosorus acuminatus ex,cyclosorus acuminatus,Christella acuminata,wfo-0001125964,wfo-0001125964,Thelypteridaceae,Christella,species,synonym,synonym,canonical,canonical_unique,2,1,1,WFO_offline_hierarchical,2026-06-24,74
Cordia goetzei,cordia goetzei,cordia goetzei,Cordia goetzei,wfo-0000620530,wfo-0000620530,Cordiaceae,Cordia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,75
Ochna calodendron,ochna calodendron,ochna calodendron,Ochna calodendron,wfo-0000388934,wfo-0000388934,Ochnaceae,Ochna,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,76
Ochna macrocalyx,ochna macrocalyx,ochna macrocalyx,Ochna macrocalyx,wfo-0001087202,wfo-0001087202,Ochnaceae,Ochna,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,77
Ochna integerrima,ochna integerrima,ochna integerrima,Ochna integerrima,wfo-0001087253,wfo-0001087253,Ochnaceae,Ochna,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,78
Searsia laevigata,searsia laevigata,searsia laevigata,Searsia laevigata,wfo-0000434903,wfo-0000434903,Anacardiaceae,Searsia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,79
Piscidia piscipula,piscidia piscipula,piscidia piscipula,Piscidia piscipula,wfo-0000168417,wfo-0000168417,Fabaceae,Piscidia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,80
Tephrosia pentaphylla,tephrosia pentaphylla,tephrosia pentaphylla,Tephrosia pentaphylla,wfo-0001055146,wfo-0001055146,Fabaceae,Tephrosia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,81
Tephrosia villosa,tephrosia villosa,tephrosia villosa,Tephrosia villosa,wfo-0000204506,wfo-0000204506,Fabaceae,Tephrosia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,82
Cynomorium coccineum,cynomorium coccineum,cynomorium coccineum,Cynomorium coccineum,wfo-0000934734,wfo-0000934734,Cynomoriaceae,Cynomorium,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,83
Althaea armeniaca,althaea armeniaca,althaea armeniaca,Althaea armeniaca,wfo-0000528902,wfo-0000528902,Malvaceae,Althaea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,84
Althaea broussonetiifolia,althaea broussonetiifolia,althaea broussonetiifolia,Althaea armeniaca,wfo-0000528902,wfo-0000528902,Malvaceae,Althaea,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,85
Althaea cannabina,althaea cannabina,althaea cannabina,Althaea cannabina,wfo-0000528921,wfo-0000528921,Malvaceae,Althaea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,86
Althaea narbonensis,althaea narbonensis,althaea narbonensis,Althaea cannabina,wfo-0000528921,wfo-0000528921,Malvaceae,Althaea,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,87
Althaea officinalis,althaea officinalis,althaea officinalis,Althaea officinalis,wfo-0000529011,wfo-0000529011,Malvaceae,Althaea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,88
Tephrosia apollinea,tephrosia apollinea,tephrosia apollinea,NA,NA,NA,NA,NA,NA,NA,unresolved,exact_conflict,exact_synonym_conflict,2,2,2,NA,2026-06-24,89
Sophora koreensis,sophora koreensis,sophora koreensis,Sophora koreensis,wfo-0000186126,wfo-0000186126,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,90
Sophora tomentosa,sophora tomentosa,sophora tomentosa,Sophora tomentosa,wfo-0000212096,wfo-0000212096,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,91
Dalbergia monetaria,dalbergia monetaria,dalbergia monetaria,Dalbergia monetaria,wfo-0000170462,wfo-0000170462,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,92
Genista pichisermolliana,genista pichisermolliana,genista pichisermolliana,Genista pichisermolliana,wfo-0000696577,wfo-0000696577,Fabaceae,Genista,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,93
Dalbergia nitidula,dalbergia nitidula,dalbergia nitidula,Dalbergia nitidula,wfo-0000172371,wfo-0000172371,Fabaceae,Dalbergia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,94
Cunila,cunila,cunila,Cunila,wfo-4000010044,wfo-4000010044,Lamiaceae,Cunila,genus,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,95
Populus sieboldii,populus sieboldii,populus sieboldii,Populus tremula var. sieboldii,wfo-0000928358,wfo-0000928358,Salicaceae,Populus,variety,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,96
Sophora tonkinensis,sophora tonkinensis,sophora tonkinensis,Sophora tonkinensis,wfo-0000186509,wfo-0000186509,Fabaceae,Sophora,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,97
Lotus angustissimus,lotus angustissimus,lotus angustissimus,Lotus angustissimus,wfo-0001060764,wfo-0001060764,Fabaceae,Lotus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,98
Lotus edulis,lotus edulis,lotus edulis,Lotus edulis,wfo-0000212191,wfo-0000212191,Fabaceae,Lotus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,99
Psorospermum febrifugum,psorospermum febrifugum,psorospermum febrifugum,Psorospermum febrifugum,wfo-0000465021,wfo-0000465021,Hypericaceae,Psorospermum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,100
Iryanthera ulei,iryanthera ulei,iryanthera ulei,Iryanthera hostmannii,wfo-0000732329,wfo-0000732329,Myristicaceae,Iryanthera,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,101
Iryanthera lancifolia,iryanthera lancifolia,iryanthera lancifolia,Iryanthera lancifolia,wfo-0000732333,wfo-0000732333,Myristicaceae,Iryanthera,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,102
Euchresta tubulosa,euchresta tubulosa,euchresta tubulosa,Euchresta tubulosa,wfo-0000198724,wfo-0000198724,Fabaceae,Euchresta,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,103
Brosimum acutifolium,brosimum acutifolium,brosimum acutifolium,Brosimum acutifolium,wfo-0000572376,wfo-0000572376,Moraceae,Brosimum,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,104
Morus mongolica,morus mongolica,morus mongolica,Morus mongolica,wfo-0001230837,wfo-0001230837,Moraceae,Morus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,105
Scutellaria baicalensis,scutellaria baicalensis,scutellaria baicalensis,Scutellaria baicalensis,wfo-0000307642,wfo-0000307642,Lamiaceae,Scutellaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,106
Selliguea moulmeinensis,selliguea moulmeinensis,selliguea moulmeinensis,Selliguea moulmeinensis,wfo-0001423238,wfo-0001423238,Polypodiaceae,Selliguea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,107
Smilax bockii,smilax bockii,smilax bockii,Smilax bockii,wfo-0000740749,wfo-0000740749,Smilacaceae,Smilax,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,108
Drynaria propinqua,drynaria propinqua,drynaria propinqua,Drynaria propinqua,wfo-0001122949,wfo-0001122949,Polypodiaceae,Drynaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,109
Cassia fistula,cassia fistula,cassia fistula,Cassia fistula,wfo-0000163802,wfo-0000163802,Fabaceae,Cassia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,110
Glycyrrhiza pallidiflora,glycyrrhiza pallidiflora,glycyrrhiza pallidiflora,Glycyrrhiza pallidiflora,wfo-0000186030,wfo-0000186030,Fabaceae,Glycyrrhiza,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,111
Bagassa guianensis,bagassa guianensis,bagassa guianensis,Bagassa guianensis,wfo-0000558480,wfo-0000558480,Moraceae,Bagassa,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,112
