original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Myrica cerifera,myrica cerifera,myrica cerifera,Myrica cerifera,wfo-0000447382,wfo-0000447382,Myricaceae,Myrica,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,536
Wikstroemia sikokiana,wikstroemia sikokiana,wikstroemia sikokiana,Wikstroemia sikokiana,wfo-0001283388,wfo-0001283388,Thymelaeaceae,Wikstroemia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,537
Stellera chamaejasme,stellera chamaejasme,stellera chamaejasme,Stellera chamaejasme,wfo-0001142517,wfo-0001142517,Thymelaeaceae,Stellera,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,538
Heliotropium sarmentosum,heliotropium sarmentosum,heliotropium sarmentosum,Heliotropium sarmentosum,wfo-0000718904,wfo-0000718904,Heliotropiaceae,Heliotropium,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,539
Scutellaria indica,scutellaria indica,scutellaria indica,Scutellaria indica,wfo-0000307936,wfo-0000307936,Lamiaceae,Scutellaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,540
Acacia neovernicosa,acacia neovernicosa,acacia neovernicosa,Vachellia vernicosa,wfo-0001277463,wfo-0001277463,Fabaceae,Vachellia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,541
Vachellia vernicosa,vachellia vernicosa,vachellia vernicosa,Vachellia vernicosa,wfo-0001277463,wfo-0001277463,Fabaceae,Vachellia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,542
Acalypha hispida,acalypha hispida,acalypha hispida,Acalypha hispida,wfo-0000950668,wfo-0000950668,Euphorbiaceae,Acalypha,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,543
Eriobotrya japonica,eriobotrya japonica,eriobotrya japonica,Eriobotrya japonica,wfo-0000986002,wfo-0000986002,Rosaceae,Eriobotrya,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,544
Cryptocarya chartacea,cryptocarya chartacea,cryptocarya chartacea,Cryptocarya chartacea,wfo-0000627834,wfo-0000627834,Lauraceae,Cryptocarya,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,545
